iter	Logloss
0	0.6320587977
1	0.5697873872
2	0.5177468486
3	0.4728654883
4	0.4394656945
5	0.3956676498
6	0.3580824753
7	0.3253424926
8	0.2947295616
9	0.2687392545
10	0.2450338634
11	0.2282576433
12	0.2039559025
13	0.1893816542
14	0.1751150811
15	0.1649561476
16	0.1545903436
17	0.1462658265
18	0.1369338054
19	0.1309754236
20	0.1259239168
21	0.1201107347
22	0.1146190322
23	0.1105063062
24	0.1068829942
25	0.1031105363
26	0.09944974234
27	0.09500329613
28	0.09166774531
29	0.08947977526
30	0.08617827901
31	0.08350883864
32	0.08044277206
33	0.07809915945
34	0.07571001893
35	0.07327621285
36	0.07115036683
37	0.06848675081
38	0.06692765773
39	0.06441699499
40	0.06273820665
41	0.06154039171
42	0.06002644652
43	0.05873814579
44	0.05776107905
45	0.05650518498
46	0.0554355826
47	0.05435771504
48	0.05348034928
49	0.05213287324
50	0.05096418739
51	0.04998440213
52	0.04892240356
53	0.04794625396
54	0.04720842793
55	0.04639535663
56	0.04570188193
57	0.04441591606
58	0.04341532901
59	0.0428040457
60	0.04207543486
61	0.0414505078
62	0.04030103428
63	0.03943294949
64	0.0387331937
65	0.03809442191
66	0.03736637013
67	0.03697838911
68	0.03658853363
69	0.03622116074
70	0.03536942727
71	0.03491201437
72	0.03441760184
73	0.03391761341
74	0.03355281654
75	0.03290383569
76	0.03231077815
77	0.03186540859
78	0.031543644
79	0.03116469182
80	0.03039126195
81	0.02991392786
82	0.0297011032
83	0.02919163101
84	0.02855398098
85	0.02817575228
86	0.02777944031
87	0.02735723664
88	0.02715406747
89	0.02671384446
90	0.02655750582
91	0.02618020887
92	0.02575485916
93	0.02561542175
94	0.02526883787
95	0.02508221001
96	0.02470644041
97	0.02435506989
98	0.02385875183
99	0.02360780942
100	0.02320960838
101	0.02281265332
102	0.02250548067
103	0.02224164722
104	0.02192600294
105	0.0216364824
106	0.02126181811
107	0.02091264725
108	0.02060911939
109	0.02027938375
110	0.0199095335
111	0.01972280517
112	0.01952263405
113	0.01941579146
114	0.01931418496
115	0.0190981083
116	0.01871523547
117	0.01846647811
118	0.01825795594
119	0.01806018179
120	0.01780146383
121	0.0174994962
122	0.01729370716
123	0.01718682804
124	0.01704472874
125	0.01685909476
126	0.01661622935
127	0.01648966837
128	0.0163419475
129	0.01617655626
130	0.01599272732
131	0.01589328941
132	0.0156939386
133	0.01553193089
134	0.01538625622
135	0.01532509318
136	0.0152166785
137	0.01506933399
138	0.0149737391
139	0.0147684744
140	0.01439287653
141	0.01418390311
142	0.01407870662
143	0.01391133312
144	0.01377037567
145	0.01356478669
146	0.01353183012
147	0.01332294621
148	0.01320687382
149	0.01305850712
150	0.01284390117
151	0.01265754736
152	0.01252358444
153	0.01235214412
154	0.01216424562
155	0.01194619219
156	0.01187897277
157	0.01179575646
158	0.01169597509
159	0.01163193641
160	0.01154536945
161	0.01143633817
162	0.01130754464
163	0.01119129868
164	0.01112810223
165	0.01105271263
166	0.01090294739
167	0.01077257354
168	0.01067242038
169	0.01051373683
170	0.01042678438
171	0.01032519706
172	0.01020435721
173	0.01019046133
174	0.01014699972
175	0.01006295946
176	0.009928315992
177	0.009738346626
178	0.009585783399
179	0.009529623492
180	0.009438216001
181	0.00930268189
182	0.009258584501
183	0.009136511448
184	0.009042967325
185	0.00895610897
186	0.008895691327
187	0.008879037652
188	0.008791256682
189	0.008706259088
190	0.00864092509
191	0.00858497711
192	0.00852041683
193	0.008444207838
194	0.008377436934
195	0.008308354009
196	0.008193575103
197	0.008130411535
198	0.008087540952
199	0.00807904375
200	0.007954854161
201	0.007883320366
202	0.007822937436
203	0.007696780208
204	0.007631478182
205	0.007528187671
206	0.007519800544
207	0.007455739938
208	0.007414488043
209	0.007380388706
210	0.00733612689
211	0.007307265453
212	0.007260422597
213	0.007231449715
214	0.007193579984
215	0.007143507515
216	0.007101813495
217	0.007078961851
218	0.007068006928
219	0.007033701144
220	0.007000810799
221	0.006898198091
222	0.006891951707
223	0.006849241896
224	0.006845463281
225	0.006744540971
226	0.006676795382
227	0.006635326535
228	0.006624489452
229	0.006604172718
230	0.006569465458
231	0.006522036147
232	0.006479636006
233	0.006381619936
234	0.006351312002
235	0.006314660398
236	0.006273742837
237	0.006245776611
238	0.006208000512
239	0.006150740773
240	0.006129283101
241	0.006101541136
242	0.006101473995
243	0.00609361486
244	0.006041485231
245	0.005997245796
246	0.005997178198
247	0.005959470153
248	0.005833806206
249	0.005781490684
250	0.005694513577
251	0.005651660349
252	0.005609775412
253	0.005575601169
254	0.005573256719
255	0.005559172667
256	0.005523045858
257	0.005503706548
258	0.005503688736
259	0.005464186614
260	0.005446288777
261	0.005350058106
262	0.005324102453
263	0.005272926042
264	0.005228524464
265	0.005202249549
266	0.00520223676
267	0.005194547076
268	0.00519026696
269	0.005156436642
270	0.005156424767
271	0.005151206963
272	0.005143488047
273	0.005130364977
274	0.005126938509
275	0.005063626045
276	0.005047652
277	0.005005842881
278	0.005001417979
279	0.004975893945
280	0.004952169926
281	0.004889587333
282	0.004860018862
283	0.004818528548
284	0.00481852261
285	0.004796157395
286	0.004760933105
287	0.004760925797
288	0.004760910725
289	0.004720878327
290	0.004684067321
291	0.004613362966
292	0.004576820523
293	0.004557922425
294	0.004540564
295	0.004510139597
296	0.004472579993
297	0.00439317473
298	0.004364219205
299	0.004316679363
