Date,Price_DailyMetal,Price_LME,Price_LME_3M,Price_LME_All_Location_Stock,Price_WUXI,Price_COMEX
2017-05-10,24.494,54550.0,54250.0,746.0,74.4,
2017-05-11,24.494,54550.0,54250.0,746.0,75.7,
2017-05-12,24.494,54550.0,54250.0,746.0,76.0,
2017-05-15,24.494,54550.0,54250.0,725.0,75.55,
2017-05-16,24.948,55543.75,55250.0,725.0,74.95,
2017-05-17,24.948,55537.0,55250.0,745.0,75.45,
2017-05-18,24.721,54500.0,54500.0,745.0,74.75,
2017-05-19,24.494,54250.0,54250.0,745.0,76.45,
2017-05-22,24.721,54500.0,54500.0,745.0,76.5,
2017-05-23,24.607,54500.0,54500.0,745.0,76.2,
2017-05-24,24.607,54500.0,54500.0,745.0,74.85,
2017-05-25,25.061,55350.0,55250.0,745.0,74.35,
2017-05-26,25.288,55850.0,55750.0,745.0,74.45,
2017-05-29,25.288,,,,,
2017-05-30,25.288,56100.0,56000.0,745.0,74.6,
2017-05-31,25.401,56350.0,56250.0,745.0,72.8,
2017-06-01,25.447,55850.0,55750.0,745.0,72.15,
2017-06-02,25.401,56350.0,56250.0,744.0,72.3,
2017-06-05,25.401,56350.0,56250.0,744.0,72.3,
2017-06-06,25.288,56100.0,56000.0,728.0,72.3,
2017-06-07,25.401,56225.0,56125.0,728.0,71.8,
2017-06-08,25.401,56350.0,56250.0,728.0,71.9,
2017-06-09,25.401,56000.0,55900.0,748.0,72.65,
2017-06-12,25.401,56350.0,56250.0,748.0,71.55,
2017-06-13,25.628,56600.0,56500.0,748.0,71.65,
2017-06-14,25.515,56600.0,56500.0,748.0,72.0,
2017-06-15,25.515,56600.0,56500.0,750.0,72.4,
2017-06-16,26.082,57750.0,57750.0,741.0,72.8,
2017-06-19,26.082,57500.0,57500.0,741.0,73.8,
2017-06-20,26.308,58250.0,58250.0,741.0,73.3,
2017-06-21,26.308,58250.0,58250.0,741.0,73.3,
2017-06-22,26.308,58125.0,58125.0,741.0,73.65,
2017-06-23,26.308,58250.0,58250.0,741.0,74.45,
2017-06-26,26.535,58750.0,58750.0,741.0,74.0,
2017-06-27,26.762,58750.0,58750.0,741.0,75.2,
2017-06-28,26.762,59300.0,59250.0,741.0,75.5,
2017-06-29,26.989,59796.0,59750.0,741.0,75.7,
2017-06-30,26.989,59792.0,59750.0,741.0,76.05,
2017-07-03,26.762,59460.0,59250.0,717.0,75.95,
2017-07-04,26.535,58709.0,58500.0,709.0,74.8,
2017-07-05,26.535,58708.0,58500.0,709.0,74.3,
2017-07-06,27.669,61000.0,58250.0,709.0,74.15,
2017-07-07,26.989,60000.0,58250.0,713.0,73.05,
2017-07-10,26.989,59750.0,58250.0,713.0,73.4,
2017-07-11,26.989,59720.0,58250.0,713.0,74.8,
2017-07-12,26.762,59190.0,57750.0,713.0,75.35,
2017-07-13,26.762,59160.0,57750.0,706.0,75.35,
2017-07-14,26.762,59130.0,57750.0,706.0,77.85,
2017-07-17,26.535,58700.0,57750.0,706.0,79.0,
2017-07-18,26.308,58500.0,57500.0,706.0,79.2,
2017-07-19,26.535,58500.0,57400.0,706.0,78.85,
2017-07-20,26.535,58600.0,57500.0,706.0,77.3,
2017-07-21,26.308,58010.0,57250.0,706.0,78.15,
2017-07-24,26.308,57700.0,57000.0,706.0,77.4,
2017-07-25,25.855,56940.0,56250.0,706.0,80.2,
2017-07-26,25.855,56940.0,56250.0,706.0,81.1,
2017-07-27,25.855,56940.0,56250.0,706.0,81.65,
2017-07-28,25.855,56930.0,56250.0,706.0,82.3,
2017-07-31,25.855,56940.0,56250.0,694.0,82.45,
2017-08-01,25.855,56940.0,56250.0,687.0,82.45,
2017-08-02,22.68,55750.0,55250.0,687.0,82.85,
2017-08-03,26.308,58000.0,56500.0,687.0,83.0,
2017-08-04,26.535,59000.0,57000.0,687.0,82.5,
2017-08-07,25.605,57500.0,56500.0,677.0,83.4,
2017-08-08,25.855,57150.0,56250.0,676.0,85.2,
2017-08-09,25.855,57200.0,56250.0,675.0,86.0,
2017-08-10,25.855,57200.0,56250.0,675.0,87.4,
2017-08-11,25.061,56750.0,56750.0,675.0,85.2,
2017-08-14,25.628,56770.0,56750.0,692.0,83.4,
2017-08-15,25.628,56780.0,56750.0,692.0,83.5,
2017-08-16,25.628,56788.0,56750.0,692.0,85.9,
2017-08-17,25.174,56796.0,56750.0,692.0,86.0,
2017-08-18,26.308,60296.0,60250.0,689.0,88.3,
2017-08-21,26.989,59813.0,59750.0,684.0,90.5,
2017-08-22,26.989,60000.0,60000.0,684.0,90.85,
2017-08-23,26.989,60000.0,60000.0,684.0,90.85,
2017-08-24,26.989,60000.0,60000.0,684.0,92.6,
2017-08-25,27.442,60750.0,60750.0,724.0,92.45,
2017-08-28,27.556,,,,93.05,
2017-08-29,27.669,61250.0,61250.0,724.0,91.9,
2017-08-30,27.442,60750.0,60750.0,724.0,91.3,
2017-08-31,27.442,60750.0,60750.0,744.0,92.6,
2017-09-01,27.556,60750.0,60750.0,734.0,94.0,
2017-09-04,27.442,60750.0,60750.0,724.0,95.2,
2017-09-05,27.442,60750.0,60750.0,724.0,93.95,
2017-09-06,27.442,60850.0,60750.0,724.0,94.5,
2017-09-07,27.442,60850.0,60750.0,763.0,93.95,
2017-09-08,27.442,60850.0,60750.0,745.0,89.5,
2017-09-11,27.442,60850.0,60750.0,740.0,91.4,
2017-09-12,27.352,60650.0,60550.0,740.0,93.0,
2017-09-13,27.352,60650.0,60550.0,740.0,89.8,
2017-09-14,27.352,60650.0,60550.0,760.0,88.25,
2017-09-15,28.123,61850.0,61750.0,800.0,85.85,
2017-09-18,26.989,59850.0,59750.0,800.0,88.2,
2017-09-19,26.989,59844.5,59750.0,820.0,86.1,
2017-09-20,26.762,59339.0,59250.0,820.0,89.35,
2017-09-21,26.762,59340.0,59250.0,820.0,87.45,
2017-09-22,26.762,59341.0,59250.0,817.0,84.3,
