Date,CODALY,COLMEX,COCOMX,COLMEAS,COSMMS
2023-09-06,15.159,32978.4948,15.0,93.0,35500.0
2023-09-07,15.159,32979.417,15.0,93.0,36500.0
2023-09-08,15.159,32980.4254,15.0,93.0,36750.0
2023-09-10,15.159,32981.3367,15.4428,92.9925,36639.0706
2023-09-11,15.159,32980.5574,15.0,93.0,36750.0
2023-09-12,15.159,32978.5,14.0,93.0,37000.0
2023-09-13,15.159,32978.0,14.0,93.0,37000.0
2023-09-14,15.159,32986.0,14.0,93.0,37000.0
2023-09-15,15.159,32986.0,14.0,92.0,37000.0
2023-09-17,15.159,32978.3482,14.0045,91.7349,36998.8862
2023-09-18,15.159,32977.0,14.0,92.0,37000.0
2023-09-19,15.159,32978.0,14.0,92.0,37000.0
2023-09-20,15.159,32979.0,14.0,92.0,37000.0
2023-09-21,15.159,32990.0,14.0,92.0,37000.0
2023-09-22,15.159,32990.0,14.0,92.0,37000.0
2023-09-24,15.159,32972.1344,13.9996,92.0003,37000.1685
2023-09-25,15.159,32969.0,14.0,92.0,37000.0
2023-09-26,15.159,32974.5,14.0,92.0,37000.0
2023-09-27,15.159,32980.0,14.0,92.0,37000.0
2023-09-28,15.159,32990.5,14.0,92.0,37000.0
2023-09-29,15.159,32990.5,14.0,92.0,37032.6406
2023-10-02,15.159,32975.0,15.0,92.0,37310.3339
2023-10-03,15.159,32975.0,15.0,92.0,37436.6676
2023-10-04,15.159,32975.0,15.0,92.0,37566.8086
2023-10-05,15.159,32991.0,15.0,92.0,37692.9105
2023-10-06,15.159,32991.0,15.0,92.0,37807.127
2023-10-08,15.159,32978.1612,14.9998,92.0,37968.5181
2023-10-09,15.159,32975.0,15.0,92.0,38000.0
2023-10-10,15.159,32975.0,15.0,92.0,38000.0
2023-10-11,15.159,32975.0,15.0,92.0,38000.0
2023-10-12,15.159,32985.0,15.0,92.0,38000.0
2023-10-13,15.159,32988.6941,15.0,92.0,38000.0
2023-10-16,15.159,32974.0,16.0,92.0,38000.0
2023-10-17,15.159,32974.0,16.0,92.0,39000.0
2023-10-18,15.159,32975.0,16.0,92.0,39000.0
2023-10-19,15.159,32986.5,16.0,92.0,39000.0
2023-10-20,15.159,32992.0,16.0,92.0,39000.0
2023-10-22,15.159,32983.4326,16.0003,92.0,38995.2296
2023-10-23,15.159,32980.0,16.0,92.0,39000.0
2023-10-24,15.159,32981.0,16.0,92.0,39000.0
2023-10-25,15.159,32982.0,16.0,92.0,39000.0
2023-10-26,15.159,32994.0,16.0,92.0,39000.0
2023-10-27,15.159,32999.0,16.0,92.0,39000.0
2023-10-29,15.159,32990.0975,16.0,92.0,39299.3656
2023-10-30,15.159,32987.0,16.0,92.0,39000.0
2023-10-31,15.159,32988.5,16.0,92.0,38250.0
2023-11-01,15.159,32990.0,16.0,92.0,38000.0
2023-11-02,15.159,33002.0,16.0,92.0,38000.0
2023-11-03,15.159,33007.0,16.0,92.0,37500.0
2023-11-05,15.159,32998.6277,16.0,92.0,37298.7939
2023-11-06,15.159,32995.5,16.0,92.0,37250.0
2023-11-07,15.159,32996.5,16.0,92.0,37000.0
2023-11-08,15.159,32997.5,16.0,92.0,37000.0
2023-11-09,15.159,33009.5,16.0,92.0,37000.0
2023-11-10,15.159,33015.0,16.0,92.0,37000.0
2023-11-12,15.159,33006.8077,16.0,92.0,36666.2356
2023-11-13,15.159,33003.0,16.0,92.0,36500.0
2023-11-14,15.159,33003.0,16.0,92.0,36500.0
2023-11-15,15.159,33003.0,16.0,92.0,36500.0
2023-11-16,15.159,33012.0,16.0,92.0,35750.0
2023-11-17,15.159,33016.0,16.0,92.0,35500.0
2023-11-19,15.159,33004.5563,16.0,92.0,35443.1857
2023-11-20,15.159,33003.0,16.0,92.0,35500.0
2023-11-21,15.159,33007.0,16.0,92.0,35500.0
2023-11-22,15.159,33002.0,16.0,92.0,35000.0
2023-11-23,15.159,33010.0,16.0011,92.0,34500.0
2023-11-24,15.159,33014.0,16.0,92.0,34500.0
2023-11-27,15.159,32997.0,16.0,92.0,34500.0
2023-11-28,15.159,32996.0,16.0,92.0,34400.0
2023-11-29,15.159,32995.0,16.0,92.0,34150.0
2023-11-30,15.159,33008.0,16.0,92.0,33950.0
2023-12-01,15.159,33007.0,15.0,92.0,33750.0
2023-12-03,15.1669,33014.7065,15.1786,92.0,33555.407
2023-12-04,15.159,32995.0,15.0,92.0,33300.0
2023-12-05,15.159,32994.0,14.0,92.0,32800.0
2023-12-06,15.159,32993.0,14.0,92.0,32350.0
2023-12-07,14.832,32280.0,14.0,92.0,32250.0
2023-12-08,14.504,31555.0,14.0,92.0,32000.0
2023-12-10,14.3263,31153.0421,14.0047,92.0,31872.9903
2023-12-11,14.182,30830.0,14.0,92.0,31700.0
2023-12-12,13.855,30105.0,14.0,92.0,31300.0
2023-12-13,13.526,29380.0,14.0,92.0,31000.0
2023-12-14,13.215,28700.0,14.0,92.0,30650.0
2023-12-15,13.215,28699.0,14.0,92.0,30600.0
2023-12-17,13.2323,28727.856,14.0,92.0,30514.6457
2023-12-18,13.215,28687.5,14.0,92.0,30500.0
2023-12-19,13.215,28687.0,14.0,92.0,30500.0
2023-12-20,13.215,28687.0,14.0,92.0,30500.0
2023-12-21,13.215,28709.0,14.0,92.0,31250.0
2023-12-22,13.215,28709.0,14.0,92.0,31500.0
2023-12-24,13.2149,28687.7559,13.9992,92.0,31402.1654
2023-12-25,13.215,28679.9339,13.9992,92.0,31500.0
2023-12-26,13.215,28678.8079,14.0,92.0,31750.0
2023-12-27,13.215,28688.0,14.0,92.0,31750.0
2023-12-28,13.215,28705.0,14.0,92.0,31750.0
2023-12-29,13.215,28710.5,14.0,92.0,31750.0
2024-01-02,13.215,28689.0,13.0,92.0,31750.0
2024-01-03,13.215,28689.0,13.0,92.0,32000.0
2024-01-04,13.215,28700.0,14.0,92.0,32000.0
2024-01-05,13.215,28700.0,14.0,92.0,32000.0
2024-01-07,13.215,28692.4656,13.9299,92.0,32182.3104
2024-01-08,13.215,28689.5,14.0,92.0,32250.0
2024-01-09,13.215,28688.0997,14.0,92.0,32250.0
2024-01-10,13.215,28690.25,14.0,92.0,32250.0
2024-01-11,13.215,28696.6545,14.0,92.0,32250.0
2024-01-12,13.215,28701.75,14.0,92.0,32250.0
2024-01-14,13.215,28695.3808,14.5539,92.0,32368.8884
2024-01-15,13.215,28691.5,14.5812,92.0,32250.0
2024-01-16,13.215,28690.75,14.0,92.0,32000.0
2024-01-17,13.215,28690.0,13.0,92.0,32000.0
2024-01-18,13.215,28697.5,13.0,92.0,31750.0
2024-01-19,13.215,28696.5,13.0,92.0,31750.0
2024-01-21,13.215,28687.5506,12.9839,92.0,31768.862
2024-01-22,13.215,28685.0,13.0,92.0,31750.0
2024-01-23,13.215,28684.0,13.0,92.0,31750.0
2024-01-24,13.215,28683.0,13.0,92.0,31750.0
2024-01-25,13.215,28691.0,13.0,92.0,31750.0
2024-01-26,13.215,28690.0,13.0,92.0,31750.0
2024-01-28,13.215,28681.313,12.961,92.0,31749.9801
2024-01-29,13.215,28678.0,13.0,92.0,31750.0
2024-01-30,13.215,28677.0,13.0,92.0,31750.0
2024-01-31,13.215,28681.5,13.0,92.0,31750.0
2024-02-01,13.215,28689.0,14.0,92.0,31750.0
2024-02-02,13.215,28688.0,13.0,92.0,31750.0
2024-02-04,13.2234,28688.3774,12.6639,92.0,31750.0
2024-02-05,13.215,28666.0,13.0,92.0,31750.0
2024-02-06,13.215,28670.5,13.0,92.0,31750.0
2024-02-07,13.215,28675.0,13.0,92.0,31750.0
2024-02-08,12.95,28098.0,13.0,92.0,31750.0
2024-02-09,12.95,28102.5,13.0,92.0,31749.9998
2024-02-12,12.95,28107.0,13.0,92.0,31749.998
2024-02-13,12.95,28111.0,13.0,92.0,31749.9974
2024-02-14,12.95,28115.5,13.0,92.0,31749.997
2024-02-15,12.95,28132.5,13.0,92.0,31749.9967
2024-02-16,12.95,28132.5,13.0,92.0,31749.9968
2024-02-18,12.95,28132.277,13.0,92.0,31749.9984
2024-02-19,12.95,28137.0,13.0,92.0,31750.0
2024-02-20,12.95,28142.5,13.0,92.0,31750.0
2024-02-21,12.95,28148.0,13.0,92.0,31750.0
2024-02-22,12.95,28164.0,13.0,92.0,31750.0
2024-02-23,12.95,28169.5,13.0,92.0,31750.0
2024-02-25,12.95,28171.5775,13.0075,92.0,31750.7198
2024-02-26,12.95,28175.0,13.0,92.0,31750.0
2024-02-27,12.95,28180.5,13.0,92.0,31750.0
2024-02-28,12.95,28186.0,13.0,92.0,31750.0
2024-02-29,12.95,28202.0,13.0,92.0,31750.0
2024-03-01,12.95,28207.5,14.0,92.0,31850.0
2024-03-03,12.95,28209.7387,14.2651,92.0,31960.201
2024-03-04,12.95,28213.0,14.0,92.0,32050.0
