Date,Price_Nickel,Price_LME,Price_SHFE,Price_WUXI,Price_India,Dailymetal,LME,SHFE,WUXI,India
2017-01-04,4.5223,10220.0,82.91,84.0,697.1,-0.022543552500756348,0.03128153380423804,-0.022057088936069835,0.004784688995215447,0.01945013161743203
2017-01-05,4.638,10295.0,83.91,84.3,696.1,0.025584326559493942,0.007338551859099818,0.012061271257990613,0.0035714285714285587,-0.0014345144168699253
2017-01-06,4.6176,10245.0,83.51,84.15,700.5,-0.0043984476067269185,-0.004856726566294323,-0.0047670122750564925,-0.001779359430604921,0.006320930900732602
2017-01-09,4.6448,10390.0,84.42,85.25,706.9,0.005890505890505882,0.014153245485602817,0.010896898575020852,0.013071895424836555,0.009136331192005631
2017-01-10,4.731,10615.0,85.33,86.45,721.0,0.018558387874612503,0.021655437921078047,0.010779436152570376,0.014076246334310927,0.01994624416466273
2017-01-11,4.7355,10180.0,85.98,86.05,688.6,0.0009511731135067869,-0.04097974564295803,0.007617485058010187,-0.0046269519953731075,-0.04493758668515946
2017-01-12,4.5132,10275.0,84.36,83.95,701.8,-0.04694330060183716,0.009332023575638448,-0.018841591067690233,-0.02440441603718757,0.019169329073482233
2017-01-13,4.5858,10450.0,83.78,85.15,710.0,0.016086147301249465,0.017031630170316392,-0.006875296348980542,0.01429422275163783,0.011684240524366007
2017-01-16,4.6402,10260.0,85.17,85.4,697.2,0.011862706616075691,-0.018181818181818188,0.016591071854857864,0.0029359953024075125,-0.01802816901408444
2017-01-17,4.613,10160.0,84.65,84.4,688.0,-0.00586181630102145,-0.00974658869395717,-0.006105436186450541,-0.011709601873536313,-0.01319563970166382
2017-01-18,4.6062,10175.0,83.57,83.85,693.1,-0.0014740949490570365,0.001476377952756014,-0.012758417011222822,-0.006516587677725227,0.007412790697674421
2017-01-19,4.5495,9925.0,83.71,83.3,673.2,-0.012309495896834721,-0.02457002457002455,0.0016752423118344684,-0.0065593321407274585,-0.028711585629779268
2017-01-20,4.4135,9700.0,82.35,80.05,658.7,-0.029893394878558133,-0.02267002518891692,-0.0162465655238323,-0.039015606242497,-0.02153891859774215
2017-01-23,4.4293,9710.0,81.15,81.75,664.6,0.0035799252294097528,0.0010309278350515427,-0.014571948998178375,0.02123672704559665,0.008957036587217138
2017-01-24,4.4271,9800.0,81.05,81.45,667.0,-0.000496692479624139,0.009268795056642576,-0.0012322858903266454,-0.003669724770642202,0.0036111947035810665
2017-01-25,4.3681,9700.0,80.7,81.35,659.8,-0.013327008651261574,-0.010204081632653073,-0.004318322023442289,-0.0012277470841007831,-0.010794602698650735
