Date,Price_Cobalt,Price_LME,Price_LME_3M,Price_LME_SPOT
2012-08-24,14.855,32734.0,32750.0,29500.0
2012-08-28,14.855,32734.0,32750.0,29500.0
2012-08-29,14.855,32734.0,32750.0,29500.0
2012-08-30,14.855,32734.0,32750.0,29500.0
2012-08-31,14.855,32734.0,32750.0,29500.0
2012-09-03,14.855,32734.0,32750.0,29500.0
2012-09-04,14.855,32734.0,32750.0,29500.0
2012-09-05,14.855,32734.0,32750.0,29500.0
2012-09-06,14.855,32734.0,32750.0,29425.0
2012-09-07,14.855,32734.0,32750.0,29500.0
2012-09-10,14.855,32734.0,32750.0,29500.0
2012-09-11,14.855,32734.0,32750.0,29500.0
2012-09-12,14.855,32734.0,32750.0,29375.0
2012-09-13,14.855,32734.0,32750.0,29375.0
2012-09-14,14.855,32734.0,32750.0,28000.0
2012-09-17,14.855,32734.0,32750.0,28500.0
2012-09-18,14.855,32734.0,32750.0,29000.0
2012-09-19,14.855,32734.0,32750.0,28500.0
2012-09-20,14.855,32734.0,32750.0,28500.0
2012-09-21,14.855,32734.0,32750.0,29000.0
2012-09-24,14.855,32734.0,32750.0,29000.0
2012-09-25,14.855,32734.0,32750.0,29500.0
2012-09-26,14.855,32734.0,32750.0,29750.0
2012-09-27,14.855,32734.0,32750.0,29750.0
2012-09-28,14.855,32734.0,32750.0,29750.0
2012-10-01,14.855,32734.0,32750.0,29750.0
2012-10-02,14.855,32734.0,32750.0,28000.0
2012-10-03,14.855,32734.0,32750.0,27500.0
2012-10-04,14.855,32734.0,32750.0,27750.0
2012-10-05,14.855,32734.0,32750.0,27625.0
2012-10-08,14.855,32734.0,32750.0,27650.0
2012-10-09,14.855,32734.0,32750.0,27400.0
2012-10-10,14.855,32734.0,32750.0,27400.0
2012-10-11,14.855,32734.0,32750.0,27400.0
2012-10-12,14.855,32734.0,32750.0,27325.0
2012-10-15,14.855,32734.0,32750.0,26750.0
2012-10-16,14.855,32734.0,32750.0,27650.0
2012-10-17,14.855,32734.0,32750.0,26250.0
2012-10-18,14.855,32734.0,32750.0,26500.0
2012-10-19,14.855,32734.0,32750.0,26750.0
2012-10-22,14.855,32734.0,32750.0,26750.0
2012-10-23,14.855,32734.0,32750.0,26625.0
2012-10-24,14.855,32734.0,32750.0,26500.0
2012-10-25,14.855,32734.0,32750.0,25500.0
2012-10-26,14.855,32734.0,32750.0,25500.0
2012-10-29,14.855,32734.0,32750.0,25250.0
2012-10-30,14.855,32734.0,32750.0,25250.0
2012-10-31,14.855,32734.0,32750.0,25550.0
2012-11-01,14.855,32734.0,32750.0,25850.0
2012-11-02,14.855,32734.0,32750.0,25675.0
