Date,PLIH5,PLIX5,diff,diff_ma5
2023-12-01,17.93,19.45,1.5199999999999996,
2023-12-04,16.47,17.18,0.7100000000000009,
2023-12-05,16.56,17.3,0.740000000000002,
2023-12-06,15.77,16.0,0.23000000000000043,
2023-12-07,15.28,16.0,0.7200000000000006,0.7840000000000007
2023-12-08,16.18,16.95,0.7699999999999996,0.6340000000000007
2023-12-11,16.78,17.75,0.9699999999999989,0.6860000000000003
2023-12-12,16.78,17.75,0.9699999999999989,0.7319999999999997
2023-12-13,16.63,17.25,0.620000000000001,0.8099999999999998
2023-12-14,16.86,15.6,1.2599999999999998,0.9179999999999996
2023-12-15,16.91,17.1,0.19000000000000128,0.8019999999999999
2023-12-18,16.91,17.1,0.19000000000000128,0.6460000000000005
2023-12-19,17.06,17.25,0.19000000000000128,0.49000000000000093
2023-12-20,17.83,17.92,0.09000000000000341,0.3840000000000014
2023-12-21,17.83,17.92,0.09000000000000341,0.15000000000000213
2023-12-22,17.83,17.92,0.09000000000000341,0.13000000000000256
2023-12-26,17.83,17.92,0.09000000000000341,0.11000000000000298
2023-12-27,17.83,17.92,0.09000000000000341,0.09000000000000341
2023-12-28,17.83,17.92,0.09000000000000341,0.09000000000000341
2023-12-29,18.0,18.0,0.0,0.07200000000000273
2024-01-02,17.1,16.8,0.3000000000000007,0.11400000000000218
2024-01-03,17.79,17.96,0.1700000000000017,0.13000000000000184
2024-01-04,17.63,18.15,0.5199999999999996,0.21600000000000108
2024-01-05,17.4,17.93,0.5300000000000011,0.3040000000000006
2024-01-08,17.29,17.81,0.5199999999999996,0.40800000000000053
2024-01-09,16.91,17.63,0.7199999999999989,0.49200000000000016
2024-01-10,16.65,17.36,0.7100000000000009,0.6
2024-01-11,16.36,17.21,0.8500000000000014,0.6660000000000004
2024-01-12,16.4,17.25,0.8500000000000014,0.7300000000000004
2024-01-15,16.13,17.18,1.0500000000000007,0.8360000000000006
2024-01-16,16.13,17.18,1.0500000000000007,0.902000000000001
2024-01-17,15.29,17.18,1.8900000000000006,1.138000000000001
2024-01-18,16.09,17.14,1.0500000000000007,1.1780000000000008
2024-01-19,15.75,16.5,0.75,1.1580000000000006
2024-01-22,15.75,16.28,0.5300000000000011,1.0540000000000007
2024-01-23,15.08,16.28,1.200000000000001,1.0840000000000007
2024-01-24,15.91,16.52,0.6099999999999994,0.8280000000000005
2024-01-25,15.46,16.52,1.0599999999999987,0.8300000000000001
2024-01-26,15.3,17.21,1.9100000000000001,1.062
2024-01-29,15.96,16.09,0.129999999999999,0.9819999999999997
2024-01-30,15.45,16.42,0.9700000000000024,0.9359999999999999
2024-01-31,15.54,16.42,0.8800000000000026,0.9900000000000005
2024-02-01,15.62,16.42,0.8000000000000025,0.9380000000000013
2024-02-02,15.51,16.42,0.9100000000000019,0.7380000000000017
2024-02-05,15.54,16.39,0.8500000000000014,0.8820000000000021
2024-02-06,14.47,15.3,0.8300000000000001,0.8540000000000016
2024-02-07,15.55,16.27,0.7199999999999989,0.822000000000001
2024-02-08,15.47,16.05,0.5800000000000001,0.7780000000000005
2024-02-09,15.47,16.05,0.5800000000000001,0.7120000000000001
2024-02-12,15.47,16.05,0.5800000000000001,0.6579999999999998
2024-02-13,14.91,15.6,0.6899999999999995,0.6299999999999997
2024-02-14,15.0,15.6,0.5999999999999996,0.6059999999999999
2024-02-15,15.0,15.6,0.5999999999999996,0.6099999999999998
2024-02-16,15.21,15.6,0.3899999999999988,0.5719999999999995
2024-02-19,15.21,15.6,0.3899999999999988,0.5339999999999993
2024-02-20,15.09,15.49,0.40000000000000036,0.4759999999999994
2024-02-21,14.63,15.52,0.8899999999999988,0.5339999999999993
2024-02-22,14.97,15.71,0.7400000000000002,0.5619999999999994
2024-02-23,15.09,15.97,0.8800000000000008,0.6599999999999998
2024-02-26,15.16,15.97,0.8100000000000005,0.7440000000000001
2024-02-27,15.16,15.97,0.8100000000000005,0.8260000000000002
2024-02-28,16.03,16.35,0.3200000000000003,0.7120000000000004
2024-02-29,16.35,16.84,0.48999999999999844,0.6620000000000001
2024-03-01,17.1,18.04,0.9399999999999977,0.6739999999999995
2024-03-04,17.12,18.04,0.9199999999999982,0.6959999999999991
2024-03-05,17.1,17.89,0.7899999999999991,0.6919999999999987
2024-03-06,16.92,17.63,0.7099999999999973,0.7699999999999981
2024-03-07,16.89,17.63,0.7399999999999984,0.8199999999999982
2024-03-08,16.78,17.59,0.8099999999999987,0.7939999999999984
2024-03-11,16.71,17.66,0.9499999999999993,0.7999999999999986
2024-03-12,17.0,17.81,0.8099999999999987,0.8039999999999985
2024-03-13,17.0,17.81,0.8099999999999987,0.8239999999999987
2024-03-14,17.3,18.04,0.7399999999999984,0.8239999999999987
2024-03-15,16.74,17.26,0.5200000000000031,0.7659999999999997
2024-03-18,16.64,17.11,0.46999999999999886,0.6699999999999996
2024-03-19,16.64,17.41,0.7699999999999996,0.6619999999999997
2024-03-20,16.56,17.26,0.7000000000000028,0.6400000000000006
2024-03-21,16.71,17.33,0.6199999999999974,0.6160000000000003
2024-03-22,16.64,17.41,0.7699999999999996,0.6659999999999997
2024-03-25,16.47,17.18,0.7100000000000009,0.7140000000000001
2024-03-26,15.68,16.58,0.8999999999999986,0.7399999999999999
2024-03-27,15.69,16.5,0.8100000000000005,0.7619999999999993
2024-03-28,15.66,16.5,0.8399999999999999,0.8059999999999998
2024-04-01,15.69,16.5,0.8100000000000005,0.8140000000000001
2024-04-02,15.68,16.5,0.8200000000000003,0.836
2024-04-03,15.69,16.52,0.8300000000000001,0.8220000000000003
2024-04-04,15.61,16.52,0.9100000000000001,0.8420000000000002
2024-04-05,15.62,16.24,0.6199999999999992,0.798
2024-04-08,15.62,16.24,0.6199999999999992,0.7599999999999998
2024-04-09,15.62,16.24,0.6199999999999992,0.7199999999999995
2024-04-10,15.63,16.24,0.6099999999999977,0.675999999999999
2024-04-11,15.69,16.24,0.5499999999999989,0.6039999999999989
2024-04-12,15.43,16.24,0.8099999999999987,0.6419999999999988
2024-04-15,15.72,16.24,0.5199999999999978,0.6219999999999984
2024-04-16,15.87,16.24,0.3699999999999992,0.5719999999999985
2024-04-17,15.6,16.14,0.5400000000000009,0.5579999999999992
2024-04-18,15.72,16.07,0.34999999999999964,0.5179999999999992
2024-04-19,15.54,16.07,0.5300000000000011,0.46199999999999974
2024-04-22,15.57,16.07,0.5,0.4580000000000002
2024-04-23,15.57,16.07,0.5,0.4840000000000003
2024-04-24,15.43,16.07,0.6400000000000006,0.5040000000000002
2024-04-25,15.5,16.07,0.5700000000000003,0.5480000000000004
2024-04-26,15.5,16.07,0.5700000000000003,0.5560000000000003
2024-04-29,15.97,17.31,1.339999999999998,0.7239999999999999
2024-04-30,16.12,17.44,1.3200000000000003,0.8879999999999999
2024-05-01,16.03,17.23,1.1999999999999993,0.9999999999999997
2024-05-02,16.0,17.19,1.1900000000000013,1.1239999999999999
2024-05-03,16.03,17.23,1.1999999999999993,1.2499999999999996
