Date,XLIX5,XLIJ5,diff,diff_ma5
2023-12-01,17.18,19.22,2.039999999999999,
2023-12-04,17.3,17.07,0.23000000000000043,
2023-12-05,16.0,17.16,1.1600000000000001,
2023-12-06,16.0,16.11,0.10999999999999943,
2023-12-07,16.95,15.99,0.9599999999999991,0.8999999999999997
2023-12-08,17.75,16.71,1.0399999999999991,0.6999999999999996
2023-12-11,17.75,17.31,0.4400000000000013,0.7419999999999998
2023-12-12,17.25,17.31,0.05999999999999872,0.5219999999999996
2023-12-13,15.6,17.12,1.5200000000000014,0.8039999999999999
2023-12-14,17.1,15.88,1.2200000000000006,0.8560000000000002
2023-12-15,17.1,17.44,0.33999999999999986,0.7160000000000004
2023-12-18,17.25,17.44,0.19000000000000128,0.6660000000000004
2023-12-19,17.92,17.59,0.33000000000000185,0.720000000000001
2023-12-20,17.92,18.26,0.33999999999999986,0.4840000000000007
2023-12-21,17.92,18.26,0.33999999999999986,0.30800000000000055
2023-12-22,17.92,18.26,0.33999999999999986,0.30800000000000055
2023-12-26,17.92,18.26,0.33999999999999986,0.33800000000000024
2023-12-27,17.92,18.26,0.33999999999999986,0.33999999999999986
2023-12-28,18.0,18.26,0.26000000000000156,0.3240000000000002
2023-12-29,16.8,18.34,1.5399999999999991,0.5640000000000001
2024-01-02,17.96,17.25,0.7100000000000009,0.6380000000000002
2024-01-03,18.15,18.1,0.04999999999999716,0.5799999999999997
2024-01-04,17.93,17.89,0.03999999999999915,0.5199999999999996
2024-01-05,17.81,17.66,0.14999999999999858,0.497999999999999
2024-01-08,17.63,17.55,0.0799999999999983,0.2059999999999988
2024-01-09,17.36,17.18,0.17999999999999972,0.09999999999999858
2024-01-10,17.21,16.91,0.3000000000000007,0.1499999999999993
2024-01-11,17.25,16.73,0.5199999999999996,0.24599999999999939
2024-01-12,17.18,16.77,0.41000000000000014,0.2979999999999997
2024-01-15,17.18,16.44,0.7399999999999984,0.4299999999999997
2024-01-16,17.18,16.44,0.7399999999999984,0.5419999999999995
2024-01-17,17.14,16.44,0.6999999999999993,0.6219999999999992
2024-01-18,16.5,16.41,0.08999999999999986,0.5359999999999993
2024-01-19,16.28,16.03,0.25,0.5039999999999992
2024-01-22,16.28,16.03,0.25,0.40599999999999953
2024-01-23,16.52,15.96,0.5599999999999987,0.36999999999999955
2024-01-24,16.52,16.05,0.46999999999999886,0.3239999999999995
2024-01-25,17.21,16.12,1.0899999999999999,0.5239999999999995
2024-01-26,16.09,15.7,0.39000000000000057,0.5519999999999996
2024-01-29,16.42,15.7,0.7200000000000024,0.6460000000000001
2024-01-30,16.42,15.54,0.8800000000000026,0.7100000000000009
2024-01-31,16.42,15.64,0.7800000000000011,0.7720000000000014
2024-02-01,16.42,15.64,0.7800000000000011,0.7100000000000015
2024-02-02,16.39,15.32,1.0700000000000003,0.8460000000000015
2024-02-05,15.3,14.91,0.39000000000000057,0.7800000000000011
2024-02-06,16.27,14.76,1.5099999999999998,0.9060000000000006
2024-02-07,16.05,15.21,0.8399999999999999,0.9180000000000004
2024-02-08,16.05,14.98,1.0700000000000003,0.9760000000000002
2024-02-09,16.05,14.98,1.0700000000000003,0.9760000000000002
2024-02-12,15.6,14.98,0.6199999999999992,1.0219999999999998
2024-02-13,15.6,14.87,0.7300000000000004,0.866
2024-02-14,15.6,14.7,0.9000000000000004,0.8780000000000001
2024-02-15,15.6,14.7,0.9000000000000004,0.8440000000000001
2024-02-16,15.6,14.93,0.6699999999999999,0.764
2024-02-19,15.49,14.93,0.5600000000000005,0.7520000000000003
2024-02-20,15.52,14.87,0.6500000000000004,0.7360000000000003
2024-02-21,15.71,14.66,1.0500000000000007,0.7660000000000003
2024-02-22,15.97,14.85,1.120000000000001,0.8100000000000005
2024-02-23,15.97,14.82,1.1500000000000004,0.9060000000000006
2024-02-26,15.97,14.86,1.1100000000000012,1.0160000000000007
2024-02-27,16.35,14.86,1.490000000000002,1.184000000000001
2024-02-28,16.84,15.47,1.3699999999999992,1.2480000000000007
2024-02-29,18.04,15.97,2.0699999999999985,1.4380000000000002
2024-03-01,18.04,17.47,0.5700000000000003,1.3220000000000003
2024-03-04,17.89,17.54,0.3500000000000014,1.1700000000000004
2024-03-05,17.63,17.57,0.05999999999999872,0.8839999999999997
2024-03-06,17.63,17.23,0.3999999999999986,0.6899999999999995
2024-03-07,17.59,17.15,0.4400000000000013,0.36400000000000005
2024-03-08,17.66,17.14,0.5199999999999996,0.3539999999999999
2024-03-11,17.81,17.23,0.5799999999999983,0.3999999999999993
2024-03-12,17.81,17.34,0.46999999999999886,0.4819999999999993
2024-03-13,18.04,17.34,0.6999999999999993,0.5419999999999995
2024-03-14,17.26,17.57,0.3099999999999987,0.5159999999999989
2024-03-15,17.11,17.03,0.0799999999999983,0.4279999999999987
2024-03-18,17.41,16.93,0.4800000000000004,0.40799999999999914
2024-03-19,17.26,17.08,0.18000000000000327,0.35
2024-03-20,17.33,16.86,0.46999999999999886,0.30399999999999994
2024-03-21,17.41,17.08,0.33000000000000185,0.30800000000000055
2024-03-22,17.18,17.23,0.05000000000000071,0.30200000000000105
2024-03-25,16.58,16.97,0.39000000000000057,0.28400000000000103
2024-03-26,16.5,16.37,0.129999999999999,0.2740000000000002
2024-03-27,16.5,16.43,0.07000000000000028,0.19400000000000048
2024-03-28,16.5,16.41,0.08999999999999986,0.14600000000000007
2024-04-01,16.5,16.41,0.08999999999999986,0.15399999999999991
2024-04-02,16.52,15.83,0.6899999999999995,0.2139999999999997
2024-04-03,16.52,15.84,0.6799999999999997,0.32399999999999984
2024-04-04,16.24,15.84,0.3999999999999986,0.3899999999999995
2024-04-05,16.24,15.84,0.3999999999999986,0.45199999999999924
2024-04-08,16.24,15.84,0.3999999999999986,0.513999999999999
2024-04-09,16.24,15.84,0.3999999999999986,0.4559999999999988
2024-04-10,16.24,15.77,0.46999999999999886,0.41399999999999865
2024-04-11,16.24,15.84,0.3999999999999986,0.41399999999999865
2024-04-12,16.24,16.01,0.22999999999999687,0.3799999999999983
2024-04-15,16.24,16.01,0.22999999999999687,0.345999999999998
2024-04-16,16.14,16.12,0.019999999999999574,0.26999999999999813
2024-04-17,16.07,16.09,0.019999999999999574,0.1799999999999983
2024-04-18,16.07,16.01,0.05999999999999872,0.11199999999999832
2024-04-19,16.07,16.01,0.05999999999999872,0.0779999999999987
2024-04-22,16.07,16.01,0.05999999999999872,0.04399999999999906
2024-04-23,16.07,16.01,0.05999999999999872,0.051999999999998894
2024-04-24,16.07,15.94,0.13000000000000078,0.07399999999999914
2024-04-25,16.07,15.88,0.1899999999999995,0.09999999999999928
2024-04-26,17.31,15.88,1.429999999999998,0.3739999999999991
2024-04-29,17.44,16.25,1.1900000000000013,0.5999999999999996
2024-04-30,17.23,16.53,0.6999999999999993,0.7279999999999998
2024-05-01,17.19,16.25,0.9400000000000013,0.8899999999999999
2024-05-02,17.23,16.03,1.1999999999999993,1.0919999999999999
2024-05-03,17.23,16.06,1.1700000000000017,1.0400000000000005
2024-05-06,17.23,16.06,1.1700000000000017,1.0360000000000007
2024-05-07,17.12,16.06,1.0600000000000023,1.1080000000000012
2024-05-08,17.07,15.98,1.0899999999999999,1.138000000000001
2024-05-09,16.99,15.92,1.0699999999999985,1.1120000000000008
2024-05-10,16.92,15.92,1.0000000000000018,1.0780000000000007
2024-05-13,16.62,15.84,0.7800000000000011,1.0000000000000007
2024-05-14,16.29,15.6,0.6899999999999995,0.9260000000000002
2024-05-15,16.26,15.53,0.7300000000000022,0.8540000000000006
2024-05-16,16.29,15.49,0.7999999999999989,0.8000000000000007
2024-05-17,16.28,15.38,0.9000000000000004,0.7800000000000005
2024-05-20,16.28,15.41,0.870000000000001,0.7980000000000004
2024-05-21,16.26,15.41,0.8500000000000014,0.8300000000000007
2024-05-22,16.22,15.4,0.8199999999999985,0.8480000000000001
2024-05-23,16.22,15.34,0.879999999999999,0.8640000000000001
2024-05-24,16.26,15.3,0.9600000000000009,0.8760000000000001
2024-05-27,16.26,15.34,0.9200000000000017,0.8860000000000003
2024-05-28,16.22,15.34,0.879999999999999,0.8919999999999998
2024-05-29,16.18,15.26,0.9199999999999999,0.9120000000000001
2024-05-30,16.14,15.23,0.9100000000000001,0.9180000000000004
2024-05-31,16.03,15.21,0.8200000000000003,0.8900000000000002
2024-06-03,15.96,15.13,0.8300000000000001,0.8719999999999999
2024-06-04,15.96,14.98,0.9800000000000004,0.8920000000000001
2024-06-05,16.42,14.78,1.6400000000000023,1.0360000000000007
2024-06-06,16.16,15.21,0.9499999999999993,1.0440000000000005
2024-06-07,16.18,15.21,0.9699999999999989,1.0740000000000003
2024-06-10,16.12,15.23,0.8900000000000006,1.0860000000000003
2024-06-11,16.12,15.06,1.0600000000000005,1.1020000000000003
2024-06-12,15.96,15.09,0.870000000000001,0.9480000000000001
2024-06-13,15.96,15.0,0.9600000000000009,0.9500000000000004
2024-06-14,15.96,15.0,0.9600000000000009,0.9480000000000007
2024-06-17,15.71,15.0,0.7100000000000009,0.9120000000000008
2024-06-18,15.72,14.79,0.9300000000000015,0.886000000000001
2024-06-19,15.72,14.84,0.8800000000000008,0.888000000000001
2024-06-20,15.72,14.84,0.8800000000000008,0.872000000000001
2024-06-21,15.66,14.77,0.8900000000000006,0.8580000000000009
2024-06-24,15.53,14.33,1.1999999999999993,0.9560000000000006
2024-06-25,15.53,14.28,1.25,1.0200000000000002
2024-06-26,15.49,14.17,1.3200000000000003,1.108
2024-06-27,15.42,13.99,1.4299999999999997,1.218
2024-06-28,15.15,13.94,1.2100000000000009,1.282
2024-07-01,15.59,13.87,1.7200000000000006,1.3860000000000003
2024-07-02,14.94,14.28,0.6600000000000001,1.2680000000000002
2024-07-03,14.79,13.83,0.9599999999999991,1.1960000000000002
2024-07-04,14.79,13.83,0.9599999999999991,1.1019999999999999
2024-07-05,14.79,13.83,0.9599999999999991,1.0519999999999996
