Exchange Date;Close;Net;%Chg;Open;Low;High;Volume;Bid;Ask
12-Apr-2024;76 010;+120;+0%;75 700;75 410;76 600;9 190;76 360;76 500
11-Apr-2024;75 890;-200;-0%;76 330;75 360;76 330;16 095;75 830;75 900
10-Apr-2024;76 090;+180;+0%;76 300;75 730;76 600;14 510;76 270;76 390
09-Apr-2024;75 910;+680;+1%;75 880;75 560;76 490;18 045;75 750;75 800
08-Apr-2024;75 230;+1 710;+2%;75 130;74 260;75 990;19 765;75 330;75 500
03-Apr-2024;73 520;+600;+1%;73 380;73 090;73 850;20 155;73 810;73 880
02-Apr-2024;72 920;+200;+0%;72 880;72 720;73 230;20 025;73 100;73 150
01-Apr-2024;72 720;+520;+1%;72 380;72 380;73 070;17 506;72 650;73 010
29-Mar-2024;72 200;+110;+0%;72 160;71 940;72 480;21 598;72 310;72 480
28-Mar-2024;72 090;+170;+0%;71 790;71 530;72 500;24 066;72 350;72 360
27-Mar-2024;71 920;-70;-0%;72 190;71 750;72 190;21 639;71 950;72 000
26-Mar-2024;71 990;-320;-0%;72 180;71 620;72 420;27 892;71 850;71 910
25-Mar-2024;72 310;-40;-0%;72 070;72 060;72 550;35 495;72 150;72 190
22-Mar-2024;72 350;-500;-1%;72 780;72 050;72 920;42 034;72 180;72 230
21-Mar-2024;72 850;+310;+0%;72 150;72 070;73 400;33 259;73 110;73 130
20-Mar-2024;72 540;-530;-1%;72 310;72 220;72 750;29 327;72 500;72 510
19-Mar-2024;73 070;+110;+0%;73 090;72 380;73 740;44 280;72 740;72 770
18-Mar-2024;72 960;+930;+1%;72 960;72 590;73 300;49 505;72 710;72 730
15-Mar-2024;72 030;+340;+0%;71 380;71 380;73 000;3 685;70 820;73 500
14-Mar-2024;71 690;+1 930;+3%;71 000;70 880;72 230;6 335;71 150;71 470
13-Mar-2024;69 760;+240;+0%;69 680;69 410;70 170;11 880;70 160;70 280
12-Mar-2024;69 520;+160;+0%;69 560;69 410;69 710;11 830;69 660;69 750
11-Mar-2024;69 360;-350;-1%;69 680;69 200;69 740;13 895;69 350;69 400
08-Mar-2024;69 710;+410;+1%;69 790;69 540;70 020;20 065;69 740;69 790
07-Mar-2024;69 300;+360;+1%;69 120;69 050;69 470;16 845;69 370;69 380
06-Mar-2024;68 940;-90;-0%;69 010;68 860;69 130;12 260;68 980;69 070
05-Mar-2024;69 030;+120;+0%;69 180;68 950;69 240;13 070;68 970;68 990
04-Mar-2024;68 910;+40;+0%;68 770;68 710;69 100;15 905;69 030;69 100
01-Mar-2024;68 870;+130;+0%;68 850;68 820;69 070;15 254;68 840;68 870
29-Feb-2024;68 740;-60;-0%;68 600;68 540;68 990;25 346;68 910;69 140
28-Feb-2024;68 800;+20;+0%;68 930;68 690;68 960;20 741;68 700;68 710
27-Feb-2024;68 780;-280;-0%;68 850;68 640;68 970;25 953;68 930;68 940
26-Feb-2024;69 060;-230;-0%;69 070;68 960;69 290;25 593;68 990;69 010
23-Feb-2024;69 290;+160;+0%;69 220;69 000;69 450;38 945;69 250;69 270
22-Feb-2024;69 130;+320;+0%;69 140;68 980;69 450;34 399;69 150;69 160
21-Feb-2024;68 810;+440;+1%;68 460;68 370;69 000;46 946;68 980;68 990
20-Feb-2024;68 370;+150;+0%;68 500;68 220;68 600;38 156;68 310;68 340
19-Feb-2024;68 220;+540;+1%;68 360;66 550;68 390;7 670;68 210;68 310
08-Feb-2024;67 680;-260;-0%;67 870;67 520;67 870;3 295;67 670;67 880
07-Feb-2024;67 940;-70;-0%;67 910;67 800;68 100;6 355;67 930;68 060
06-Feb-2024;68 010;-500;-1%;68 300;67 900;68 300;10 215;67 930;68 010
05-Feb-2024;68 510;-200;-0%;68 680;68 410;68 740;10 465;68 400;68 450
02-Feb-2024;68 710;-440;-1%;68 870;68 450;69 050;11 755;68 500;68 560
01-Feb-2024;69 150;+10;+0%;69 270;68 860;69 800;14 035;68 880;68 910
31-Jan-2024;69 140;+220;+0%;68 900;68 840;69 260;20 604;69 220;69 230
30-Jan-2024;68 920;+70;+0%;68 810;68 750;69 090;13 538;68 830;68 850
29-Jan-2024;68 850;-80;-0%;68 820;68 650;69 160;19 552;68 670;68 690
26-Jan-2024;68 930;+150;+0%;68 980;68 750;69 050;22 459;68 770;68 780
25-Jan-2024;68 780;+620;+1%;68 780;68 670;68 890;38 371;68 780;68 800
24-Jan-2024;68 160;+280;+0%;68 100;67 970;68 350;20 416;68 310;68 340
23-Jan-2024;67 880;-120;-0%;67 810;67 720;68 110;22 893;68 070;68 090
22-Jan-2024;68 000;+320;+0%;68 000;67 820;68 120;28 734;67 860;67 870
19-Jan-2024;67 680;-20;-0%;67 580;67 410;67 890;28 421;67 750;67 770
18-Jan-2024;67 700;-200;-0%;67 850;67 520;67 880;31 173;67 860;67 870
17-Jan-2024;67 900;+70;+0%;68 030;67 710;68 160;26 004;67 730;67 760
16-Jan-2024;67 830;-110;-0%;67 870;67 690;68 040;30 611;67 800;67 810
15-Jan-2024;67 940;-320;-0%;68 160;67 700;68 250;5 745;67 730;67 800
12-Jan-2024;68 260;+20;+0%;68 360;68 010;68 430;12 580;68 330;68 350
11-Jan-2024;68 240;+130;+0%;68 290;67 960;68 390;12 795;68 330;68 380
10-Jan-2024;68 110;-260;-0%;68 290;68 020;68 330;19 260;68 040;68 050
09-Jan-2024;68 370;+80;+0%;68 280;68 070;68 530;17 570;68 350;68 370
08-Jan-2024;68 290;-180;-0%;68 340;68 210;68 620;17 280;68 310;68 370
05-Jan-2024;68 470;-40;-0%;68 380;68 250;68 630;16 720;68 450;68 510
04-Jan-2024;68 510;-190;-0%;68 520;68 310;68 730;18 135;68 480;68 500
03-Jan-2024;68 700;-220;-0%;68 780;68 600;68 900;17 520;68 660;68 680
02-Jan-2024;68 920;-150;-0%;68 920;68 800;69 150;13 614;69 030;69 050
29-Dec-2023;69 070;-440;-1%;69 100;68 960;69 250;28 155;69 040;69 220
28-Dec-2023;69 510;+290;+0%;69 240;69 240;69 870;29 627;69 370;69 400
27-Dec-2023;69 220;0;0%;69 210;69 030;69 410;23 855;69 280;69 300
26-Dec-2023;69 220;+130;+0%;69 150;69 100;69 380;25 438;69 320;69 350
25-Dec-2023;69 090;+10;+0%;68 930;68 920;69 230;26 789;69 140;69 150
22-Dec-2023;69 080;+220;+0%;68 800;68 800;69 290;44 807;69 050;69 070
21-Dec-2023;68 860;-70;-0%;68 750;68 680;69 000;44 392;68 960;68 970
20-Dec-2023;68 930;+450;+1%;68 710;68 670;69 270;62 550;68 990;69 000
19-Dec-2023;68 480;-100;-0%;68 520;68 350;68 600;40 688;68 470;68 490
18-Dec-2023;68 580;-380;-1%;68 610;68 330;68 750;50 633;68 630;68 650
15-Dec-2023;68 960;+390;+1%;69 010;68 690;69 240;5 885;67 220;69 390
14-Dec-2023;68 570;+260;+0%;68 320;68 210;68 700;11 350;68 590;68 600
13-Dec-2023;68 310;-80;-0%;68 430;68 150;68 430;16 915;68 320;68 340
12-Dec-2023;68 390;-300;-0%;68 490;68 200;68 540;20 000;68 500;68 520
11-Dec-2023;68 690;+360;+1%;68 660;68 550;69 050;17 115;68 650;68 730
08-Dec-2023;68 330;+350;+1%;68 010;67 980;68 480;17 720;68 380;68 460
07-Dec-2023;67 980;-270;-0%;68 490;67 720;68 590;22 680;67 960;67 980
06-Dec-2023;68 250;-320;-0%;68 090;68 000;68 510;21 145;68 490;68 510
05-Dec-2023;68 570;-570;-1%;68 800;68 210;68 880;22 425;68 300;68 320
04-Dec-2023;69 140;+450;+1%;69 020;68 910;69 420;19 250;68 910;68 940
01-Dec-2023;68 690;+310;+0%;68 300;68 270;68 810;17 804;68 630;68 670
30-Nov-2023;68 380;+20;+0%;68 370;68 180;68 570;25 150;68 420;68 580
