17-Mar-2017;52 750,00;--500,00;--0,94%;0,00;0,00;0,00;0;52 500,00;53 000,00
20-Mar-2017;52 750,00;0,00;0,00%;53 000,00;53 000,00;53 000,00;5;52 500,00;53 000,00
21-Mar-2017;52 750,00;0,00;0,00%;53 000,00;53 000,00;53 000,00;5;52 500,00;53 000,00
22-Mar-2017;54 000,00;+1 250,00;+2,37%;53 000,00;53 000,00;53 000,00;9;53 750,00;54 250,00
23-Mar-2017;54 000,00;0,00;0,00%;0,00;0,00;0,00;0;53 750,00;54 250,00
24-Mar-2017;53 750,00;--250,00;--0,46%;0,00;0,00;0,00;0;53 500,00;54 000,00
27-Mar-2017;53 750,00;0,00;0,00%;0,00;0,00;0,00;0;53 500,00;54 000,00
28-Mar-2017;53 750,00;0,00;0,00%;0,00;0,00;0,00;0;53 500,00;54 000,00
29-Mar-2017;54 750,00;+1 000,00;+1,86%;0,00;0,00;0,00;0;54 500,00;55 000,00
30-Mar-2017;54 750,00;0,00;0,00%;55 000,00;55 000,00;55 000,00;2;54 500,00;55 500,00
31-Mar-2017;54 500,00;--250,00;--0,46%;0,00;0,00;0,00;0;54 250,00;54 750,00
03-Apr-2017;55 750,00;+1 250,00;+2,29%;55 500,00;55 500,00;55 500,00;5;55 500,00;56 000,00
04-Apr-2017;55 750,00;0,00;0,00%;0,00;0,00;0,00;0;55 500,00;56 000,00
05-Apr-2017;56 250,00;+500,00;+0,90%;0,00;0,00;0,00;0;56 000,00;56 500,00
06-Apr-2017;55 750,00;--500,00;--0,89%;0,00;0,00;0,00;0;55 500,00;56 000,00
07-Apr-2017;55 500,00;--250,00;--0,45%;0,00;0,00;0,00;0;55 250,00;55 750,00
10-Apr-2017;55 250,00;--250,00;--0,45%;0,00;0,00;0,00;0;55 000,00;55 500,00
11-Apr-2017;55 750,00;+500,00;+0,90%;55 500,00;55 500,00;55 500,00;3;55 500,00;56 000,00
12-Apr-2017;55 250,00;--500,00;--0,90%;0,00;0,00;0,00;0;55 000,00;55 500,00
13-Apr-2017;55 250,00;0,00;0,00%;0,00;0,00;0,00;0;55 000,00;55 500,00
18-Apr-2017;55 250,00;0,00;0,00%;0,00;0,00;0,00;0;55 000,00;55 500,00
19-Apr-2017;55 000,00;--250,00;--0,45%;0,00;0,00;0,00;0;54 750,00;55 250,00
20-Apr-2017;54 750,00;--250,00;--0,45%;0,00;0,00;0,00;0;54 500,00;55 000,00
21-Apr-2017;54 750,00;0,00;0,00%;55 000,00;55 000,00;55 000,00;5;54 750,00;55 250,00
24-Apr-2017;55 000,00;+250,00;+0,46%;0,00;0,00;0,00;0;54 750,00;55 250,00
25-Apr-2017;55 000,00;0,00;0,00%;0,00;0,00;0,00;0;54 750,00;55 250,00
26-Apr-2017;55 000,00;0,00;0,00%;0,00;0,00;0,00;0;54 750,00;55 250,00
27-Apr-2017;55 250,00;+250,00;+0,45%;0,00;0,00;0,00;0;55 000,00;55 500,00
28-Apr-2017;55 000,00;--250,00;--0,45%;0,00;0,00;0,00;0;54 750,00;55 250,00
02-May-2017;54 750,00;--250,00;--0,45%;0,00;0,00;0,00;0;54 500,00;55 000,00
03-May-2017;54 750,00;0,00;0,00%;0,00;0,00;0,00;0;54 500,00;55 000,00
04-May-2017;54 750,00;0,00;0,00%;53 000,00;53 000,00;53 000,00;3;54 500,00;55 000,00
05-May-2017;54 750,00;0,00;0,00%;54 750,00;54 750,00;54 750,00;3;54 500,00;55 000,00
08-May-2017;54 150,00;--600,00;--1,10%;0,00;0,00;0,00;0;53 900,00;54 400,00
09-May-2017;54 250,00;+100,00;+0,18%;0,00;0,00;0,00;0;54 000,00;54 500,00
10-May-2017;54 250,00;0,00;0,00%;0,00;0,00;0,00;0;54 000,00;54 500,00
