Date,Price
2018-02-01,3.197
2018-02-02,3.1765
2018-02-05,3.2105
2018-02-06,3.1775
2018-02-07,3.0765
2018-02-08,3.072
2018-02-09,3.0245
2018-02-12,3.0775
2018-02-13,3.1545
2018-02-14,3.2285
2018-02-15,3.239
2018-02-16,3.243
2018-02-19,2.9002
2018-02-20,3.186
2018-02-21,3.2115
2018-02-22,3.2375
2018-02-23,3.2085
2018-02-26,3.196
2018-02-27,3.1575
2018-02-28,3.1075
2018-03-01,3.0995
2018-03-02,3.101
2018-03-05,3.1055
2018-03-06,3.137
2018-03-07,3.114
2018-03-08,3.0585
2018-03-09,3.116
2018-03-12,3.104
2018-03-13,3.119
2018-03-14,3.14
2018-03-15,3.111
2018-03-16,3.093
2018-03-19,3.0695
2018-03-20,3.0255
2018-03-21,3.0485
2018-03-22,3.012
2018-03-23,2.9845
2018-03-26,2.9605
2018-03-27,2.9915
2018-03-28,2.994
2018-03-29,3.019
2018-04-02,3.0405
2018-04-03,3.058
2018-04-04,3.007
2018-04-05,3.0695
2018-04-06,3.054
2018-04-09,3.0715
2018-04-10,3.131
2018-04-11,3.112
2018-04-12,3.06
2018-04-13,3.0675
2018-04-16,3.0915
2018-04-17,3.075
2018-04-18,3.1535
2018-04-19,3.128
2018-04-20,3.1315
2018-04-23,3.108
2018-04-24,3.1385
2018-04-25,3.132
2018-04-26,3.113
2018-04-27,3.046
2018-04-30,3.0525
2018-05-01,3.015
2018-05-02,3.0475
2018-05-03,3.059
2018-05-04,3.0655
2018-05-07,3.0595
2018-05-08,3.0405
2018-05-09,3.0395
2018-05-10,3.0925
2018-05-11,3.095
2018-05-14,3.0785
2018-05-15,3.0425
2018-05-16,3.0585
2018-05-17,3.077
2018-05-18,3.051
2018-05-21,3.0855
2018-05-22,3.119
2018-05-23,3.0605
2018-05-24,3.0855
2018-05-25,3.067
2018-05-28,3.0546
2018-05-29,3.052
2018-05-30,3.0595
2018-05-31,3.058
2018-06-01,3.0915
2018-06-04,3.1265
2018-06-05,3.191
2018-06-06,3.2545
2018-06-07,3.268
2018-06-08,3.293
2018-06-11,3.2505
2018-06-12,3.2425
2018-06-13,3.248
2018-06-14,3.2165
2018-06-15,3.141
2018-06-18,3.1035
2018-06-19,3.0465
2018-06-20,3.0465
2018-06-21,3.025
2018-06-22,3.0325
2018-06-25,2.992
2018-06-26,2.997
2018-06-27,2.9895
2018-06-28,2.9535
2018-06-29,2.951
2018-07-02,2.9315
2018-07-03,2.906
2018-07-04,2.8455
2018-07-05,2.814
2018-07-06,2.813
2018-07-09,2.839
2018-07-10,2.8285
2018-07-11,2.7335
2018-07-12,2.768
2018-07-13,2.77
2018-07-16,2.757
2018-07-17,2.7395
2018-07-18,2.752
2018-07-19,2.686
2018-07-20,2.746
2018-07-23,2.737
2018-07-24,2.8
2018-07-25,2.806
2018-07-26,2.804
2018-07-27,2.7875
2018-07-30,2.779
2018-07-31,2.819
2018-08-01,2.735
2018-08-02,2.727
2018-08-03,2.7535
2018-08-06,2.721
2018-08-07,2.741
2018-08-08,2.7405
2018-08-09,2.8331
2018-08-10,2.7758
2018-08-13,2.7578
2018-08-14,2.7479
2018-08-15,2.6501
2018-08-16,2.6135
2018-08-17,2.6499
2018-08-20,2.7043
2018-08-21,2.7329
2018-08-22,2.7206
2018-08-23,2.6807
2018-08-24,2.7216
2018-08-27,2.705
2018-08-28,2.7746
2018-08-29,2.7501
2018-08-30,2.7513
2018-08-31,2.7297
2018-09-03,2.6989
2018-09-04,2.6408
2018-09-05,2.6533
2018-09-06,2.6939
2018-09-07,2.6676
2018-09-10,2.649
2018-09-11,2.6528
2018-09-12,2.6717
2018-09-13,2.7172
2018-09-14,2.6971
2018-09-17,2.6578
2018-09-18,2.7225
2018-09-19,2.7472
2018-09-20,2.747
2018-09-21,2.8132
2018-09-24,2.8658
2018-09-25,2.8465
2018-09-26,2.8381
2018-09-27,2.822
2018-09-28,2.8027
2018-10-01,2.7987
2018-10-02,2.8454
2018-10-03,2.8454
2018-10-04,2.8617
2018-10-05,2.8041
2018-10-08,2.7978
2018-10-09,2.795
2018-10-10,2.854
2018-10-11,2.7905
2018-10-12,2.8681
2018-10-15,2.8549
2018-10-16,2.813
2018-10-17,2.834
2018-10-18,2.7873
2018-10-19,2.8082
2018-10-22,2.8499
2018-10-23,2.7971
2018-10-24,2.8186
2018-10-25,2.8164
2018-10-26,2.7932
2018-10-29,2.8386
2018-10-30,2.7828
2018-10-31,2.6635
2018-11-01,2.7524
2018-11-02,2.8368
2018-11-05,2.8297
2018-11-06,2.8143
2018-11-07,2.8159
2018-11-08,2.7828
2018-11-09,2.761
2018-11-12,2.7592
2018-11-13,2.7792
2018-11-14,2.7692
2018-11-15,2.8064
2018-11-16,2.8034
2018-11-19,2.839
2018-11-20,2.8395
2018-11-21,2.8309
2018-11-22,2.8327
2018-11-23,2.8164
2018-11-26,2.8327
2018-11-27,2.798
2018-11-28,2.796
2018-11-29,2.8486
2018-11-30,2.8291
2018-12-03,2.8604
2018-12-04,2.7485
2018-12-05,2.7946
2018-12-06,2.7714
2018-12-07,2.7996
2018-12-10,2.7714
2018-12-11,2.7953
2018-12-12,2.7896
2018-12-13,2.81
2018-12-14,2.7683
2018-12-17,2.7646
2018-12-18,2.7408
2018-12-19,2.7215
2018-12-20,2.7281
2018-12-21,2.7148
2018-12-24,2.6903
2018-12-26,2.7085
2018-12-27,2.7148
2018-12-28,2.7284
2018-12-31,2.7052
2019-01-02,2.6481
2019-01-03,2.6356
2019-01-04,2.6481
2019-01-07,2.641
2019-01-08,2.678
2019-01-09,2.7048
2019-01-10,2.6796
2019-01-11,2.688
2019-01-14,2.6581
2019-01-15,2.6676
2019-01-16,2.681
2019-01-17,2.6907
2019-01-18,2.7311
2019-01-21,2.6993
2019-01-22,2.688
2019-01-23,2.6853
2019-01-24,2.6689
2019-01-25,2.6762
2019-01-28,2.7195
2019-01-29,2.7243
2019-01-30,2.756
2019-01-31,2.7878
2019-02-01,2.7656
2019-02-04,2.756
2019-02-05,2.8003
2019-02-06,2.8164
2019-02-07,2.8241
2019-02-08,2.815
2019-02-11,2.7885
2019-02-12,2.7669
2019-02-13,2.7755
2019-02-14,2.8023
2019-02-15,2.8068
2019-02-18,2.8451
