Date,Price,Net,%Chg,Open,Low,High,Volume,Bid,Ask
2017-04-27,46200.0,+20,+0%,46 250,46 080,46 400,20 545,46 210,46 220
2017-04-28,46190.0,-10,-0%,46 300,45 790,46 360,21 839,46 210,46 310
2017-05-02,46760.0,+570,+1%,46 860,46 620,46 950,15 811,46 680,46 690
2017-05-03,46540.0,-220,-0%,46 790,46 430,46 830,12 335,46 460,46 510
2017-05-04,45460.0,-1 080,-2%,45 800,45 000,45 920,24 085,45 160,45 210
2017-05-05,45070.0,-390,-1%,44 990,44 680,45 230,15 580,44 960,45 000
2017-05-08,44910.0,-160,-0%,45 000,44 650,45 460,15 505,44 620,44 720
2017-05-09,44690.0,-220,-0%,44 570,44 480,44 830,12 850,44 660,44 730
2017-05-10,44840.0,+150,+0%,44 850,44 650,45 100,11 325,44 790,44 800
2017-05-11,44880.0,+40,+0%,45 410,44 650,45 410,8 775,45 140,45 200
2017-05-12,44930.0,+50,+0%,45 380,44 810,45 380,5 570,44 860,44 880
2017-05-15,45170.0,+240,+1%,45 050,44 900,45 360,3 870,45 160,45 350
2017-05-16,45230.0,+60,+0%,45 530,45 010,45 530,32 868,45 100,45 150
2017-05-17,45370.0,+140,+0%,45 260,45 240,45 590,33 074,45 360,45 380
2017-05-18,45050.0,-320,-1%,45 230,44 910,45 450,30 460,44 920,44 960
2017-05-19,45160.0,+110,+0%,44 630,44 570,45 370,33 937,45 250,45 280
2017-05-22,45760.0,+600,+1%,45 520,45 440,45 970,38 426,45 760,45 780
2017-05-23,45880.0,+120,+0%,45 910,45 720,46 050,29 632,45 720,45 730
2017-05-24,45790.0,-90,-0%,45 850,45 490,46 080,29 147,45 730,45 750
2017-05-25,45870.0,+80,+0%,45 730,45 680,46 000,24 649,45 910,45 950
2017-05-26,45920.0,+50,+0%,45 890,45 810,46 260,21 745,45 930,45 940
2017-05-31,45500.0,-420,-1%,45 510,45 150,45 770,21 392,45 160,45 200
2017-06-01,45250.0,-250,-1%,45 300,45 060,45 460,15 228,45 270,45 290
2017-06-02,45280.0,+30,+0%,45 320,45 220,45 500,10 925,45 300,45 310
2017-06-05,45200.0,-80,-0%,44 900,44 840,45 800,12 485,45 200,45 210
2017-06-06,45070.0,-130,-0%,45 150,44 860,45 250,13 790,44 860,44 890
2017-06-07,44970.0,-100,-0%,44 830,44 670,45 190,13 130,44 810,44 860
2017-06-08,44990.0,+20,+0%,44 900,44 800,45 240,12 595,45 130,45 160
2017-06-09,45630.0,+640,+1%,45 370,45 360,45 850,14 700,45 760,45 840
2017-06-12,46150.0,+520,+1%,46 010,45 960,46 330,11 730,46 120,46 150
2017-06-13,45890.0,-260,-1%,46 060,45 700,46 100,8 580,45 700,45 720
2017-06-14,45600.0,-290,-1%,45 720,45 510,45 850,6 125,45 710,45 770
2017-06-15,45360.0,-240,-1%,45 560,45 250,45 580,2 480,45 310,45 530
2017-06-16,45530.0,+170,+0%,45 480,45 310,45 710,28 695,45 420,45 430
2017-06-19,45510.0,-20,-0%,45 510,45 360,45 670,26 113,45 570,45 590
2017-06-20,45790.0,+280,+1%,45 720,45 660,45 990,23 861,45 750,45 780
2017-06-21,45420.0,-370,-1%,45 520,45 300,45 570,24 768,45 460,45 480
2017-06-22,45900.0,+480,+1%,45 780,45 670,46 150,23 485,45 700,45 720
2017-06-23,46090.0,+190,+0%,45 960,45 820,46 610,23 242,46 560,46 570
2017-06-26,46420.0,+330,+1%,46 480,46 250,46 720,20 244,46 680,46 690
2017-06-27,46460.0,+40,+0%,46 590,46 340,46 640,19 712,46 620,46 650
2017-06-28,46700.0,+240,+1%,46 610,46 520,46 890,21 062,46 800,46 820
2017-06-29,47170.0,+470,+1%,46 720,46 680,47 390,22 738,47 300,47 350
2017-06-30,47280.0,+110,+0%,47 300,47 110,47 520,17 971,47 380,47 440
2017-07-03,47250.0,-30,-0%,47 300,47 150,47 410,11 970,47 370,47 400
2017-07-04,46940.0,-310,-1%,47 250,46 750,47 280,15 020,46 760,46 880
2017-07-05,47010.0,+70,+0%,46 900,46 900,47 120,11 675,46 950,46 970
2017-07-06,46680.0,-330,-1%,46 780,46 500,46 810,11 345,46 750,46 830
2017-07-07,46720.0,+40,+0%,46 720,46 650,46 950,8 590,46 870,46 950
2017-07-10,46690.0,-30,-0%,46 720,46 570,46 840,13 345,46 580,46 640
2017-07-11,46640.0,-50,-0%,46 450,46 400,46 940,12 065,46 820,46 880
2017-07-12,47060.0,+420,+1%,46 700,46 700,47 200,12 155,46 930,47 000
2017-07-13,46980.0,-80,-0%,47 120,46 890,47 210,8 590,47 070,47 120
2017-07-14,46850.0,-130,-0%,47 040,46 760,47 050,4 825,46 810,47 000
2017-07-17,47330.0,+480,+1%,47 010,46 950,49 660,1 670,47 540,48 000
2017-07-18,47700.0,+370,+1%,47 800,47 440,47 930,30 321,47 560,47 580
2017-07-19,47670.0,-30,-0%,47 590,47 550,47 860,21 697,47 860,47 870
2017-07-20,47640.0,-30,-0%,47 790,47 460,47 800,27 344,47 680,47 710
2017-07-21,47720.0,+80,+0%,47 710,47 350,48 000,23 909,47 880,47 900
2017-07-24,47760.0,+40,+0%,48 060,47 630,48 110,21 773,47 650,47 680
2017-07-25,48150.0,+390,+1%,47 790,47 690,48 550,31 094,48 420,48 460
2017-07-26,49680.0,+1 530,+3%,48 850,48 850,50 560,40 874,49 880,49 930
2017-07-27,49970.0,+290,+1%,49 810,49 780,50 240,22 933,49 860,49 920
2017-07-28,49820.0,-150,-0%,50 020,49 440,50 230,21 715,49 770,49 800
2017-07-31,50230.0,+410,+1%,49 920,49 770,50 710,23 060,50 540,50 600
2017-08-01,50180.0,-50,-0%,50 220,50 000,50 300,13 462,50 070,50 090
2017-08-02,49880.0,-300,-1%,50 020,49 700,50 180,13 595,49 870,49 910
2017-08-03,50090.0,+210,+0%,49 950,49 730,50 260,12 370,49 710,49 750
2017-08-04,50120.0,+30,+0%,49 950,49 830,50 300,11 580,50 100,50 190
2017-08-07,50060.0,-60,-0%,50 110,49 900,50 700,15 490,50 150,50 180
2017-08-08,50410.0,+350,+1%,50 200,50 050,50 750,15 770,50 110,50 150
2017-08-09,50770.0,+360,+1%,50 170,50 150,51 020,16 660,50 920,50 950
2017-08-10,50520.0,-250,-0%,50 830,50 340,50 900,13 340,50 430,50 550
2017-08-11,49760.0,-760,-2%,50 390,49 510,50 390,11 810,49 630,49 720
2017-08-14,49970.0,+210,+0%,49 890,49 720,50 120,5 790,49 750,49 950
2017-08-15,49950.0,-20,-0%,49 900,49 790,50 050,2 670,49 880,50 050
2017-08-16,49990.0,+40,+0%,50 240,49 750,50 250,29 100,50 050,50 060
2017-08-17,51110.0,+1 120,+2%,50 400,50 400,51 520,39 640,51 290,51 320
2017-08-18,50730.0,-380,-1%,50 940,50 500,51 080,28 819,50 900,50 970
2017-08-21,51050.0,+320,+1%,50 960,50 550,51 750,33 207,51 480,51 530
2017-08-22,51550.0,+500,+1%,51 510,51 250,52 040,27 217,52 000,52 010
2017-08-23,51410.0,-140,-0%,52 090,51 200,52 140,26 483,51 430,51 440
2017-08-24,51640.0,+230,+0%,51 420,51 230,51 990,23 319,51 740,51 780
2017-08-25,52330.0,+690,+1%,51 770,51 650,52 680,27 234,52 630,52 650
2017-08-28,52430.0,+100,+0%,52 650,51 910,52 810,23 601,52 760,52 790
2017-08-29,52590.0,+160,+0%,52 780,52 320,52 900,24 098,52 490,52 540
2017-08-30,52610.0,+20,+0%,52 710,52 400,52 840,21 348,52 590,52 620
2017-08-31,52580.0,-30,-0%,52 600,52 000,52 750,17 784,52 680,52 780
2017-09-01,52600.0,+20,+0%,52 810,52 460,52 810,14 542,52 670,52 710
2017-09-04,52980.0,+380,+1%,52 580,52 460,53 230,16 455,53 010,53 050
2017-09-05,53220.0,+240,+0%,52 970,52 920,53 520,14 265,53 440,53 530
2017-09-06,52960.0,-260,-0%,53 300,52 560,53 300,17 340,53 010,53 020
2017-09-07,52850.0,-110,-0%,52 970,52 530,53 120,15 365,52 600,52 720
2017-09-08,52270.0,-580,-1%,52 600,51 510,52 670,19 110,51 520,51 800
2017-09-11,51200.0,-1 070,-2%,51 640,50 850,51 640,13 915,51 400,51 480
2017-09-12,51410.0,+210,+0%,51 600,51 230,51 720,10 770,51 470,51 600
2017-09-13,51070.0,-340,-1%,51 000,50 820,51 280,8 215,50 800,50 950
2017-09-14,50420.0,-650,-1%,50 500,50 180,50 620,4 925,50 150,50 300
2017-09-15,50220.0,-200,-0%,50 350,50 060,50 450,1 830,50 010,50 700
2017-09-18,50370.0,+150,+0%,50 220,49 820,50 690,44 958,50 620,50 630
2017-09-19,50670.0,+300,+1%,50 570,50 390,50 820,32 103,50 630,50 640
2017-09-20,50690.0,+20,+0%,50 650,50 460,50 880,28 607,50 720,50 740
2017-09-21,50240.0,-450,-1%,50 680,49 940,50 760,43 461,50 010,50 170
2017-09-22,49710.0,-530,-1%,50 150,49 300,50 370,43 988,49 530,49 570
2017-09-25,50180.0,+470,+1%,49 780,49 750,50 430,31 464,50 210,50 230
2017-09-26,50510.0,+330,+1%,50 170,50 110,50 750,27 461,50 570,50 640
2017-09-27,50340.0,-170,-0%,50 440,50 050,50 620,22 824,50 500,50 510
2017-09-28,50360.0,+20,+0%,50 570,50 090,50 640,24 992,50 610,50 630
2017-09-29,51260.0,+900,+2%,50 760,50 590,51 920,17 835,51 580,51 920
2017-10-09,52100.0,+840,+2%,52 060,51 900,52 320,15 964,52 110,52 150
2017-10-10,52130.0,+30,+0%,52 100,51 850,52 310,19 115,51 960,52 020
2017-10-11,52370.0,+240,+0%,51 940,51 940,52 740,13 145,52 680,53 220
2017-10-12,53390.0,+1 020,+2%,52 600,52 480,53 970,9 710,53 700,53 830
2017-10-13,53790.0,+400,+1%,53 800,53 650,54 100,8 130,53 880,55 310
2017-10-16,54020.0,+230,+0%,54 210,53 600,55 450,2 605,54 980,55 500
2017-10-17,55370.0,+1 350,+2%,55 080,54 460,55 830,52 713,55 150,55 160
2017-10-18,54970.0,-400,-1%,55 200,54 560,55 340,34 493,54 980,55 010
2017-10-19,54790.0,-180,-0%,54 950,54 530,55 280,31 671,54 700,54 780
2017-10-20,54850.0,+60,+0%,54 500,54 230,55 470,31 200,55 180,55 230
2017-10-23,54720.0,-130,-0%,55 180,54 180,55 220,33 385,54 480,54 500
2017-10-24,55520.0,+800,+1%,54 610,54 610,55 900,33 189,55 540,55 600
2017-10-25,55040.0,-480,-1%,55 630,54 440,55 680,30 835,54 710,54 750
2017-10-26,54980.0,-60,-0%,54 910,54 800,55 320,24 963,54 850,54 870
2017-10-27,54440.0,-540,-1%,54 760,53 950,54 970,28 620,54 020,54 100
2017-10-30,53630.0,-810,-1%,53 800,53 370,53 890,23 938,53 660,53 690
2017-10-31,53730.0,+100,+0%,53 690,53 470,54 260,20 828,53 880,53 930
2017-11-01,54430.0,+700,+1%,53 600,53 520,54 920,15 220,54 480,54 630
2017-11-02,54160.0,-270,-0%,54 440,53 900,54 440,14 075,54 000,54 120
2017-11-03,54390.0,+230,+0%,53 860,53 860,54 740,12 245,54 310,54 330
2017-11-06,54300.0,-90,-0%,54 220,53 850,54 670,11 160,54 480,54 570
2017-11-07,54470.0,+170,+0%,54 500,54 300,54 870,12 450,54 430,54 500
2017-11-08,53650.0,-820,-2%,54 220,53 370,54 250,16 280,53 380,53 400
2017-11-09,53450.0,-200,-0%,53 390,53 080,53 830,12 295,53 130,53 200
2017-11-10,53450.0,0,0%,53 230,53 130,53 650,9 765,53 500,53 580
2017-11-13,53450.0,0,0%,53 520,53 350,53 550,7 800,53 490,53 540
2017-11-14,53870.0,+420,+1%,53 520,53 200,54 290,6 115,53 680,53 780
2017-11-15,52820.0,-1 050,-2%,53 700,52 560,53 820,2 480,52 510,53 300
2017-11-16,52890.0,+70,+0%,53 000,52 530,53 050,30 682,52 790,52 830
2017-11-17,52890.0,0,0%,53 020,52 660,53 180,30 072,52 900,52 920
2017-11-20,52950.0,+60,+0%,52 990,52 600,53 430,26 234,52 900,52 920
2017-11-21,53270.0,+320,+1%,52 990,52 860,53 550,29 049,53 340,53 370
2017-11-22,53910.0,+640,+1%,53 460,53 460,54 150,33 981,54 000,54 040
2017-11-23,53910.0,0,0%,53 880,53 750,54 180,26 245,53 770,53 780
2017-11-24,54100.0,+190,+0%,53 740,53 740,54 330,21 488,54 230,54 250
2017-11-27,54150.0,+50,+0%,54 300,53 660,54 580,26 782,53 700,53 720
2017-11-28,53480.0,-670,-1%,53 760,53 130,53 920,25 964,53 330,53 360
2017-11-29,53160.0,-320,-1%,53 160,52 930,53 350,25 315,53 100,53 120
2017-11-30,52680.0,-480,-1%,52 960,52 390,53 000,24 561,52 710,52 780
2017-12-01,52750.0,+70,+0%,52 990,52 590,53 080,13 057,52 820,52 880
2017-12-04,53320.0,+570,+1%,52 850,52 680,53 590,14 325,53 480,53 490
2017-12-05,53000.0,-320,-1%,53 480,52 450,53 480,16 520,52 460,52 500
2017-12-06,51410.0,-1 590,-3%,52 200,51 060,52 200,21 400,51 370,51 440
2017-12-07,51370.0,-40,-0%,51 420,51 150,51 660,12 905,51 150,51 370
2017-12-08,51420.0,+50,+0%,51 320,51 210,51 720,16 650,51 600,51 650
2017-12-11,51470.0,+50,+0%,51 560,51 190,51 710,14 310,51 200,51 250
2017-12-12,51810.0,+340,+1%,51 430,51 340,52 080,13 050,51 840,51 860
2017-12-13,51940.0,+130,+0%,51 940,51 700,52 140,6 885,52 040,52 070
2017-12-14,52240.0,+300,+1%,52 190,51 950,52 420,3 475,52 050,52 140
2017-12-15,52510.0,+270,+1%,52 320,52 300,52 820,1 485,52 580,52 990
2017-12-18,53410.0,+900,+2%,52 750,52 700,53 760,35 589,53 480,53 490
2017-12-19,53420.0,+10,+0%,53 480,53 180,53 700,26 355,53 260,53 290
2017-12-20,53530.0,+110,+0%,53 310,53 270,53 770,22 145,53 520,53 600
2017-12-21,54120.0,+590,+1%,53 770,53 700,54 500,23 812,54 030,54 080
2017-12-22,54160.0,+40,+0%,54 050,53 890,54 390,19 855,54 310,54 340
2017-12-25,54730.0,+570,+1%,54 280,54 230,55 070,22 270,54 540,54 600
2017-12-26,54700.0,-30,-0%,54 590,54 320,55 150,19 851,55 050,55 100
2017-12-27,54910.0,+210,+0%,55 170,54 690,55 270,18 909,54 770,54 840
2017-12-28,55260.0,+350,+1%,54 910,54 870,55 660,16 813,55 570,55 650
2017-12-29,55430.0,+170,+0%,55 500,55 130,55 680,14 619,55 150,55 450
2018-01-02,54920.0,-510,-1%,54 430,54 430,55 420,11 252,55 090,55 130
2018-01-03,54710.0,-210,-0%,54 950,54 570,55 080,10 805,54 620,54 710
2018-01-04,54730.0,+20,+0%,54 600,54 430,55 070,11 105,54 960,55 100
2018-01-05,54720.0,-10,-0%,55 100,54 540,55 100,10 830,54 620,54 750
2018-01-08,54280.0,-440,-1%,54 410,54 140,54 530,12 025,54 330,54 380
2018-01-09,54440.0,+160,+0%,54 280,54 220,54 710,11 535,54 620,54 650
2018-01-10,54510.0,+70,+0%,54 610,54 380,54 760,8 605,54 420,54 440
2018-01-11,54690.0,+180,+0%,54 760,54 580,54 920,8 135,54 720,54 730
2018-01-12,54310.0,-380,-1%,54 680,54 060,54 700,6 910,54 330,54 550
2018-01-15,54320.0,+10,+0%,54 200,54 030,54 660,4 155,54 550,54 780
2018-01-16,54420.0,+100,+0%,54 830,54 060,54 840,36 848,54 120,54 150
2018-01-17,53690.0,-730,-1%,53 780,53 460,53 910,36 790,53 460,53 480
2018-01-18,53590.0,-100,-0%,53 600,53 360,53 790,31 471,53 540,53 590
2018-01-19,53560.0,-30,-0%,53 720,53 440,53 760,27 893,53 560,53 620
2018-01-22,53500.0,-60,-0%,53 650,53 210,53 820,32 055,53 740,53 770
2018-01-23,53490.0,-10,-0%,53 770,53 310,53 770,27 960,53 590,53 600
2018-01-24,52630.0,-860,-2%,52 790,52 450,52 860,43 820,52 610,52 640
2018-01-25,53470.0,+840,+2%,52 800,52 670,53 990,31 280,53 670,53 710
2018-01-26,53380.0,-90,-0%,53 550,53 120,53 720,16 819,53 260,53 290
2018-01-29,53370.0,-10,-0%,53 240,52 980,53 630,20 367,53 400,53 440
2018-01-30,53040.0,-330,-1%,53 380,52 670,53 420,25 362,52 780,52 800
2018-01-31,52880.0,-160,-0%,52 970,52 720,53 120,21 643,52 950,53 020
2018-02-01,52880.0,0,0%,53 100,52 750,53 140,11 263,52 750,52 780
2018-02-02,53030.0,+150,+0%,52 800,52 640,53 420,14 245,53 200,53 300
2018-02-05,52720.0,-310,-1%,52 980,52 510,53 050,14 930,52 750,52 790
2018-02-06,52630.0,-90,-0%,52 760,52 320,53 450,12 440,52 410,52 490
2018-02-07,52630.0,0,0%,52 500,52 220,52 820,7 900,52 350,52 540
2018-02-08,51660.0,-970,-2%,52 260,51 380,52 300,6 660,51 550,51 680
2018-02-09,51240.0,-420,-1%,51 720,50 460,51 720,2 480,50 860,51 430
2018-02-12,51250.0,+10,+0%,51 160,50 790,51 700,50 583,51 510,51 520
2018-02-13,51710.0,+460,+1%,51 490,51 330,52 070,30 446,51 910,51 940
2018-02-14,52360.0,+650,+1%,52 110,52 040,52 630,27 945,52 580,52 620
2018-02-22,52520.0,+160,+0%,52 940,52 340,52 940,17 629,52 500,52 530
2018-02-23,53290.0,+770,+1%,52 660,52 580,53 530,40 673,53 300,53 330
2018-02-26,53190.0,-100,-0%,53 200,52 940,53 500,30 867,53 340,53 350
2018-02-27,53070.0,-120,-0%,53 250,52 870,53 330,26 310,53 110,53 140
2018-02-28,52490.0,-580,-1%,52 860,52 270,52 870,28 902,52 300,52 360
2018-03-01,52120.0,-370,-1%,52 360,51 930,52 420,14 111,52 000,52 110
2018-03-02,52060.0,-60,-0%,51 800,51 690,52 240,16 680,52 100,52 150
2018-03-05,51860.0,-200,-0%,52 040,51 650,52 160,15 185,51 700,51 750
2018-03-06,51980.0,+120,+0%,51 700,51 440,52 240,14 920,52 100,52 170
2018-03-07,52050.0,+70,+0%,52 370,51 930,52 400,13 975,51 920,51 970
2018-03-08,51730.0,-320,-1%,51 720,51 500,51 900,12 895,51 560,51 620
2018-03-09,51020.0,-710,-1%,51 370,50 630,51 460,20 100,50 610,50 750
2018-03-12,51530.0,+510,+1%,50 960,50 960,51 970,19 890,51 350,51 410
2018-03-13,51310.0,-220,-0%,51 450,51 140,51 580,11 535,51 130,51 190
2018-03-14,51520.0,+210,+0%,51 500,51 300,51 850,7 370,51 740,51 770
2018-03-15,51670.0,+150,+0%,51 900,51 400,52 060,3 920,50 860,51 580
2018-03-16,51690.0,+20,+0%,51 550,51 470,52 020,31 632,51 850,51 870
2018-03-19,51200.0,-490,-1%,51 860,50 930,51 900,41 001,51 180,51 190
2018-03-20,51100.0,-100,-0%,51 080,50 900,51 380,31 657,51 200,51 210
2018-03-21,50590.0,-510,-1%,51 050,50 260,51 090,37 683,50 350,50 400
2018-03-22,50860.0,+270,+1%,50 260,50 170,51 180,36 134,50 970,51 010
2018-03-23,49970.0,-890,-2%,50 760,49 430,50 820,44 867,49 870,49 900
2018-03-26,49140.0,-830,-2%,49 920,48 520,50 030,38 216,48 770,48 800
2018-03-27,49360.0,+220,+0%,48 650,48 580,49 640,37 087,49 350,49 410
2018-03-28,49230.0,-130,-0%,49 320,49 010,49 500,29 428,49 040,49 080
2018-03-29,49620.0,+390,+1%,49 120,49 120,50 070,76 864,49 850,49 910
2018-03-30,49980.0,+360,+1%,49 960,49 780,50 270,25 373,50 190,50 210
2018-04-02,50250.0,+270,+1%,50 140,50 130,50 520,16 200,50 440,50 470
2018-04-03,50480.0,+230,+0%,50 380,50 220,50 680,18 495,50 430,50 460
2018-04-04,50460.0,-20,-0%,50 500,50 320,50 660,13 480,50 310,50 340
2018-04-09,50370.0,-90,-0%,50 420,50 140,50 700,17 850,50 680,50 700
2018-04-10,50960.0,+590,+1%,50 680,50 460,51 230,18 950,50 990,51 070
2018-04-11,51170.0,+210,+0%,51 320,50 850,51 450,14 305,50 980,51 040
2018-04-12,50670.0,-500,-1%,51 200,50 330,51 220,10 105,50 580,50 640
2018-04-13,50530.0,-140,-0%,50 350,50 200,50 700,7 575,50 580,50 640
2018-04-16,50410.0,-120,-0%,50 660,50 200,50 660,5 675,50 500,50 620
2018-04-17,50700.0,+290,+1%,50 450,50 420,50 910,51 753,50 660,50 670
2018-04-18,50680.0,-20,-0%,50 440,50 300,51 150,49 307,50 960,50 980
2018-04-19,51650.0,+970,+2%,51 470,51 390,52 020,56 193,51 700,51 720
2018-04-20,51220.0,-430,-1%,51 260,50 970,51 420,42 806,51 150,51 180
2018-04-23,51550.0,+330,+1%,51 250,51 200,51 800,35 597,51 620,51 650
2018-04-24,51280.0,-270,-1%,50 840,50 620,51 610,33 931,51 300,51 340
2018-04-25,51490.0,+210,+0%,51 800,51 300,51 850,28 543,51 300,51 330
2018-04-26,51460.0,-30,-0%,51 390,51 190,51 690,28 470,51 360,51 370
2018-04-27,51370.0,-90,-0%,51 300,51 210,51 560,30 210,51 370,51 390
2018-05-02,50810.0,-560,-1%,50 690,50 510,50 980,17 454,50 950,50 990
2018-05-03,50780.0,-30,-0%,50 800,50 680,50 900,15 735,50 860,50 870
2018-05-04,50950.0,+170,+0%,51 050,50 650,51 130,16 825,51 060,51 070
2018-05-07,50900.0,-50,-0%,50 870,50 760,51 000,16 955,50 910,50 950
2018-05-08,50980.0,+80,+0%,51 210,50 870,51 210,17 790,50 960,51 000
2018-05-09,50600.0,-380,-1%,50 580,50 170,50 730,21 435,50 500,50 570
2018-05-10,50780.0,+180,+0%,50 610,50 570,50 920,20 055,50 700,50 720
2018-05-11,51080.0,+300,+1%,51 220,51 000,51 220,13 805,51 040,51 060
2018-05-14,51190.0,+110,+0%,51 150,51 090,51 390,9 945,51 180,51 230
2018-05-15,50910.0,-280,-1%,51 020,50 720,51 070,6 230,50 720,51 000
2018-05-16,50780.0,-130,-0%,50 770,50 520,51 000,35 946,50 870,50 890
2018-05-17,50920.0,+140,+0%,50 780,50 700,51 070,29 056,50 870,50 900
2018-05-18,51050.0,+130,+0%,50 960,50 880,51 160,29 250,51 100,51 120
2018-05-21,51170.0,+120,+0%,50 900,50 760,51 330,37 112,51 200,51 210
2018-05-22,51290.0,+120,+0%,51 490,51 220,51 490,24 007,51 260,51 290
2018-05-23,51660.0,+370,+1%,51 700,51 430,51 980,33 740,51 550,51 580
2018-05-24,51190.0,-470,-1%,51 190,51 000,51 290,28 767,51 250,51 270
2018-05-25,51350.0,+160,+0%,51 240,51 160,51 460,26 256,51 300,51 330
2018-05-28,51290.0,-60,-0%,51 320,51 120,51 450,22 073,51 410,51 450
2018-05-29,51410.0,+120,+0%,51 250,51 110,51 610,25 600,51 510,51 550
2018-05-30,51080.0,-330,-1%,51 530,50 670,51 760,38 125,50 680,50 700
2018-05-31,51110.0,+30,+0%,50 870,50 790,51 300,24 495,51 170,51 200
2018-06-01,51220.0,+110,+0%,51 070,50 880,51 370,16 986,51 300,51 310
2018-06-04,51750.0,+530,+1%,51 450,51 310,52 140,21 420,51 590,51 650
2018-06-05,51870.0,+120,+0%,51 840,51 720,52 090,19 030,52 070,52 100
2018-06-06,52620.0,+750,+1%,52 100,52 100,52 960,21 750,52 840,52 950
2018-06-07,53630.0,+1 010,+2%,53 100,53 030,53 910,17 890,53 760,53 780
2018-06-08,53540.0,-90,-0%,53 810,53 320,54 110,15 160,53 320,53 400
2018-06-11,53800.0,+260,+0%,53 640,53 620,54 030,13 920,53 710,53 740
2018-06-12,53520.0,-280,-1%,53 550,53 360,53 750,12 710,53 560,53 580
2018-06-13,53250.0,-270,-1%,53 540,53 080,53 590,9 250,53 220,53 230
2018-06-14,53350.0,+100,+0%,53 300,53 170,53 660,6 260,53 260,53 330
2018-06-15,53090.0,-260,-0%,53 310,52 920,53 430,3 660,53 150,53 430
2018-06-19,52220.0,-870,-2%,52 570,51 460,52 720,52 819,51 520,51 570
2018-06-20,51690.0,-530,-1%,51 450,51 350,51 900,38 355,51 830,51 840
2018-06-21,51620.0,-70,-0%,51 630,51 310,51 830,30 943,51 640,51 650
2018-06-22,51570.0,-50,-0%,51 620,51 440,51 720,31 928,51 700,51 720
2018-06-25,51760.0,+190,+0%,51 660,51 510,51 960,27 534,51 520,51 550
2018-06-26,51370.0,-390,-1%,51 710,51 200,51 710,31 335,51 470,51 480
2018-06-27,51430.0,+60,+0%,51 440,51 300,51 630,26 565,51 310,51 330
2018-06-28,51570.0,+140,+0%,51 310,51 290,51 880,23 267,51 460,51 500
2018-06-29,51320.0,-250,-0%,51 200,50 960,51 670,27 134,51 420,51 510
2018-07-02,51190.0,-130,-0%,51 500,50 830,51 500,17 382,51 070,51 090
2018-07-03,51200.0,+10,+0%,51 190,50 890,51 390,15 940,51 240,51 310
2018-07-04,50610.0,-590,-1%,51 100,49 950,51 160,22 190,49 940,50 100
2018-07-05,49520.0,-1 090,-2%,49 970,49 120,50 040,19 500,49 170,49 290
2018-07-06,49010.0,-510,-1%,49 310,48 430,49 520,17 950,48 980,49 140
2018-07-09,49570.0,+560,+1%,48 920,48 660,49 790,17 005,49 750,49 760
2018-07-10,49570.0,0,0%,49 520,49 370,49 720,13 625,49 480,49 530
2018-07-11,47990.0,-1 580,-3%,49 340,47 350,49 450,16 780,47 810,47 900
2018-07-12,48440.0,+450,+1%,48 060,47 350,48 860,10 145,48 690,48 800
