Date;NIDALY;NILMEX;NISHFE;NIWUXI;CUDALY;CUCOMX;CULMEX;CUSHFE;LIDALY;LISAME;LICOMX;LILMEX;CODALY;COLMEX;COWUXI;COCOMX;NIDALY_BD;NILMEX_BD;NISHFE_BD;NIWUXI_BD;CUDALY_BD;CUCOMX_BD;CULMEX_BD;CUSHFE_BD;LIDALY_BD;LISAME_BD;LICOMX_BD;LILMEX_BD;CODALY_BD;COLMEX_BD;COWUXI_BD;COCOMX_BD
2021-07-19;8,5575;18462,000;142,570;142,000;4,2023;4,210;9222,000;68950,000;13,691;10086,763;15,000;15450,000;24,195;52477,500;362,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-20;8,4232;18684,000;138,820;140,000;4,1780;4,270;9336,000;67910,000;13,691;10122,836;15,000;15450,000;24,195;52473,000;366,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-21;8,3379;18580,000;138,140;137,700;4,2055;4,280;9347,000;68190,000;13,691;10158,875;15,000;15450,000;24,195;52468,000;366,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-22;8,5593;18922,000;138,320;137,600;4,2558;4,350;9441,500;68620,000;13,691;10194,801;15,000;15450,000;24,195;52463,000;367,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-23;8,7394;19372,000;141,500;141,100;4,2790;4,410;9516,000;69540,000;13,691;10230,535;15,000;15450,000;24,195;52463,000;369,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-26;8,8369;19717,000;145,040;147,200;4,3454;4,590;9809,500;70390,000;13,691;10335,792;15,000;15450,000;24,195;52441,000;370,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-27;8,7852;19357,000;146,700;144,200;4,4039;4,550;9758,500;71940,000;13,691;10369,966;15,000;15450,000;24,195;52436,000;365,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-28;8,8827;19543,000;145,720;145,700;4,3985;4,480;9686,000;72040,000;13,691;10403,553;15,000;15450,000;24,195;52431,000;366,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-29;8,9671;19835,000;146,550;147,800;4,4366;4,520;9823,500;71460,000;13,779;10436,474;16,000;15450,000;24,195;52426,000;364,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-07-30;9,0229;19552,000;147,260;145,100;4,4214;4,480;9728,000;71550,000;13,773;10468,649;16,000;15500,000;24,195;52426,000;354,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-02;8,9471;19516,000;146,210;144,700;4,4166;4,430;9700,500;71450,000;13,773;10560,011;16,000;15625,000;24,500;52404,000;348,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-03;8,7652;19388,000;144,260;143,500;4,3470;4,380;9541,500;70740,000;13,767;10588,649;16,000;15625,000;24,500;52399,000;347,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-04;8,8215;19243,000;143,620;142,550;4,3105;4,330;9466,000;70060,000;14,319;10616,368;16,000;15625,000;24,360;52394,000;350,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-05;8,7448;19472,000;143,350;144,600;4,2769;4,350;9491,500;69540,000;14,318;10643,165;16,000;15625,000;24,360;52389,000;349,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-06;8,8600;19214,000;145,010;143,250;4,3225;4,350;9468,000;69790,000;14,300;10669,034;16,000;15750,000;24,360;52389,000;349,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-09;8,5039;18620,000;141,800;138,950;4,2236;4,290;9369,500;69520,000;14,279;10741,026;16,000;15750,000;24,360;52367,000;343,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-10;8,4903;18952,000;139,840;141,450;4,2681;4,350;9520,500;69430,000;14,271;10763,135;16,000;15750,000;24,290;52361,500;344,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-11;8,5661;19368,000;141,120;144,050;4,2733;4,360;9512,000;69850,000;14,265;10784,292;16,000;15750,000;24,290;52350,500;343,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-12;8,8632;19678,000;147,600;146,200;4,3130;4,360;9467,500;70250,000;14,281;10804,492;16,000;15750,000;23,814;52350,500;341,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-13;8,9131;19656,000;148,390;147,250;4,2771;4,390;9570,000;70040,000;14,275;10823,730;16,000;15750,000;24,290;52350,500;343,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-16;8,8473;19510,000;147,980;147,100;4,2533;4,320;9442,000;70380,000;14,282;10875,625;16,000;15750,000;24,140;52328,500;343,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-17;8,8314;19193,000;146,380;144,550;4,2395;4,200;9247,500;69790,000;14,274;10890,967;16,000;15750,000;24,140;52000,000;344,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-18;8,6269;18887,000;144,230;142,400;4,1497;4,120;9042,500;68910,000;14,273;10905,323;16,000;15750,000;24,050;51197,000;345,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-19;8,3806;18385,000;141,410;140,950;3,9805;4,040;8894,000;67530,000;14,232;10918,688;16,000;15750,000;24,050;51198,000;347,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-20;8,4228;18463,000;139,800;141,400;4,0470;4,130;9037,000;66760,000;14,232;10931,057;16,000;16000,000;24,050;51200,000;345,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-23;8,5706;18893,000;140,570;143,500;4,1898;4,230;9273,500;67770,000;14,232;10962,141;16,000;16000,000;24,040;51181,000;347,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-24;8,6477;19074,000;142,240;143,500;4,2259;4,260;9376,000;68690,000;14,232;10970,478;16,000;16000,000;24,010;51178,000;353,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-25;8,7203;19170,000;143,640;143,900;4,2540;4,270;9356,000;69380,000;14,278;10977,794;16,000;16000,000;24,010;50100,000;353,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-26;8,5584;18772,000;144,230;141,000;4,2288;4,250;9299,500;69180,000;14,268;10984,086;16,000;16000,000;24,000;50109,000;353,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-27;8,5792;19011,000;142,040;142,950;4,2420;4,320;9410,000;68990,000;14,278;10989,348;16,000;16062,500;24,050;50111,500;354,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-30;8,6362;19668,891;145,510;148,000;4,3645;4,360;9642,034;69900,000;14,297;10998,906;16,000;15880,946;22,875;49840,779;354,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-08-31;8,8509;19547,000;149,730;148,600;4,2921;4,360;9520,000;69880,000;14,316;11000,000;16,000;16070,000;23,970;50092,500;354,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-01;8,8636;19332,000;149,940;146,700;4,2239;4,260;9335,500;69620,000;14,305;11000,076;16,000;16375,000;23,400;50500,000;357,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-02;8,8370;19464,000;148,580;147,400;4,2890;4,290;9376,500;69160,000;14,323;10999,310;17,000;16375,000;23,224;50504,000;363,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-03;8,8423;19789,000;147,390;148,500;4,2461;4,330;9431,000;69370,000;14,342;10997,916;17,000;17125,000;23,490;50499,000;365,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-06;8,9040;19654,000;147,790;147,350;4,2642;4,326;9450,500;69550,000;14,324;10992,088;17,712;17750,000;23,490;50485,000;364,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-07;8,8677;19506,000;146,730;145,800;4,2293;4,280;9350,500;69460,000;14,306;10990,307;18,000;17750,000;23,610;50482,000;364,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-08;8,9461;19713,000;147,720;147,900;4,2280;4,230;9249,000;69140,000;14,324;10988,960;18,000;17750,000;23,061;50479,000;365,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-09;9,1662;20190,000;149,530;151,950;4,2860;4,280;9387,500;68930,000;14,330;10988,261;18,000;17750,000;23,360;51140,000;364,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-10;9,2653;20392,000;153,870;153,600;4,4205;4,450;9694,500;69960,000;14,370;10988,423;19,000;18500,000;23,360;51137,000;371,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-13;8,9634;19726,000;152,920;147,700;4,3545;4,360;9562,500;71530,000;14,326;10996,199;19,000;18950,000;23,360;51123,000;364,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-14;8,9079;19623,000;147,990;146,450;4,3105;4,320;9442,000;70480,000;14,347;11001,930;19,000;18950,000;23,360;51120,000;365,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-15;9,0864;20016,000;147,960;147,950;4,3990;4,400;9627,000;69760,000;14,378;11009,586;19,000;18950,000;23,360;51117,000;355,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-16;8,8069;19401,000;147,270;145,500;4,2615;4,280;9366,500;70210,000;14,342;11019,379;19,000;18950,000;23,360;51120,000;354,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-17;8,7947;19358,000;144,690;144,500;4,2355;4,250;9312,000;69400,000;23,662;11031,521;20,000;19700,000;24,213;53000,000;357,500;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-20;8,6523;19056,000;142,752;143,500;4,1225;4,120;9033,000;68242,259;29,283;11084,174;20,000;19700,000;24,213;52990,000;360,000;24,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-21;8,5448;18830,000;143,454;142,600;4,1105;4,130;8975,500;68406,026;26,061;11107,843;20,000;19700,000;24,213;52988,000;365,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-22;8,7248;19221,000;144,150;145,000;4,2380;4,250;9286,000;68630,000;23,658;11134,925;20,000;19700,000;24,213;52987,000;365,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-23;8,7877;19351,000;144,640;145,600;4,2325;4,230;9273,500;68820,000;23,692;11165,634;20,000;19700,000;24,213;52991,000;368,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-24;8,8023;19387,000;145,450;145,200;4,2835;4,290;9332,500;69010,000;25,508;11200,182;20,000;20100,000;24,213;52990,000;366,500;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-27;8,5999;18946,000;145,530;143,150;4,2870;4,290;9362,000;69470,000;25,527;11328,986;20,000;20100,000;24,213;52972,000;370,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-28;8,4253;18564,000;142,210;141,400;4,2460;4,250;9269,000;69340,000;25,543;11381,017;20,000;20100,000;24,213;52974,000;369,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-29;8,3268;18342,000;141,620;138,800;4,1880;4,200;9155,000;68840,000;25,525;11437,951;20,000;20100,000;24,213;52976,000;371,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-09-30;8,1404;17936,000;140,400;135,950;4,0975;4,090;8936,500;68450,000;25,526;11500,000;20,000;20100,000;24,213;52980,000;370,000;25,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-10-01;8,1511;17971,000;139,295;136,300;4,1935;4,190;9128,000;68293,529;25,603;11567,273;21,000;21500,000;24,213;52978,000;370,000;26,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-10-04;8,1304;17924,000;139,098;136,100;4,2500;4,250;9250,500;68741,553;25,603;11796,901;21,000;21500,000;24,213;52963,000;368,500;26,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-10-05;8,2248;18121,000;139,802;137,300;4,2000;4,200;9174,000;69020,849;25,603;11881,327;21,000;21500,000;24,213;52961,000;367,500;26,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-10-06;8,1955;18072,000;140,754;137,900;4,1655;4,160;9045,500;69277,194;25,603;11969,001;21,000;21500,000;24,213;52960,000;370,500;26,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-10-07;8,2842;18264,000;141,874;139,450;4,2615;4,250;9280,000;69457,830;25,603;12059,508;22,000;21500,000;24,213;52966,000;371,500;26,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-10-08;8,7208;19221,000;143,080;145,350;4,2840;4,280;9361,000;69510,000;25,591;12152,432;22,000;21500,000;24,213;52966,000;374,000;26,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
2021-10-11;8,6814;19119,000;145,730;146,850;4,3705;4,370;9543,000;69800,000;25,585;12441,544;22,000;21500,000;24,213;52950,000;385,500;26,000;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0
