Series;Days_in_Bubble;Number_of_Bubbles
COCOMX;6;1
CODALY;38;3
COLMEX;68;4
COWUXI;70;7
CUCOMX;0;0
CUDALY;0;0
CULMEX;2;1
CUSHFE;39;2
LIANTH;105;4
LICOMX;4;1
LIDALY;95;5
LILMEX;90;6
NIDALY;10;1
NILMEX;9;1
NISHFE;7;2
NIWUXI;2;1
