Date;Close Price;;;;;
3/28/25;9,46;;;;;
3/27/25;9,62;;;;;
3/26/25;9,62;;;;;
3/25/25;9,62;;;;;
3/24/25;9,62;;;;;
3/21/25;9,63;;;;;
3/20/25;9,63;;;;;
3/19/25;9,64;;;;;
3/18/25;9,65;;;;;
3/17/25;9,65;;;;;
3/14/25;9,66;;;;;
3/13/25;9,66;;;;;
3/12/25;9,67;;;;;
3/11/25;9,68;;;;;
3/10/25;9,68;;;;;
3/7/25;9,7;;;;;
3/6/25;9,72;;;;;
3/5/25;9,77;;;;;
3/4/25;9,83;;;;;
3/3/25;10,01;;;;;
2/28/25;10,4;;;;;
2/27/25;10,37;;;;;
2/26/25;10,36;;;;;
2/25/25;10,34;;;;;
2/24/25;10,39;;;;;
2/21/25;10,44;;;;;
2/20/25;10,34;;;;;
2/19/25;10,34;;;;;
2/18/25;10,35;;;;;
2/17/25;10,35;;;;;
2/14/25;10,42;;;;;
2/13/25;10,26;;;;;
2/12/25;10,34;;;;;
2/11/25;10,49;;;;;
2/10/25;10,6;;;;;
2/7/25;10,6;;;;;
2/6/25;10,74;;;;;
2/5/25;10,82;;;;;
2/4/25;10,93;;;;;
2/3/25;10,92;;;;;
1/31/25;10,95;;;;;
1/30/25;10,94;;;;;
1/29/25;10,97;;;;;
1/28/25;10,99;;;;;
1/27/25;10,99;;;;;
1/24/25;10,99;;;;;
1/23/25;11;;;;;
1/22/25;11,07;;;;;
1/21/25;11,13;;;;;
1/20/25;11,05;;;;;
1/17/25;11,1;;;;;
1/16/25;11,14;;;;;
1/15/25;10,99;;;;;
1/14/25;11,05;;;;;
1/13/25;11,06;;;;;
1/10/25;11,01;;;;;
1/9/25;11,14;;;;;
1/8/25;11,13;;;;;
1/7/25;11,14;;;;;
1/6/25;11,11;;;;;
1/3/25;11,45;;;;;
1/2/25;11,45;;;;;
12/31/24;11,57;;;;;
12/30/24;11,57;;;;;
12/27/24;11,47;;;;;
12/26/24;11,47;;;;;
12/24/24;11,47;;;;;
12/23/24;11,26;;;;;
12/20/24;11,29;;;;;
12/19/24;11,56;;;;;
12/18/24;11,37;;;;;
12/17/24;11,47;;;;;
12/16/24;11,47;;;;;
12/13/24;11,35;;;;;
12/12/24;11,38;;;;;
12/11/24;11,46;;;;;
12/10/24;11,58;;;;;
12/9/24;11,46;;;;;
12/6/24;11,66;;;;;
12/5/24;11,55;;;;;
12/4/24;11,27;;;;;
12/3/24;11,11;;;;;
12/2/24;11,19;;;;;
11/29/24;11,22;;;;;
11/28/24;11,22;;;;;
11/27/24;11,41;;;;;
11/26/24;11,43;;;;;
11/25/24;11,43;;;;;
11/22/24;11,23;;;;;
11/21/24;11,19;;;;;
11/20/24;11,17;;;;;
11/19/24;11,05;;;;;
11/18/24;11;;;;;
11/15/24;11,13;;;;;
11/14/24;11,37;;;;;
11/13/24;11,31;;;;;
11/12/24;11,1;;;;;
11/11/24;10,92;;;;;
11/8/24;11,36;;;;;
11/7/24;11,03;;;;;
11/6/24;11,13;;;;;
11/5/24;11,1;;;;;
11/4/24;11,22;;;;;
11/1/24;11,16;;;;;
10/31/24;11,42;;;;;
10/30/24;11,42;;;;;
10/29/24;11,48;;;;;
10/28/24;11,52;;;;;
10/25/24;11,52;;;;;
10/24/24;11,7;;;;;
10/23/24;11,67;;;;;
10/22/24;11,61;;;;;
10/21/24;11,53;;;;;
10/18/24;11,35;;;;;
10/17/24;11,48;;;;;
10/16/24;11,58;;;;;
10/15/24;11,59;;;;;
10/14/24;11,61;;;;;
10/11/24;11,76;;;;;
10/10/24;11,94;;;;;
10/9/24;12,14;;;;;
10/8/24;12,28;;;;;
10/7/24;12,26;;;;;
10/4/24;12,26;;;;;
10/3/24;12,32;;;;;
10/2/24;12,33;;;;;
10/1/24;12,36;;;;;
9/30/24;12,06;;;;;
9/27/24;12,06;;;;;
9/26/24;12,02;;;;;
9/25/24;12,13;;;;;
9/24/24;11,94;;;;;
