Date;PX_LAST;Change;% Change;PX_OPEN;Change;% Change;PX_HIGH;Change;% Change;PX_LOW;Change;% Change
02.08.2023;32976;0;0;;;;;;;;;
01.08.2023;32976;0;0;;;;;;;;;
31.07.2023;32976;-16;-0,0484966052376334;;;;;;;;;
28.07.2023;32992;5,5;0,0166734876388826;;;;;;;;;
27.07.2023;32986,5;10,5;0,0318413391557496;;;;;;;;;
26.07.2023;32976;0;0;;;;;;;;;
25.07.2023;32976;-0,25;-0,000758121375232175;;;;;;;;;
24.07.2023;32976,25;-16,25;-0,0492536182465712;;;;;;;;;
21.07.2023;32992,5;5,5;0,0166732349107224;;;;;;;;;
20.07.2023;32987;10;0,0303241653273494;;;;;;;;;
19.07.2023;32977;0;0;;;;;;;;;
18.07.2023;32977;0;0;;;;;;;;;
17.07.2023;32977;-17;-0,051524519609626;;;;;;;;;
14.07.2023;32994;5,5;0,0166724767722085;;;;;;;;;
13.07.2023;32988,5;10,5;0,031839408090242;;;;;;;;;
12.07.2023;32978;-0,5;-0,00151613930287915;;;;;;;;;
11.07.2023;32978,5;0,5;0,00151616229001152;;;;;;;;;
10.07.2023;32978;-16;-0,0484936655149421;;;;;;;;;
07.07.2023;32994;5,5;0,0166724767722085;;;;;;;;;
06.07.2023;32988,5;10;0,030322786057583;;;;;;;;;
05.07.2023;32978,5;0;0;;;;;;;;;
04.07.2023;32978,5;0;0;;;;;;;;;
03.07.2023;32978,5;-21,5;-0,0651515151515152;;;;;;;;;
30.06.2023;33000;2050;6,62358642972536;;;;;;;;;
29.06.2023;30950;1866;6,41589877595929;;;;;;;;;
28.06.2023;29084;0;0;;;;;;;;;
27.06.2023;29084;0;0;;;;;;;;;
26.06.2023;29084;-16;-0,0549828178694158;;;;;;;;;
23.06.2023;29100;5;0,0171850833476542;;;;;;;;;
22.06.2023;29095;11;0,037821482602118;;;;;;;;;
21.06.2023;29084;0;0;;;;;;;;;
20.06.2023;29084;1;0,0034384348244679;;;;;;;;;
19.06.2023;29083;-13;-0,0446796810558152;;;;;;;;;
16.06.2023;29096;0;0;;;;;;;;;
15.06.2023;29096;13;0,0446996527180827;;;;;;;;;
14.06.2023;29083;0;0;;;;;;;;;
13.06.2023;29083;0;0;;;;;;;;;
12.06.2023;29083;-13;-0,0446796810558152;;;;;;;;;
09.06.2023;29096;4;0,0137494843943352;;;;;;;;;
08.06.2023;29092;9;0,0309459134202111;;;;;;;;;
07.06.2023;29083;0;0;;;;;;;;;
06.06.2023;29083;0;0;;;;;;;;;
05.06.2023;29083;-13;-0,0446796810558152;;;;;;;;;
02.06.2023;29096;4;0,0137494843943352;;;;;;;;;
01.06.2023;29092;9;0,0309459134202111;;;;;;;;;
31.05.2023;29083;0;0;;;;;;;;;
30.05.2023;29083;-17;-0,0584192439862543;;;;;;;;;
26.05.2023;29100;-650;-2,18487394957983;;;;;;;;;
25.05.2023;29750;0;0;;;;;;;;;
24.05.2023;29750;-4734;-13,7281057881916;;;;;;;;;
23.05.2023;34484;0;0;;;;;;;;;
22.05.2023;34484;-12,5;-0,0362355601292885;;;;;;;;;
19.05.2023;34496,5;4,5;0,0130465035370521;;;;;;;;;
18.05.2023;34492;9;0,0260998173012789;;;;;;;;;
17.05.2023;34483;0;0;;;;;;;;;
16.05.2023;34483;-1;-0,00289989560375826;;;;;;;;;
15.05.2023;34484;-16;-0,0463768115942029;;;;;;;;;
12.05.2023;34500;6;0,0173943294485998;;;;;;;;;
11.05.2023;34494;11;0,0318997767015631;;;;;;;;;
10.05.2023;34483;0;0;;;;;;;;;
09.05.2023;34483;-21,5;-0,0623107130953934;;;;;;;;;
05.05.2023;34504,5;5,5;0,0159424910866982;;;;;;;;;
04.05.2023;34499;16;0,0463996752022736;;;;;;;;;
03.05.2023;34483;0;0;;;;;;;;;
02.05.2023;34483;-22;-0,0637588755252862;;;;;;;;;
28.04.2023;34505;0;0;;;;;;;;;
27.04.2023;34505;17;0,0492925075388541;;;;;;;;;
26.04.2023;34488;0;0;;;;;;;;;
25.04.2023;34488;0;0;;;;;;;;;
24.04.2023;34488;-11;-0,0318849821733963;;;;;;;;;
21.04.2023;34499;0;0;;;;;;;;;
20.04.2023;34499;11;0,0318951519369056;;;;;;;;;
19.04.2023;34488;0;0;;;;;;;;;
18.04.2023;34488;0;0;;;;;;;;;
17.04.2023;34488;-11;-0,0318849821733963;;;;;;;;;
14.04.2023;34499;-1;-0,00289855072463768;;;;;;;;;
13.04.2023;34500;8;0,0231937840658703;;;;;;;;;
12.04.2023;34492;-1;-0,00289913895573015;;;;;;;;;
11.04.2023;34493;-22;-0,0637404027234536;;;;;;;;;
06.04.2023;34515;-1;-0,00289720709236296;;;;;;;;;
05.04.2023;34516;22;0,0637792079781991;;;;;;;;;
04.04.2023;34494;-6;-0,0173913043478261;;;;;;;;;
03.04.2023;34500;-12;-0,0347705146036161;;;;;;;;;
31.03.2023;34512;4;0,0115915150110119;;;;;;;;;
30.03.2023;34508;8;0,0231884057971014;;;;;;;;;
29.03.2023;34500;500;1,47058823529412;;;;;;;;;
28.03.2023;34000;249;0,73775591834316;;;;;;;;;
27.03.2023;33751;-16,5;-0,0488635522321759;;;;;;;;;
24.03.2023;33767,5;4,5;0,0133281995083375;;;;;;;;;
23.03.2023;33763;8;0,0237001925640646;;;;;;;;;
22.03.2023;33755;-1;-0,00296243630761939;;;;;;;;;
21.03.2023;33756;0,5;0,00148124009420687;;;;;;;;;
20.03.2023;33755,5;-12,5;-0,037017294479981;;;;;;;;;
17.03.2023;33768;4;0,011846937566639;;;;;;;;;
16.03.2023;33764;9;0,0266627166345727;;;;;;;;;
15.03.2023;33755;0;0;;;;;;;;;
14.03.2023;33755;0;0;;;;;;;;;
13.03.2023;33755;-12;-0,0355376551070572;;;;;;;;;
10.03.2023;33767;5,5;0,0162907453756498;;;;;;;;;
09.03.2023;33761,5;11,5;0,0340740740740741;;;;;;;;;
08.03.2023;33750;1;0,00296305075705947;;;;;;;;;
07.03.2023;33749;1;0,0029631385563589;;;;;;;;;
06.03.2023;33748;-12;-0,0355450236966825;;;;;;;;;
03.03.2023;33760;5,5;0,0162941237464634;;;;;;;;;
02.03.2023;33754,5;11,5;0,0340811427555345;;;;;;;;;
01.03.2023;33743;-3;-0,00888994251170509;;;;;;;;;
28.02.2023;33746;-12;-0,0355471295692873;;;;;;;;;
27.02.2023;33758;-3;-0,00888599271348597;;;;;;;;;
24.02.2023;33761;0;0;;;;;;;;;
23.02.2023;33761;11;0,0325925925925926;;;;;;;;;
22.02.2023;33750;-1506;-4,2716133424098;;;;;;;;;
21.02.2023;35256;-7;-0,0198508351529932;;;;;;;;;
20.02.2023;35263;-3;-0,00850677706572903;;;;;;;;;
17.02.2023;35266;-5;-0,0141759519151711;;;;;;;;;
16.02.2023;35271;16;0,0453836335271593;;;;;;;;;
15.02.2023;35255;5;0,0141843971631206;;;;;;;;;
14.02.2023;35250;-3243;-8,42490842490842;;;;;;;;;
13.02.2023;38493;-6;-0,0155848203849451;;;;;;;;;
10.02.2023;38499;0;0;;;;;;;;;
09.02.2023;38499;16;0,0415768001455188;;;;;;;;;
08.02.2023;38483;5;0,0129944383803732;;;;;;;;;
07.02.2023;38478;-17;-0,0441615794258995;;;;;;;;;
06.02.2023;38495;-5;-0,012987012987013;;;;;;;;;
03.02.2023;38500;-2766,25;-6,70341986490171;;;;;;;;;
02.02.2023;41266,25;16,25;0,0393939393939394;;;;;;;;;
01.02.2023;41250;-7330;-15,0885137916838;;;;;;;;;
31.01.2023;48580;5;0,0102933607822954;;;;;;;;;
30.01.2023;48575;1;0,00205871453864207;;;;;;;;;
27.01.2023;48574;0;0;;;;;;;;;
26.01.2023;48574;11;0,0226509894364022;;;;;;;;;
25.01.2023;48563;0;0;;;;;;;;;
24.01.2023;48563;5;0,0102969644548787;;;;;;;;;
23.01.2023;48558;-16;-0,0329394326182732;;;;;;;;;
20.01.2023;48574;0;0;;;;;;;;;
19.01.2023;48574;12;0,0247106791318315;;;;;;;;;
18.01.2023;48562;1;0,00205926566586355;;;;;;;;;
17.01.2023;48561;5;0,0102973885822555;;;;;;;;;
16.01.2023;48556;-12;-0,0247076264206885;;;;;;;;;
13.01.2023;48568;-4,5;-0,00926450151834886;;;;;;;;;
12.01.2023;48572,5;17,5;0,0360416023066625;;;;;;;;;
11.01.2023;48555;5,5;0,0113286439613178;;;;;;;;;
10.01.2023;48549,5;5,5;0,0113299274884641;;;;;;;;;
09.01.2023;48544;-16;-0,0329489291598023;;;;;;;;;
06.01.2023;48560;-998;-2,01380200976633;;;;;;;;;
05.01.2023;49558;-443;-0,885982280354393;;;;;;;;;
04.01.2023;50001;1;0,002;;;;;;;;;
03.01.2023;50000;-1514;-2,93900687191831;;;;;;;;;
30.12.2022;51514;1;0,00194125754663871;;;;;;;;;
29.12.2022;51513;18;0,0349548499854355;;;;;;;;;
28.12.2022;51495;-16;-0,031061326706917;;;;;;;;;
23.12.2022;51511;1;0,001941370607649;;;;;;;;;
22.12.2022;51510;23;0,0446714704682735;;;;;;;;;
21.12.2022;51487;1;0,00194227557005788;;;;;;;;;
20.12.2022;51486;5;0,00971232105048464;;;;;;;;;
19.12.2022;51481;-13;-0,0252456596885074;;;;;;;;;
16.12.2022;51494;0;0;;;;;;;;;
