date,price,ticker,series_title
2016-04-21,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-04-22,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-04-25,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-04-26,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-04-27,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-04-28,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-04-29,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-03,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-04,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-05,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-06,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-09,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-10,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-11,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-12,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-13,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-16,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-17,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-18,165000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-19,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-20,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-23,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-24,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-25,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-26,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-27,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-30,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-05-31,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-01,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-02,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-03,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-06,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-07,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-08,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-12,162000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-13,160000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-14,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-15,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-16,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-17,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-20,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-21,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-22,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-23,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-24,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-27,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-28,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-29,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-06-30,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-01,155000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-04,152000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-05,152000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-06,152000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-07,152000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-08,150000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-11,150000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-12,150000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-13,148000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-14,148000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-15,148000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-18,148000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-19,148000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-20,146000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-21,146000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-22,146000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-25,146000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-26,146000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-27,146000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-28,146000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-07-29,146000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
2016-08-01,146000,ATKLICAR,Antaike Lithium Carbonate (Battery-Grade)
