date,ATKLICAR,ATKLIOH,INOLIRLCAIGRCND,INOLIRLHYBGRCND,SLICFc1,SLIHFc1,SMM-LIB-GRD,SMM-LICB-BG,TLCc1
2016-04-21,165000.0,168000.0,,,,,,,
2016-04-22,165000.0,171000.0,,,,,,,
2016-04-25,165000.0,171000.0,,,,,,,
2016-04-26,165000.0,171000.0,,,,,,,
2016-04-27,165000.0,171000.0,,,,,,,
2016-04-28,165000.0,171000.0,,,,,,,
2016-04-29,165000.0,171000.0,,,,,,,
2016-05-03,165000.0,171000.0,,,,,,,
2016-05-04,165000.0,,,,,,,,
2016-05-05,165000.0,171000.0,,,,,,,
2016-05-06,165000.0,171000.0,,,,,,,
2016-05-09,165000.0,171000.0,,,,,,,
2016-05-10,165000.0,171000.0,,,,,,,
2016-05-11,165000.0,170000.0,,,,,,,
2016-05-12,165000.0,170000.0,,,,,,,
2016-05-13,165000.0,170000.0,,,,,,,
2016-05-16,165000.0,170000.0,,,,,,,
2016-05-17,165000.0,170000.0,,,,,,,
2016-05-18,165000.0,163000.0,,,,,,,
2016-05-19,162000.0,163000.0,,,,,,,
2016-05-20,162000.0,163000.0,,,,,,,
2016-05-23,162000.0,,,,,,,,
2016-05-24,162000.0,163000.0,,,,,,,
2016-05-25,162000.0,163000.0,,,,,,,
2016-05-26,162000.0,163000.0,,,,,,,
2016-05-27,162000.0,163000.0,,,,,,,
2016-05-30,162000.0,169500.0,,,,,,,
2016-05-31,162000.0,169500.0,,,,,,,
2016-06-01,162000.0,169500.0,,,,,,,
2016-06-02,162000.0,169500.0,,,,,,,
2016-06-03,162000.0,169500.0,,,,,,,
2016-06-06,162000.0,169500.0,,,,,,,
2016-06-07,162000.0,169500.0,,,,,,,
2016-06-08,162000.0,169500.0,,,,,,,
2016-06-12,162000.0,164500.0,,,,,,,
2016-06-13,160000.0,164500.0,,,,,,,
2016-06-14,155000.0,164500.0,,,,,,,
2016-06-15,155000.0,164500.0,,,,,,,
2016-06-16,155000.0,164500.0,,,,,,,
2016-06-17,155000.0,164500.0,,,,,,,
2016-06-20,155000.0,164500.0,,,,,,,
2016-06-21,155000.0,164500.0,,,,,,,
2016-06-22,155000.0,164500.0,,,,,,,
2016-06-23,155000.0,164500.0,,,,,,,
2016-06-24,155000.0,164500.0,,,,,,,
2016-06-27,155000.0,164500.0,,,,,,,
2016-06-28,155000.0,164500.0,,,,,,,
2016-06-29,155000.0,164500.0,,,,,,,
2016-06-30,155000.0,164500.0,,,,,,,
2016-07-01,155000.0,164500.0,,,,,,,
2016-07-04,152000.0,164500.0,,,,,,,
2016-07-05,152000.0,164500.0,,,,,,,
2016-07-06,152000.0,164500.0,,,,,,,
2016-07-07,152000.0,164500.0,,,,,,,
2016-07-08,150000.0,164500.0,,,,,,,
2016-07-11,150000.0,162500.0,,,,,,,
