date,price,ticker,series_title
2023-05-04,179500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-05,180500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-08,190000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-09,195500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-10,208500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-11,225000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-12,242000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-15,258000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-16,265000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-17,274000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-18,290000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-19,292000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-22,292000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-23,292000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-24,295000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-25,295000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-26,295000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-29,295000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-30,297500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-05-31,300000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-01,300500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-02,300500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-05,303000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-06,306500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-07,310000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-08,311500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-09,313000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-12,313000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-13,313000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-14,313000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-15,313000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-16,314000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-19,314000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-20,313500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-21,313000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-26,311500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-27,310000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-28,307500,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
2023-06-29,307000,SMM-LICB-BG,SMM Lithium Carbonate (99.5 Percentage Battery Grade/domestic)
