"";"Date";"CODALY";"CUDALY";"LIDALY";"NIDALY";"CODALY_BD";"CUDALY_BD";"LIDALY_BD";"NIDALY_BD"
"89";2018-03-16;39,916;3,093;23,766;6,2278;0;0;0;0
"90";2018-03-19;39,916;3,0695;23,766;6,0895;0;0;0;0
"91";2018-03-20;40,823;3,0255;23,766;6,128;0;0;0;0
"92";2018-03-21;43,091;3,0485;23,766;6,0419;0;0;0;0
"93";2018-03-22;42,864;3,012;23,766;6,0555;0;0;0;0
"94";2018-03-23;42,751;2,9845;23,766;5,9148;0;0;0;0
"95";2018-03-26;42,524;2,9605;23,766;5,8241;0;0;0;0
"96";2018-03-27;42,524;2,9915;23,766;5,908;0;0;0;0
"97";2018-03-28;42,184;2,994;23,766;5,8604;0;0;0;0
"98";2018-03-29;42,297;3,019;23,766;6,0056;0;0;0;0
"99";2018-03-30;42,524;3,029;23,766;6,0115;0;0;0;0
"100";2018-04-02;42,524;3,0405;23,766;6,0115;0;0;0;0
"101";2018-04-03;42,071;3,058;23,612;6,1484;0;0;0;0
"102";2018-04-04;39,689;3,007;23,612;5,9216;0;0;0;0
"103";2018-04-09;41,277;3,0715;23,612;6,001;0;0;0;0
"104";2018-04-10;41,277;3,131;23,612;6,2119;0;0;0;0
"105";2018-04-11;41,277;3,112;23,612;6,2278;0;0;0;0
"106";2018-04-12;41,277;3,06;23,305;6,1598;0;0;0;0
"107";2018-04-13;41,617;3,0675;22,997;6,3503;0;0;0;0
"108";2018-04-16;41,277;3,0915;22,536;6,4138;0;0;0;0
"109";2018-04-17;41,277;3,075;22,536;6,3253;0;0;0;0
"110";2018-04-18;41,277;3,1535;22,536;6,8492;0;0;0;0
"111";2018-04-19;41,277;3,128;22,536;7,1214;0;0;0;1
"112";2018-04-20;41,277;3,1315;22,536;6,6383;0;0;0;1
"113";2018-04-23;41,277;3,108;22,536;6,3616;0;0;0;0
"114";2018-04-24;41,277;3,1385;22,382;6,4614;0;0;0;0
"115";2018-04-25;39,916;3,132;22,382;6,4002;0;0;0;0
"116";2018-04-26;40,03;3,113;22,074;6,3231;0;0;0;0
"117";2018-04-27;40,03;3,046;22,074;6,3367;0;0;0;0
"118";2018-04-30;40,03;3,0525;22,097;6,2233;0;0;0;0
"119";2018-05-02;40,937;3,0475;21,843;6,3095;0;0;0;0
"120";2018-05-03;40,823;3,059;21,689;6,2256;0;0;0;0
"121";2018-05-04;40,143;3,0655;21,689;6,2732;0;0;0;0
"122";2018-05-07;40,256;3,0595;21,689;6,3385;0;0;0;0
"123";2018-05-08;40,143;3,0405;21,689;6,314;0;0;0;0
"124";2018-05-09;40,143;3,0395;21,689;6,2882;0;0;0;0
"125";2018-05-10;40,37;3,0925;21,689;6,2596;0;0;0;0
"126";2018-05-11;40,71;3,095;21,689;6,3072;0;0;0;0
"127";2018-05-14;41,277;3,0785;21,689;6,4909;0;0;0;0
"128";2018-05-15;41,05;3,0425;21,689;6,568;0;0;0;0
"129";2018-05-16;41,05;3,0585;21,689;6,5317;0;0;0;0
"130";2018-05-17;41,164;3,077;21,689;6,5902;0;0;0;0
"131";2018-05-18;41,05;3,051;21,689;6,686;0;0;0;0
"132";2018-05-21;41,05;3,0855;21,689;6,627;0;0;0;0
"133";2018-05-22;41,957;3,119;21,689;6,6633;0;0;0;0
"134";2018-05-23;41,277;3,0605;21,689;6,6188;0;0;0;0
"135";2018-05-24;41,05;3,0855;21,689;6,5862;0;0;0;0
"136";2018-05-25;41,05;3,067;21,689;6,7268;0;0;0;0
"137";2018-05-28;41,164;3,0546;21,382;6,6787;0;0;0;0
"138";2018-05-29;41,05;3,052;20,92;6,7329;0;0;0;0
"139";2018-05-30;40,937;3,0595;20,459;6,7404;0;0;0;0
"140";2018-05-31;40,143;3,058;20,459;6,8753;0;0;0;0
"141";2018-06-01;40,597;3,0915;20,459;6,8674;0;0;0;0
"142";2018-06-04;39,689;3,1265;20,459;6,9173;0;0;0;0
"143";2018-06-05;39,349;3,191;19,997;6,9899;0;0;0;0
"144";2018-06-06;38,329;3,2545;19,536;7,0896;0;0;0;0
"145";2018-06-07;37,875;3,268;19,536;7,0107;0;0;0;0
"146";2018-06-08;37,648;3,293;19,536;6,9105;0;0;0;0
"147";2018-06-11;37,195;3,2505;19,536;6,9422;0;0;0;0
"148";2018-06-12;36,628;3,2425;19,536;6,9354;0;0;0;0
"149";2018-06-13;36,628;3,248;19,536;6,881;0;0;0;0
"150";2018-06-14;36,741;3,2165;19,536;6,8994;0;0;0;0
"151";2018-06-15;36,514;3,141;19,228;6,9218;0;0;0;0
"152";2018-06-19;36,174;3,0465;19,228;6,5952;0;0;0;0
"153";2018-06-20;36,628;3,0465;19,228;6,7336;0;0;0;0
"154";2018-06-21;36,287;3,025;19,228;6,7903;0;0;0;0
"155";2018-06-22;35,834;3,0325;19,228;6,9173;0;0;0;0
"156";2018-06-25;35,607;2,992;19,228;6,8266;0;0;0;0
"157";2018-06-26;35,04;2,997;19,228;6,6066;0;0;0;0
"158";2018-06-27;35,607;2,9895;18,921;6,715;0;0;0;0
"159";2018-06-28;35,38;2,9535;18,921;6,6723;0;0;0;0
"160";2018-06-29;35,063;2,951;18,921;6,7608;0;0;0;0
"161";2018-07-02;33,793;2,9315;18,921;6,6088;0;0;0;0
"162";2018-07-03;34,246;2,906;18,613;6,6224;0;0;0;0
"163";2018-07-04;32,432;2,8455;18,305;6,3934;0;0;0;0
"164";2018-07-05;32,659;2,814;18,305;6,4183;0;0;0;0
"165";2018-07-06;32,659;2,813;18,305;6,2392;0;0;0;0
"166";2018-07-09;32,999;2,839;18,305;6,3344;0;0;0;0
"167";2018-07-10;31,525;2,8285;17,998;6,3299;0;0;0;0
"168";2018-07-11;31,751;2,7335;17,998;6,1779;0;0;0;0
"169";2018-07-12;31,751;2,768;17,998;6,373;0;0;0;0
"170";2018-07-13;31,751;2,77;17,998;6,2891;0;0;0;0
"171";2018-07-16;30,617;2,757;17,998;6,2029;0;0;0;0
"172";2018-07-17;31,525;2,7395;17,998;6,1008;0;0;0;0
"173";2018-07-18;31,525;2,752;17,998;6,0373;0;0;0;0
"174";2018-07-19;31,525;2,686;17,998;5,9942;0;0;0;0
"175";2018-07-20;31,525;2,746;17,998;6,0872;0;0;0;0
"176";2018-07-23;31,638;2,737;17,536;6,094;0;0;0;0
"177";2018-07-24;31,525;2,8;17,075;6,123;0;0;0;0
"178";2018-07-25;31,525;2,806;16,613;6,1371;0;0;0;0
"179";2018-07-26;31,525;2,804;16,306;6,1552;0;0;0;0
"180";2018-07-27;31,525;2,7875;16,306;6,2188;0;0;0;0
"181";2018-07-30;31,525;2,779;15,844;6,2029;0;0;0;0
"182";2018-07-31;31,525;2,819;15,844;6,2369;0;0;0;0
"183";2018-08-01;30,277;2,735;15,536;6,2482;0;0;0;0
"184";2018-08-02;29,937;2,727;15,383;5,9965;0;0;0;0
"185";2018-08-03;28,803;2,7535;15,075;5,9511;0;0;0;0
"186";2018-08-06;26,535;2,721;14,921;5,9874;0;0;0;0
"187";2018-08-07;24,721;2,741;14,921;6,2346;0;0;0;0
"188";2018-08-08;25,401;2,7405;14,921;6,3117;0;0;0;0
"189";2018-08-09;27,669;2,8331;14,921;6,3752;0;0;0;0
"190";2018-08-10;27,896;2,7758;14,921;6,1825;0;0;0;0
"191";2018-08-13;28,917;2,7578;14,767;6,2029;0;0;0;0
"192";2018-08-14;29,143;2,7479;14,613;6,0509;0;0;0;0
"193";2018-08-15;28,917;2,6501;14,46;5,8876;0;0;0;0
"194";2018-08-16;29,03;2,6135;14,46;6,001;0;0;0;0
"195";2018-08-17;29,03;2,6499;14,306;6,001;0;0;0;0
"196";2018-08-20;29,03;2,7043;14,306;6,1462;0;0;0;0
"197";2018-08-21;29,03;2,7329;14,306;6,2029;0;0;0;0
"198";2018-08-22;29,03;2,7206;13,998;6,153;0;0;0;0
"199";2018-08-23;29,143;2,6807;13,691;5,9579;0;0;0;0
"200";2018-08-24;29,03;2,7216;13,537;6,035;0;0;0;0
"201";2018-08-27;29,143;2,705;13,229;6,05;0;0;0;0
"202";2018-08-28;29,03;2,7746;12,921;6,1031;0;0;0;0
"203";2018-08-29;29,37;2,7501;12,921;6,0827;0;0;0;0
"204";2018-08-30;29,37;2,7513;12,921;6,0237;0;0;0;0
"205";2018-08-31;29,03;2,7297;12,921;5,8922;0;0;0;0
"206";2018-09-03;29,03;2,6989;12,921;5,7447;0;0;0;0
"207";2018-09-04;29,03;2,6408;12,921;5,6472;0;0;0;0
"208";2018-09-05;29,03;2,6533;12,921;5,6291;0;0;0;0
"209";2018-09-06;28,123;2,6939;12,921;5,6631;0;0;0;0
"210";2018-09-07;28,123;2,6676;12,921;5,5724;0;0;0;0
"211";2018-09-10;27,783;2,649;12,921;5,5338;0;0;0;0
"212";2018-09-11;27,783;2,6528;12,921;5,5565;0;0;0;0
"213";2018-09-12;28,236;2,6717;12,921;5,5701;0;0;0;0
"214";2018-09-13;28,236;2,7172;12,921;5,7198;0;0;0;0
"215";2018-09-14;28,236;2,6971;12,921;5,6744;0;0;0;0
"216";2018-09-17;28,236;2,6578;12,768;5,5474;0;0;0;0
"217";2018-09-18;28,236;2,7225;12,614;5,5837;0;0;0;0
"218";2018-09-19;28,576;2,7472;12,614;5,654;0;0;0;0
"219";2018-09-20;26,989;2,747;12,383;5,6812;0;0;0;0
"220";2018-09-21;27,896;2,8132;12,383;5,874;0;0;0;0
"221";2018-09-25;27,896;2,8465;12,383;5,8241;0;0;0;0
"222";2018-09-26;27,896;2,8381;12,383;5,8468;0;0;0;0
"223";2018-09-27;28,236;2,822;12,383;5,7221;0;0;0;0
"224";2018-09-28;27,896;2,8027;12,383;5,6563;0;0;0;0
"225";2018-10-08;24,948;2,7978;12,383;5,6177;0;0;0;0
"226";2018-10-09;28,009;2,795;12,152;5,8663;0;0;0;0
"227";2018-10-10;26,082;2,854;11,998;5,7833;0;0;0;0
