Date;Price
26. Apr 24;140.75
25. Apr 24;139.95
24. Apr 24;140
23. Apr 24;139
22. Apr 24;141.2
21. Apr 24;
19. Apr 24;140.6
18. Apr 24;135.9
17. Apr 24;135.55
16. Apr 24;132.9
15. Apr 24;134.2
14. Apr 24;
12. Apr 24;134.75
11. Apr 24;134.45
10. Apr 24;137.4
09. Apr 24;136.85
08. Apr 24;134.95
07. Apr 24;
05. Apr 24;133.7
04. Apr 24;133.6
03. Apr 24;132
02. Apr 24;131.6
01. Apr 24;130.7
31-Mar-2024;
29-Mar-2024;128.25
28-Mar-2024;128.55
27-Mar-2024;127.7
26-Mar-2024;128.85
25-Mar-2024;132
24-Mar-2024;
22-Mar-2024;132.5
21-Mar-2024;134.35
20-Mar-2024;134
19-Mar-2024;134.7
18-Mar-2024;136.8
17-Mar-2024;
15-Mar-2024;137.5
14-Mar-2024;137.05
13-Mar-2024;138.25
12-Mar-2024;137.9
11-Mar-2024;137.5
10-Mar-2024;
08-Mar-2024;134.8
07-Mar-2024;134.55
06-Mar-2024;133.4
05-Mar-2024;134.1
04-Mar-2024;135.55
03-Mar-2024;
01-Mar-2024;134.9
29. Feb 24;135
28. Feb 24;134.25
27. Feb 24;133.25
26. Feb 24;131.15
25. Feb 24;
23. Feb 24;133.5
22. Feb 24;130.7
21. Feb 24;127.4
20. Feb 24;124.8
19. Feb 24;126
18. Feb 24;
16. Feb 24;126.1
15. Feb 24;125.7
14. Feb 24;125.3
13. Feb 24;124.55
12. Feb 24;124.25
08. Feb 24;124.25
07. Feb 24;124.15
06. Feb 24;123.45
05. Feb 24;123.4
04. Feb 24;
02. Feb 24;125.55
01. Feb 24;125.8
31. Jan 24;125.85
30. Jan 24;126.1
29. Jan 24;127.4
28. Jan 24;
26. Jan 24;130.05
25. Jan 24;128.2
24. Jan 24;128
23. Jan 24;127.6
22. Jan 24;125.7
21. Jan 24;
19. Jan 24;126.9
18. Jan 24;125.8
17. Jan 24;125
16. Jan 24;126.1
15. Jan 24;125.8
14. Jan 24;
12. Jan 24;126.5
11. Jan 24;127.25
10. Jan 24;124.3
09. Jan 24;123.7
08. Jan 24;123.8
07. Jan 24;
05. Jan 24;123.75
04. Jan 24;123.15
03. Jan 24;125.55
02. Jan 24;126.2
29-Dec-2023;124.45
28-Dec-2023;127.75
27-Dec-2023;129.2
26-Dec-2023;127.9
25-Dec-2023;127.7
24-Dec-2023;
22-Dec-2023;127.85
21-Dec-2023;128.1
20-Dec-2023;129.45
19-Dec-2023;129.95
18-Dec-2023;130.5
17-Dec-2023;
15-Dec-2023;131.1
14-Dec-2023;131.6
13-Dec-2023;129.8
12-Dec-2023;129.55
11-Dec-2023;129.9
10-Dec-2023;
08-Dec-2023;132.7
07-Dec-2023;129
06-Dec-2023;127.75
05-Dec-2023;123.3
04-Dec-2023;128
03-Dec-2023;
01-Dec-2023;130.15
30. Nov 23;127.6
29. Nov 23;132
28. Nov 23;127.65
27. Nov 23;122.8
24. Nov 23;120.5
23. Nov 23;131
22. Nov 23;129
21. Nov 23;131.1
20. Nov 23;131.8
19. Nov 23;
17. Nov 23;134.6
16. Nov 23;136.6
15. Nov 23;138
14. Nov 23;138.75
13. Nov 23;137.3
12. Nov 23;
10. Nov 23;137.4
09. Nov 23;141.5
08. Nov 23;141.25
07. Nov 23;137.75
06. Nov 23;142.95
05. Nov 23;
03. Nov 23;142.65
02. Nov 23;141.5
01. Nov 23;141.45
31-Oct-2023;141.75
30-Oct-2023;144.9
29-Oct-2023;
27-Oct-2023;145.7
26-Oct-2023;145.75
25-Oct-2023;146.1
24-Oct-2023;145.6
23-Oct-2023;147
22-Oct-2023;
20-Oct-2023;147.1
19-Oct-2023;148.1
18-Oct-2023;149.9
17-Oct-2023;149
16-Oct-2023;150.3
13-Oct-2023;150.65
12-Oct-2023;151.05
11-Oct-2023;148.75
10-Oct-2023;149.6
09-Oct-2023;151.85
08-Oct-2023;
06-Oct-2023;149.05
05-Oct-2023;148.9
04-Oct-2023;151
03-Oct-2023;151.05
02-Oct-2023;151
29. Sep 23;151.1
28. Sep 23;151.5
27. Sep 23;151.2
26. Sep 23;152.2
25. Sep 23;156
24. Sep 23;
22. Sep 23;156.35
21. Sep 23;155.9
20. Sep 23;161.3
19. Sep 23;161.45
18. Sep 23;160.8
17. Sep 23;
15. Sep 23;160.6
14. Sep 23;161.8
13. Sep 23;159.65
12. Sep 23;160.95
11. Sep 23;164.35
10. Sep 23;
08. Sep 23;163.55
07. Sep 23;165
06. Sep 23;167.1
05. Sep 23;169.6
04. Sep 23;168.1
03. Sep 23;
01. Sep 23;169.35
31. Aug 23;162.35
30. Aug 23;164.1
29. Aug 23;163.65
28. Aug 23;164.4
27. Aug 23;
25. Aug 23;165.6
24. Aug 23;166.2
23. Aug 23;165.2
22. Aug 23;165.4
21. Aug 23;164
20. Aug 23;
18. Aug 23;164.7
17. Aug 23;163
16. Aug 23;161.2
15. Aug 23;157.5
14. Aug 23;162.35
13. Aug 23;
11. Aug 23;162.65
10. Aug 23;162.8
09. Aug 23;162.25
08. Aug 23;163.3
07. Aug 23;164.05
06. Aug 23;
04. Aug 23;164
03. Aug 23;166
02. Aug 23;165.2
01. Aug 23;169.4
31. Jul 23;170.2
30. Jul 23;
28. Jul 23;169.75
27. Jul 23;167.4
26. Jul 23;167.85
25. Jul 23;170.9
24. Jul 23;171.8
23. Jul 23;
21. Jul 23;168.5
20. Jul 23;170.8
19. Jul 23;166.8
18. Jul 23;167.8
17. Jul 23;164
16. Jul 23;
14. Jul 23;166.55
13. Jul 23;167.2
12. Jul 23;167.6
11. Jul 23;161.85
10. Jul 23;162.45
09. Jul 23;
07. Jul 23;161.8
06. Jul 23;163.3
05. Jul 23;162.1
04. Jul 23;157.45
03. Jul 23;158.45
02. Jul 23;
30. Jun 23;158.25
29. Jun 23;156.9
28. Jun 23;155.95
27. Jun 23;158.9
26. Jun 23;157.25
23. Jun 23;166.1
22. Jun 23;166.5
21. Jun 23;164.5
20. Jun 23;165.6
19. Jun 23;169.5
18. Jun 23;
16. Jun 23;174.5
15. Jun 23;174.8
14. Jun 23;173.1
13. Jun 23;165.7
12. Jun 23;161.35
11. Jun 23;
09. Jun 23;162.6
08. Jun 23;160.9
07. Jun 23;162
06. Jun 23;160.55
05. Jun 23;159.2
04. Jun 23;
02. Jun 23;161.25
01. Jun 23;161.65
31-May-2023;157.3
30-May-2023;162
29-May-2023;161.4
28-May-2023;
26-May-2023;161.7
25-May-2023;161.2
24-May-2023;163.1
23-May-2023;162
22-May-2023;162.1
21-May-2023;
19-May-2023;161.7
18-May-2023;163.6
17-May-2023;163
16-May-2023;164
15-May-2023;173
14-May-2023;
12-May-2023;169.75
11-May-2023;169.8
10-May-2023;173.95
09-May-2023;179.85
08-May-2023;184.35
07-May-2023;
05-May-2023;183.75
04-May-2023;181.4
03-May-2023;185
02-May-2023;184.05
28. Apr 23;182
27. Apr 23;181.7
26. Apr 23;179.4
