Date;Close;Change;PCT
03-Dec-2021;67050;0;0
06-Dec-2021;69320;2270;3.385533184
07-Dec-2021;69815;495;0.714079631
08-Dec-2021;69815;0;0
09-Dec-2021;69815;0;0
10-Dec-2021;69815;0;0
13-Dec-2021;69815;0;0
14-Dec-2021;69815;0;0
15-Dec-2021;69815;0;0
16-Dec-2021;69815;0;0
17-Dec-2021;70500;685;0.981164506
20-Dec-2021;70500;0;0
21-Dec-2021;70500;0;0
22-Dec-2021;70500;0;0
23-Dec-2021;70500;0;0
24-Dec-2021;70500;0;0
29-Dec-2021;70500;0;0
30-Dec-2021;70500;0;0
31-Dec-2021;70500;0;0
04. Jan 22;70500;0;0
05. Jan 22;70500;0;0
06. Jan 22;70500;0;0
07. Jan 22;70500;0;0
10. Jan 22;70500;0;0
11. Jan 22;70500;0;0
12. Jan 22;70500;0;0
13. Jan 22;70500;0;0
14. Jan 22;70500;0;0
17. Jan 22;70500;0;0
18. Jan 22;70500;0;0
19. Jan 22;70500;0;0
20. Jan 22;72000;1500;2.127659574
21. Jan 22;72000;0;0
24. Jan 22;72000;0;0
25. Jan 22;71000;-1000;-1.388888889
26. Jan 22;71000;0;0
27. Jan 22;71000;0;0
28. Jan 22;71000;0;0
31. Jan 22;71000;0;0
01. Feb 22;71000;0;0
02. Feb 22;71000;0;0
03. Feb 22;71000;0;0
04. Feb 22;71000;0;0
07. Feb 22;71000;0;0
08. Feb 22;71000;0;0
09. Feb 22;71000;0;0
10. Feb 22;71000;0;0
11. Feb 22;71000;0;0
14. Feb 22;71000;0;0
15. Feb 22;71000;0;0
16. Feb 22;71000;0;0
17. Feb 22;71000;0;0
18. Feb 22;72780;1780;2.507042254
21. Feb 22;72780;0;0
22. Feb 22;73290;510;0.700741962
23. Feb 22;73290;0;0
24. Feb 22;74000;710;0.968754264
25. Feb 22;74000;0;0
28. Feb 22;74000;0;0
01-Mar-2022;74000;0;0
02-Mar-2022;74000;0;0
03-Mar-2022;75800;1800;2.432432432
04-Mar-2022;75800;0;0
07-Mar-2022;79295;3495;4.610817942
08-Mar-2022;81795;2500;3.152783908
09-Mar-2022;82000;205;0.250626566
10-Mar-2022;82000;0;0
11-Mar-2022;82000;0;0
14-Mar-2022;82000;0;0
15-Mar-2022;82000;0;0
16-Mar-2022;82000;0;0
17-Mar-2022;82000;0;0
18-Mar-2022;82000;0;0
21-Mar-2022;82000;0;0
22-Mar-2022;82000;0;0
23-Mar-2022;82000;0;0
24-Mar-2022;82000;0;0
25-Mar-2022;82000;0;0
28-Mar-2022;82000;0;0
29-Mar-2022;82000;0;0
30-Mar-2022;82000;0;0
31-Mar-2022;82000;0;0
01. Apr 22;82000;0;0
04. Apr 22;82000;0;0
05. Apr 22;82000;0;0
06. Apr 22;82000;0;0
07. Apr 22;82000;0;0
08. Apr 22;82000;0;0
11. Apr 22;82000;0;0
12. Apr 22;82000;0;0
13. Apr 22;82000;0;0
14. Apr 22;82000;0;0
19. Apr 22;82000;0;0
20. Apr 22;82000;0;0
21. Apr 22;82000;0;0
22. Apr 22;82000;0;0
25. Apr 22;82000;0;0
26. Apr 22;82000;0;0
27. Apr 22;82000;0;0
28. Apr 22;82000;0;0
29. Apr 22;82000;0;0
03-May-2022;82000;0;0
04-May-2022;82000;0;0
05-May-2022;82000;0;0
06-May-2022;82000;0;0
09-May-2022;82000;0;0
10-May-2022;82000;0;0
11-May-2022;82000;0;0
12-May-2022;82000;0;0
13-May-2022;82000;0;0
16-May-2022;75000;-7000;-8.536585366
17-May-2022;75000;0;0
18-May-2022;75000;0;0
19-May-2022;75000;0;0
20-May-2022;75000;0;0
23-May-2022;75000;0;0
24-May-2022;75000;0;0
25-May-2022;75000;0;0
26-May-2022;75000;0;0
27-May-2022;74000;-1000;-1.333333333
30-May-2022;74000;0;0
31-May-2022;74000;0;0
01. Jun 22;74000;0;0
06. Jun 22;73895;-105;-0.141891892
07. Jun 22;72900;-995;-1.346505176
08. Jun 22;72900;0;0
09. Jun 22;72900;0;0
10. Jun 22;72900;0;0
13. Jun 22;72415;-485;-0.665294925
14. Jun 22;72415;0;0
15. Jun 22;72415;0;0
16. Jun 22;72415;0;0
17. Jun 22;72400;-15;-0.02071394
20. Jun 22;72400;0;0
21. Jun 22;72400;0;0
22. Jun 22;72400;0;0
23. Jun 22;72400;0;0
24. Jun 22;72400;0;0
27. Jun 22;71460;-940;-1.298342541
28. Jun 22;70460;-1000;-1.399384271
29. Jun 22;70460;0;0
30. Jun 22;70460;0;0
01. Jul 22;65445;-5015;-7.117513483
04. Jul 22;65445;0;0
05. Jul 22;65445;0;0
06. Jul 22;60460;-4985;-7.617083047
07. Jul 22;60450;-10;-0.016539861
08. Jul 22;60445;-5;-0.008271299
11. Jul 22;60445;0;0
12. Jul 22;60445;0;0
13. Jul 22;60445;0;0
14. Jul 22;60445;0;0
15. Jul 22;55445;-5000;-8.271982794
18. Jul 22;50460;-4985;-8.990891875
19. Jul 22;50460;0;0
20. Jul 22;50460;0;0
21. Jul 22;50460;0;0
22. Jul 22;50460;0;0
25. Jul 22;50460;0;0
26. Jul 22;50460;0;0
27. Jul 22;50460;0;0
28. Jul 22;50460;0;0
29. Jul 22;50460;0;0
01. Aug 22;50460;0;0
02. Aug 22;50460;0;0
03. Aug 22;50460;0;0
04. Aug 22;49445;-1015;-2.011494253
05. Aug 22;49445;0;0
08. Aug 22;49445;0;0
09. Aug 22;49445;0;0
10. Aug 22;47455;-1990;-4.02467388
11. Aug 22;47455;0;0
12. Aug 22;47455;0;0
15. Aug 22;46955;-500;-1.053629755
16. Aug 22;46955;0;0
17. Aug 22;49455;2500;5.324246619
18. Aug 22;49455;0;0
19. Aug 22;49455;0;0
22. Aug 22;49455;0;0
23. Aug 22;49455;0;0
24. Aug 22;51955;2500;5.055100597
25. Aug 22;51955;0;0
26. Aug 22;51955;0;0
30. Aug 22;51955;0;0
31. Aug 22;51955;0;0
01. Sep 22;51955;0;0
02. Sep 22;51955;0;0
05. Sep 22;51955;0;0
06. Sep 22;51955;0;0
07. Sep 22;51955;0;0
08. Sep 22;51955;0;0
09. Sep 22;51955;0;0
12. Sep 22;51955;0;0
13. Sep 22;51955;0;0
14. Sep 22;51955;0;0
15. Sep 22;51955;0;0
16. Sep 22;51955;0;0
19. Sep 22;51955;0;0
20. Sep 22;51955;0;0
21. Sep 22;51955;0;0
22. Sep 22;51955;0;0
