Exchange Date;Trade Price
07. Jun 24;81 410,00
06. Jun 24;81 130,00
05. Jun 24;80 250,00
04. Jun 24;81 835,00
03. Jun 24;81 620,00
31-May-2024;81 855,00
30-May-2024;83 405,00
29-May-2024;84 250,00
28-May-2024;84 590,00
27-May-2024;83 355,00
24-May-2024;83 315,00
23-May-2024;83 030,00
22-May-2024;85 655,00
21-May-2024;86 435,00
20-May-2024;86 970,00
17-May-2024;82 575,00
16-May-2024;82 035,00
15-May-2024;81 320,00
14-May-2024;81 530,00
13-May-2024;80 385,00
10-May-2024;79 925,00
09-May-2024;79 650,00
08-May-2024;79 770,00
07-May-2024;80 595,00
06-May-2024;80 785,00
30. Apr 24;81 785,00
29. Apr 24;80 500,00
26. Apr 24;80 025,00
25. Apr 24;78 810,00
24. Apr 24;78 335,00
23. Apr 24;78 410,00
22. Apr 24;80 295,00
19. Apr 24;79 115,00
18. Apr 24;76 870,00
17. Apr 24;76 370,00
16. Apr 24;76 900,00
15. Apr 24;76 280,00
12. Apr 24;76 030,00
11. Apr 24;76 010,00
10. Apr 24;76 035,00
09. Apr 24;75 910,00
08. Apr 24;75 430,00
03. Apr 24;73 390,00
02. Apr 24;72 795,00
01. Apr 24;72 765,00
29-Mar-2024;72 085,00
28-Mar-2024;71 975,00
27-Mar-2024;71 665,00
26-Mar-2024;71 895,00
25-Mar-2024;72 245,00
22-Mar-2024;72 140,00
21-Mar-2024;72 870,00
20-Mar-2024;72 515,00
19-Mar-2024;73 030,00
18-Mar-2024;73 010,00
15-Mar-2024;72 075,00
14-Mar-2024;71 880,00
13-Mar-2024;69 650,00
12-Mar-2024;69 500,00
11-Mar-2024;69 335,00
08-Mar-2024;69 630,00
07-Mar-2024;69 235,00
06-Mar-2024;68 815,00
05-Mar-2024;68 945,00
04-Mar-2024;68 900,00
01-Mar-2024;68 835,00
29. Feb 24;68 730,00
28. Feb 24;68 800,00
27. Feb 24;68 720,00
26. Feb 24;69 050,00
23. Feb 24;69 380,00
22. Feb 24;69 015,00
21. Feb 24;68 905,00
20. Feb 24;68 325,00
19. Feb 24;68 415,00
08. Feb 24;67 700,00
07. Feb 24;68 010,00
06. Feb 24;68 010,00
05. Feb 24;68 545,00
02. Feb 24;68 850,00
01. Feb 24;69 125,00
31. Jan 24;69 180,00
30. Jan 24;68 970,00
29. Jan 24;68 940,00
26. Jan 24;68 990,00
25. Jan 24;68 850,00
24. Jan 24;68 215,00
23. Jan 24;67 920,00
22. Jan 24;68 055,00
19. Jan 24;67 875,00
18. Jan 24;67 710,00
17. Jan 24;68 015,00
16. Jan 24;68 070,00
15. Jan 24;68 010,00
12. Jan 24;68 345,00
11. Jan 24;68 270,00
10. Jan 24;68 185,00
09. Jan 24;68 650,00
08. Jan 24;68 460,00
05. Jan 24;68 845,00
04. Jan 24;68 840,00
03. Jan 24;68 960,00
02. Jan 24;69 160,00
29-Dec-2023;69 255,00
28-Dec-2023;69 770,00
27-Dec-2023;69 280,00
26-Dec-2023;69 165,00
25-Dec-2023;69 160,00
22-Dec-2023;69 425,00
21-Dec-2023;69 145,00
20-Dec-2023;69 325,00
19-Dec-2023;68 780,00
18-Dec-2023;68 785,00
15-Dec-2023;69 050,00
14-Dec-2023;68 565,00
13-Dec-2023;68 360,00
12-Dec-2023;68 390,00
11-Dec-2023;68 800,00
08-Dec-2023;68 565,00
07-Dec-2023;68 230,00
06-Dec-2023;68 730,00
05-Dec-2023;69 000,00
04-Dec-2023;69 785,00
01-Dec-2023;69 490,00
30. Nov 23;68 920,00
29. Nov 23;68 790,00
28. Nov 23;68 500,00
27. Nov 23;68 815,00
24. Nov 23;68 705,00
23. Nov 23;68 510,00
22. Nov 23;68 575,00
21. Nov 23;69 050,00
20. Nov 23;68 705,00
17. Nov 23;68 405,00
16. Nov 23;68 390,00
15. Nov 23;68 155,00
14. Nov 23;67 985,00
13. Nov 23;67 495,00
10. Nov 23;67 710,00
09. Nov 23;67 805,00
08. Nov 23;67 975,00
07. Nov 23;68 080,00
06. Nov 23;67 835,00
03. Nov 23;68 075,00
02. Nov 23;67 835,00
01. Nov 23;67 700,00
31-Oct-2023;67 735,00
30-Oct-2023;67 755,00
27-Oct-2023;66 930,00
26-Oct-2023;66 925,00
25-Oct-2023;67 350,00
24-Oct-2023;66 600,00
23-Oct-2023;66 100,00
20-Oct-2023;66 680,00
19-Oct-2023;66 565,00
18-Oct-2023;66 720,00
17-Oct-2023;66 200,00
16-Oct-2023;66 450,00
13-Oct-2023;66 405,00
12-Oct-2023;66 745,00
11-Oct-2023;66 930,00
10-Oct-2023;67 230,00
09-Oct-2023;67 580,00
28. Sep 23;67 510,00
27. Sep 23;67 525,00
26. Sep 23;68 035,00
25. Sep 23;68 240,00
22. Sep 23;68 240,00
21. Sep 23;68 765,00
20. Sep 23;68 900,00
19. Sep 23;69 030,00
18. Sep 23;69 570,00
15. Sep 23;69 875,00
14. Sep 23;69 450,00
13. Sep 23;69 440,00
12. Sep 23;69 595,00
11. Sep 23;69 100,00
08. Sep 23;69 200,00
07. Sep 23;69 585,00
06. Sep 23;69 925,00
05. Sep 23;69 875,00
04. Sep 23;70 275,00
01. Sep 23;70 230,00
31. Aug 23;70 125,00
30. Aug 23;69 925,00
29. Aug 23;69 560,00
28. Aug 23;69 590,00
25. Aug 23;69 350,00
24. Aug 23;69 755,00
23. Aug 23;69 490,00
22. Aug 23;68 860,00
21. Aug 23;68 970,00
18. Aug 23;68 895,00
17. Aug 23;68 320,00
16. Aug 23;68 300,00
15. Aug 23;68 635,00
14. Aug 23;68 260,00
11. Aug 23;68 715,00
10. Aug 23;68 780,00
09. Aug 23;68 735,00
08. Aug 23;69 160,00
07. Aug 23;69 305,00
04. Aug 23;69 880,00
03. Aug 23;69 460,00
02. Aug 23;70 095,00
01. Aug 23;70 955,00
31. Jul 23;69 880,00
28. Jul 23;69 050,00
27. Jul 23;69 490,00
26. Jul 23;69 220,00
25. Jul 23;69 015,00
24. Jul 23;68 570,00
21. Jul 23;68 730,00
20. Jul 23;68 670,00
19. Jul 23;68 610,00
18. Jul 23;68 790,00
17. Jul 23;69 380,00
14. Jul 23;69 895,00
13. Jul 23;68 830,00
12. Jul 23;68 090,00
11. Jul 23;68 380,00
10. Jul 23;68 300,00
07. Jul 23;68 190,00
06. Jul 23;68 380,00
05. Jul 23;68 510,00
04. Jul 23;68 815,00
03. Jul 23;69 230,00
30. Jun 23;68 010,00
29. Jun 23;68 050,00
28. Jun 23;68 310,00
27. Jun 23;68 700,00
26. Jun 23;68 970,00
21. Jun 23;69 700,00
20. Jun 23;69 135,00
19. Jun 23;69 125,00
16. Jun 23;68 955,00
15. Jun 23;68 295,00
14. Jun 23;68 340,00
13. Jun 23;67 560,00
12. Jun 23;67 350,00
09. Jun 23;67 360,00
08. Jun 23;67 250,00
07. Jun 23;67 350,00
06. Jun 23;67 205,00
05. Jun 23;66 475,00
02. Jun 23;66 395,00
01. Jun 23;65 835,00
31-May-2023;65 325,00
30-May-2023;65 765,00
29-May-2023;65 560,00
26-May-2023;64 090,00
25-May-2023;63 790,00
24-May-2023;64 280,00
23-May-2023;65 315,00
22-May-2023;65 495,00
19-May-2023;65 740,00
18-May-2023;66 135,00
17-May-2023;64 690,00
16-May-2023;65 275,00
15-May-2023;64 765,00
12-May-2023;64 645,00
11-May-2023;66 640,00
10-May-2023;67 440,00
09-May-2023;67 530,00
08-May-2023;67 215,00
05-May-2023;66 685,00
04-May-2023;67 305,00
28. Apr 23;67 445,00
27. Apr 23;66 680,00
26. Apr 23;67 560,00
25. Apr 23;68 295,00
24. Apr 23;68 510,00
21. Apr 23;68 910,00
20. Apr 23;69 520,00
19. Apr 23;69 715,00
18. Apr 23;69 695,00
17. Apr 23;69 995,00
14. Apr 23;70 325,00
13. Apr 23;69 410,00
12. Apr 23;69 175,00
11. Apr 23;68 610,00
10. Apr 23;68 870,00
07. Apr 23;68 885,00
06. Apr 23;68 850,00
04. Apr 23;69 250,00
03. Apr 23;69 655,00
31-Mar-2023;69 690,00
30-Mar-2023;69 650,00
29-Mar-2023;69 640,00
28-Mar-2023;69 795,00
27-Mar-2023;69 455,00
24-Mar-2023;69 285,00
23-Mar-2023;68 690,00
22-Mar-2023;68 200,00
21-Mar-2023;67 640,00
20-Mar-2023;67 645,00
17-Mar-2023;67 310,00
16-Mar-2023;67 215,00
15-Mar-2023;68 980,00
14-Mar-2023;68 725,00
13-Mar-2023;69 110,00
10-Mar-2023;69 060,00
09-Mar-2023;69 350,00
08-Mar-2023;68 845,00
07-Mar-2023;69 650,00
06-Mar-2023;69 335,00
03-Mar-2023;69 370,00
02-Mar-2023;69 890,00
01-Mar-2023;69 775,00
28. Feb 23;68 590,00
27. Feb 23;68 510,00
24. Feb 23;69 275,00
23. Feb 23;70 110,00
22. Feb 23;70 375,00
21. Feb 23;69 750,00
20. Feb 23;69 100,00
17. Feb 23;69 105,00
16. Feb 23;68 420,00
15. Feb 23;68 970,00
14. Feb 23;68 555,00
13. Feb 23;68 120,00
10. Feb 23;68 310,00
09. Feb 23;68 285,00
08. Feb 23;68 265,00
07. Feb 23;67 905,00
06. Feb 23;68 120,00
03. Feb 23;68 400,00
02. Feb 23;69 105,00
01. Feb 23;69 610,00
31. Jan 23;69 525,00
30. Jan 23;69 810,00
20. Jan 23;70 190,00
19. Jan 23;69 710,00
18. Jan 23;69 785,00
17. Jan 23;68 450,00
16. Jan 23;68 570,00
13. Jan 23;68 755,00
12. Jan 23;68 590,00
11. Jan 23;67 530,00
10. Jan 23;66 490,00
09. Jan 23;66 225,00
06. Jan 23;65 220,00
05. Jan 23;64 335,00
04. Jan 23;65 170,00
03. Jan 23;65 840,00
30-Dec-2022;66 250,00
29-Dec-2022;66 220,00
28-Dec-2022;66 265,00
27-Dec-2022;66 480,00
26-Dec-2022;66 190,00
23-Dec-2022;66 080,00
22-Dec-2022;66 830,00
21-Dec-2022;66 395,00
20-Dec-2022;65 825,00
19-Dec-2022;66 090,00
16-Dec-2022;65 775,00
15-Dec-2022;66 175,00
14-Dec-2022;66 710,00
13-Dec-2022;66 190,00
12-Dec-2022;66 275,00
09-Dec-2022;66 995,00
08-Dec-2022;66 295,00
07-Dec-2022;66 315,00
06-Dec-2022;66 615,00
05-Dec-2022;67 300,00
02-Dec-2022;66 410,00
01-Dec-2022;66 410,00
30. Nov 22;65 340,00
29. Nov 22;65 560,00
28. Nov 22;64 930,00
25. Nov 22;65 650,00
24. Nov 22;65 520,00
23. Nov 22;65 320,00
22. Nov 22;65 200,00
21. Nov 22;65 320,00
18. Nov 22;66 315,00
17. Nov 22;66 640,00
16. Nov 22;67 065,00
15. Nov 22;67 330,00
14. Nov 22;67 835,00
11. Nov 22;68 590,00
10. Nov 22;67 375,00
09. Nov 22;66 840,00
08. Nov 22;66 285,00
07. Nov 22;66 440,00
04. Nov 22;64 685,00
03. Nov 22;64 740,00
02. Nov 22;65 015,00
01. Nov 22;64 385,00
31-Oct-2022;63 840,00
28-Oct-2022;64 635,00
27-Oct-2022;64 715,00
26-Oct-2022;63 980,00
25-Oct-2022;64 290,00
24-Oct-2022;64 550,00
21-Oct-2022;64 080,00
20-Oct-2022;62 920,00
19-Oct-2022;63 050,00
18-Oct-2022;63 590,00
17-Oct-2022;64 600,00
14-Oct-2022;64 785,00
13-Oct-2022;64 090,00
12-Oct-2022;63 825,00
11-Oct-2022;64 000,00
10-Oct-2022;63 120,00
30. Sep 22;62 695,00
29. Sep 22;62 465,00
28. Sep 22;61 430,00
27. Sep 22;61 530,00
26. Sep 22;61 655,00
23. Sep 22;63 110,00
22. Sep 22;63 140,00
21. Sep 22;63 140,00
20. Sep 22;63 335,00
19. Sep 22;63 530,00
16. Sep 22;62 900,00
15. Sep 22;63 350,00
14. Sep 22;63 175,00
13. Sep 22;63 905,00
09. Sep 22;63 715,00
08. Sep 22;61 900,00
07. Sep 22;61 875,00
06. Sep 22;61 820,00
05. Sep 22;60 895,00
02. Sep 22;60 555,00
01. Sep 22;61 775,00
31. Aug 22;62 800,00
30. Aug 22;63 160,00
29. Aug 22;63 780,00
26. Aug 22;64 320,00
25. Aug 22;63 365,00
24. Aug 22;63 750,00
23. Aug 22;63 600,00
22. Aug 22;63 650,00
19. Aug 22;62 985,00
