Date;Price
03-May-2024;187
02-May-2024;187.5
01-May-2024;187
30. Apr 24;187
29. Apr 24;187.5
26. Apr 24;188.5
25. Apr 24;189
24. Apr 24;191.5
23. Apr 24;191
22. Apr 24;192
21. Apr 24;
19. Apr 24;194
18. Apr 24;193
17. Apr 24;191
16. Apr 24;190.5
15. Apr 24;198.5
14. Apr 24;
12. Apr 24;199.5
11. Apr 24;199.5
10. Apr 24;199.5
09. Apr 24;200.5
08. Apr 24;199.5
07. Apr 24;
05. Apr 24;200
04. Apr 24;199
03. Apr 24;200
02. Apr 24;200
01. Apr 24;200.5
31-Mar-2024;
29-Mar-2024;199.5
28-Mar-2024;200
27-Mar-2024;201
26-Mar-2024;201
25-Mar-2024;200
24-Mar-2024;
22-Mar-2024;203.5
21-Mar-2024;204
20-Mar-2024;203.5
19-Mar-2024;203.5
18-Mar-2024;206.5
17-Mar-2024;
15-Mar-2024;202.5
14-Mar-2024;204
13-Mar-2024;200
12-Mar-2024;199
11-Mar-2024;199.5
10-Mar-2024;
08-Mar-2024;199
07-Mar-2024;198.5
06-Mar-2024;198
05-Mar-2024;198
04-Mar-2024;199
03-Mar-2024;
01-Mar-2024;202
29. Feb 24;203
28. Feb 24;200
27. Feb 24;201
26. Feb 24;201.5
25. Feb 24;
23. Feb 24;200
22. Feb 24;196
21. Feb 24;194
20. Feb 24;194
19. Feb 24;195
18. Feb 24;
16. Feb 24;195.5
15. Feb 24;196
14. Feb 24;196
13. Feb 24;196
12. Feb 24;196
08. Feb 24;196
07. Feb 24;195.5
06. Feb 24;196.5
05. Feb 24;195
04. Feb 24;
02. Feb 24;198.5
01. Feb 24;198.5
31. Jan 24;198.5
30. Jan 24;199.5
29. Jan 24;201.5
28. Jan 24;
26. Jan 24;201
25. Jan 24;201
24. Jan 24;202
23. Jan 24;203
22. Jan 24;203
21. Jan 24;
19. Jan 24;202.5
18. Jan 24;202
17. Jan 24;202.5
16. Jan 24;202
15. Jan 24;203
14. Jan 24;
12. Jan 24;202
11. Jan 24;202.5
10. Jan 24;200.5
09. Jan 24;203
08. Jan 24;203
07. Jan 24;
05. Jan 24;205.5
04. Jan 24;207
03. Jan 24;205.5
02. Jan 24;207.5
29-Dec-2023;207.5
28-Dec-2023;208.5
27-Dec-2023;208.5
26-Dec-2023;210
25-Dec-2023;207
24-Dec-2023;
22-Dec-2023;206.5
21-Dec-2023;207.5
20-Dec-2023;205
19-Dec-2023;204.5
18-Dec-2023;202.5
17-Dec-2023;
15-Dec-2023;200
14-Dec-2023;200
13-Dec-2023;199.5
12-Dec-2023;200
11-Dec-2023;199
10-Dec-2023;
08-Dec-2023;202
07-Dec-2023;200.5
06-Dec-2023;199.5
05-Dec-2023;199.5
04-Dec-2023;202.5
03-Dec-2023;
01-Dec-2023;206
30. Nov 23;208.5
29. Nov 23;211.5
28. Nov 23;212.5
27. Nov 23;212
24. Nov 23;215.5
23. Nov 23;217.5
22. Nov 23;215.5
21. Nov 23;218
20. Nov 23;219
19. Nov 23;
17. Nov 23;219.5
16. Nov 23;223
15. Nov 23;223
14. Nov 23;220.5
13. Nov 23;221.5
12. Nov 23;
10. Nov 23;226.5
09. Nov 23;227.5
08. Nov 23;227.5
07. Nov 23;229
06. Nov 23;231
05. Nov 23;
03. Nov 23;233
02. Nov 23;235.5
01. Nov 23;236.5
31-Oct-2023;236
30-Oct-2023;236
29-Oct-2023;
27-Oct-2023;236.5
26-Oct-2023;237
25-Oct-2023;237.5
24-Oct-2023;239.5
23-Oct-2023;236
22-Oct-2023;
20-Oct-2023;237.5
19-Oct-2023;246
18-Oct-2023;246.5
17-Oct-2023;248.5
16-Oct-2023;249
13-Oct-2023;238.5
12-Oct-2023;236
11-Oct-2023;235
10-Oct-2023;235
09-Oct-2023;234.5
08-Oct-2023;
06-Oct-2023;233.5
05-Oct-2023;234.5
04-Oct-2023;230.5
03-Oct-2023;234.5
02-Oct-2023;234
29. Sep 23;234
28. Sep 23;234.5
27. Sep 23;235
26. Sep 23;234.5
25. Sep 23;233.5
24. Sep 23;
22. Sep 23;236
21. Sep 23;234.5
20. Sep 23;235
19. Sep 23;232.5
18. Sep 23;232.5
17. Sep 23;
15. Sep 23;233.5
14. Sep 23;233.5
13. Sep 23;232
12. Sep 23;235
11. Sep 23;237.5
10. Sep 23;
08. Sep 23;237
07. Sep 23;239.5
06. Sep 23;240
05. Sep 23;236.5
04. Sep 23;238
03. Sep 23;
01. Sep 23;235.5
31. Aug 23;232.5
30. Aug 23;231
29. Aug 23;228.5
28. Aug 23;228.5
27. Aug 23;
25. Aug 23;235
24. Aug 23;234
23. Aug 23;234.5
22. Aug 23;237
21. Aug 23;236
20. Aug 23;
18. Aug 23;235.5
17. Aug 23;236
16. Aug 23;239.5
15. Aug 23;239.5
14. Aug 23;241
13. Aug 23;
11. Aug 23;241
10. Aug 23;240
09. Aug 23;242
08. Aug 23;242
07. Aug 23;241
06. Aug 23;
04. Aug 23;241.5
03. Aug 23;242.5
02. Aug 23;241.5
01. Aug 23;240
31. Jul 23;243.5
30. Jul 23;
28. Jul 23;243.5
27. Jul 23;245.5
26. Jul 23;245
25. Jul 23;249.5
24. Jul 23;248.5
23. Jul 23;
21. Jul 23;252.5
20. Jul 23;252.5
19. Jul 23;260
18. Jul 23;268
17. Jul 23;266
16. Jul 23;
14. Jul 23;270
13. Jul 23;275
12. Jul 23;278
11. Jul 23;279
10. Jul 23;281.5
09. Jul 23;
07. Jul 23;283.5
06. Jul 23;279
05. Jul 23;277
04. Jul 23;271.5
03. Jul 23;272
02. Jul 23;
30. Jun 23;268.5
29. Jun 23;267.5
28. Jun 23;267
27. Jun 23;270
26. Jun 23;255
23. Jun 23;255
22. Jun 23;252
21. Jun 23;253.5
20. Jun 23;256
19. Jun 23;251.5
18. Jun 23;
16. Jun 23;251
15. Jun 23;252.5
14. Jun 23;252
13. Jun 23;252.5
12. Jun 23;250.5
11. Jun 23;
09. Jun 23;254.5
08. Jun 23;245.5
07. Jun 23;239
06. Jun 23;237.5
05. Jun 23;237
04. Jun 23;
02. Jun 23;238
01. Jun 23;231.5
31-May-2023;231.5
30-May-2023;226.5
29-May-2023;227.5
28-May-2023;
26-May-2023;228
25-May-2023;229
24-May-2023;228
23-May-2023;230
22-May-2023;230
21-May-2023;
19-May-2023;231.5
18-May-2023;234
17-May-2023;233.5
16-May-2023;232.5
15-May-2023;232.5
14-May-2023;
12-May-2023;234.5
11-May-2023;231
10-May-2023;230.5
09-May-2023;229.5
08-May-2023;230.5
07-May-2023;
05-May-2023;230
04-May-2023;229
03-May-2023;230
02-May-2023;229.5
28. Apr 23;231.5
27. Apr 23;232.5
26. Apr 23;236
25. Apr 23;237
24. Apr 23;240
23. Apr 23;
21. Apr 23;237.5
20. Apr 23;241
19. Apr 23;248
18. Apr 23;255
17. Apr 23;251
16. Apr 23;
14. Apr 23;246.5
13. Apr 23;241.5
12. Apr 23;243
11. Apr 23;236
10. Apr 23;236
09. Apr 23;
07. Apr 23;234.5
06. Apr 23;237.5
05. Apr 23;238
04. Apr 23;241
03. Apr 23;242
02. Apr 23;
31-Mar-2023;253
