Exchange Date;Close
14. Feb 24;92
13. Feb 24;92
12. Feb 24;92
09. Feb 24;92
08. Feb 24;92
07. Feb 24;92
06. Feb 24;92
05. Feb 24;92
02. Feb 24;92
01. Feb 24;92
31. Jan 24;92
30. Jan 24;92
29. Jan 24;92
26. Jan 24;92
25. Jan 24;92
24. Jan 24;92
23. Jan 24;92
22. Jan 24;92
19. Jan 24;92
18. Jan 24;92
17. Jan 24;92
16. Jan 24;92
15. Jan 24;92
12. Jan 24;92
11. Jan 24;92
10. Jan 24;92
09. Jan 24;92
08. Jan 24;92
05. Jan 24;92
04. Jan 24;92
03. Jan 24;92
02. Jan 24;92
29-Dec-2023;92
28-Dec-2023;92
27-Dec-2023;92
22-Dec-2023;92
21-Dec-2023;92
20-Dec-2023;92
19-Dec-2023;92
18-Dec-2023;92
15-Dec-2023;92
14-Dec-2023;92
13-Dec-2023;92
12-Dec-2023;92
11-Dec-2023;92
08-Dec-2023;92
07-Dec-2023;92
06-Dec-2023;92
05-Dec-2023;92
04-Dec-2023;92
01-Dec-2023;92
30. Nov 23;92
29. Nov 23;92
28. Nov 23;92
27. Nov 23;92
24. Nov 23;92
23. Nov 23;92
22. Nov 23;92
21. Nov 23;92
20. Nov 23;92
17. Nov 23;92
16. Nov 23;92
15. Nov 23;92
14. Nov 23;92
13. Nov 23;92
10. Nov 23;92
09. Nov 23;92
08. Nov 23;92
07. Nov 23;92
06. Nov 23;92
03. Nov 23;92
02. Nov 23;92
01. Nov 23;92
31-Oct-2023;92
30-Oct-2023;92
27-Oct-2023;92
26-Oct-2023;92
25-Oct-2023;92
24-Oct-2023;92
23-Oct-2023;92
20-Oct-2023;92
19-Oct-2023;92
18-Oct-2023;92
17-Oct-2023;92
16-Oct-2023;92
13-Oct-2023;92
12-Oct-2023;92
11-Oct-2023;92
10-Oct-2023;92
09-Oct-2023;92
06-Oct-2023;92
05-Oct-2023;92
04-Oct-2023;92
03-Oct-2023;92
02-Oct-2023;92
29. Sep 23;92
28. Sep 23;92
27. Sep 23;92
26. Sep 23;92
25. Sep 23;92
22. Sep 23;92
21. Sep 23;92
20. Sep 23;92
19. Sep 23;92
18. Sep 23;92
15. Sep 23;92
14. Sep 23;93
13. Sep 23;93
12. Sep 23;93
11. Sep 23;93
08. Sep 23;93
07. Sep 23;93
06. Sep 23;93
05. Sep 23;93
04. Sep 23;93
01. Sep 23;93
31. Aug 23;93
30. Aug 23;93
29. Aug 23;93
25. Aug 23;93
24. Aug 23;93
23. Aug 23;93
22. Aug 23;93
21. Aug 23;93
18. Aug 23;93
17. Aug 23;93
16. Aug 23;93
15. Aug 23;93
14. Aug 23;93
11. Aug 23;93
10. Aug 23;93
09. Aug 23;93
08. Aug 23;93
07. Aug 23;93
04. Aug 23;93
03. Aug 23;93
02. Aug 23;93
01. Aug 23;93
31. Jul 23;93
28. Jul 23;93
27. Jul 23;93
26. Jul 23;93
25. Jul 23;93
24. Jul 23;93
21. Jul 23;93
20. Jul 23;93
19. Jul 23;93
18. Jul 23;93
17. Jul 23;93
14. Jul 23;93
13. Jul 23;93
12. Jul 23;93
11. Jul 23;93
10. Jul 23;93
07. Jul 23;93
06. Jul 23;93
05. Jul 23;93
04. Jul 23;93
03. Jul 23;93
30. Jun 23;93
29. Jun 23;93
28. Jun 23;93
27. Jun 23;93
26. Jun 23;93
23. Jun 23;93
22. Jun 23;93
21. Jun 23;93
20. Jun 23;93
19. Jun 23;93
16. Jun 23;93
15. Jun 23;93
14. Jun 23;93
13. Jun 23;93
12. Jun 23;93
09. Jun 23;93
08. Jun 23;93
07. Jun 23;93
06. Jun 23;93
05. Jun 23;93
02. Jun 23;96
01. Jun 23;96
31-May-2023;96
30-May-2023;96
26-May-2023;96
25-May-2023;96
24-May-2023;96
23-May-2023;96
22-May-2023;96
19-May-2023;96
18-May-2023;96
17-May-2023;96
16-May-2023;96
15-May-2023;96
12-May-2023;96
11-May-2023;96
10-May-2023;96
09-May-2023;96
05-May-2023;109
04-May-2023;109
03-May-2023;109
02-May-2023;109
28. Apr 23;109
27. Apr 23;109
26. Apr 23;109
25. Apr 23;109
24. Apr 23;109
21. Apr 23;109
20. Apr 23;109
19. Apr 23;109
18. Apr 23;109
17. Apr 23;109
14. Apr 23;109
13. Apr 23;109
12. Apr 23;109
11. Apr 23;109
06. Apr 23;109
05. Apr 23;109
04. Apr 23;109
03. Apr 23;109
31-Mar-2023;114
30-Mar-2023;114
29-Mar-2023;114
28-Mar-2023;114
27-Mar-2023;134
24-Mar-2023;134
23-Mar-2023;134
22-Mar-2023;134
21-Mar-2023;134
20-Mar-2023;134
17-Mar-2023;134
16-Mar-2023;134
15-Mar-2023;134
14-Mar-2023;134
13-Mar-2023;134
10-Mar-2023;134
09-Mar-2023;134
08-Mar-2023;134
07-Mar-2023;134
06-Mar-2023;134
03-Mar-2023;134
02-Mar-2023;134
01-Mar-2023;134
28. Feb 23;135
27. Feb 23;135
24. Feb 23;135
23. Feb 23;135
22. Feb 23;135
21. Feb 23;143
20. Feb 23;143
17. Feb 23;143
16. Feb 23;143
15. Feb 23;157
14. Feb 23;157
13. Feb 23;157
10. Feb 23;157
09. Feb 23;157
08. Feb 23;157
07. Feb 23;157
06. Feb 23;157
03. Feb 23;157
02. Feb 23;157
01. Feb 23;157
31. Jan 23;159
30. Jan 23;159
27. Jan 23;159
26. Jan 23;159
25. Jan 23;159
24. Jan 23;159
23. Jan 23;159
20. Jan 23;159
19. Jan 23;159
18. Jan 23;159
17. Jan 23;159
16. Jan 23;159
13. Jan 23;159
12. Jan 23;159
11. Jan 23;159
10. Jan 23;159
09. Jan 23;159
06. Jan 23;160
05. Jan 23;160
04. Jan 23;160
03. Jan 23;160
30-Dec-2022;165
29-Dec-2022;165
28-Dec-2022;165
23-Dec-2022;165
22-Dec-2022;165
21-Dec-2022;165
20-Dec-2022;165
19-Dec-2022;165
16-Dec-2022;165
15-Dec-2022;165
14-Dec-2022;165
13-Dec-2022;165
12-Dec-2022;165
09-Dec-2022;165
08-Dec-2022;165
07-Dec-2022;165
06-Dec-2022;165
05-Dec-2022;165
02-Dec-2022;165
01-Dec-2022;165
30. Nov 22;165
29. Nov 22;165
28. Nov 22;165
25. Nov 22;165
24. Nov 22;165
23. Nov 22;165
22. Nov 22;165
21. Nov 22;165
18. Nov 22;165
17. Nov 22;165
16. Nov 22;165
15. Nov 22;165
14. Nov 22;165
11. Nov 22;167
10. Nov 22;167
09. Nov 22;167
08. Nov 22;167
07. Nov 22;167
04. Nov 22;167
03. Nov 22;167
02. Nov 22;167
01. Nov 22;167
31-Oct-2022;167
28-Oct-2022;167
27-Oct-2022;167
26-Oct-2022;168
25-Oct-2022;168
24-Oct-2022;168
21-Oct-2022;168
20-Oct-2022;168
19-Oct-2022;168
18-Oct-2022;168
17-Oct-2022;168
14-Oct-2022;168
13-Oct-2022;168
12-Oct-2022;168
11-Oct-2022;168
10-Oct-2022;170
07-Oct-2022;170
06-Oct-2022;170
05-Oct-2022;172
04-Oct-2022;175
03-Oct-2022;175
30. Sep 22;175
29. Sep 22;176
28. Sep 22;176
27. Sep 22;176
26. Sep 22;176
23. Sep 22;176
22. Sep 22;176
21. Sep 22;178
20. Sep 22;178
19. Sep 22;178
16. Sep 22;178
15. Sep 22;178
14. Sep 22;178
13. Sep 22;178
12. Sep 22;178
09. Sep 22;179
08. Sep 22;179
07. Sep 22;179
06. Sep 22;179
05. Sep 22;181
02. Sep 22;181
01. Sep 22;181
31. Aug 22;186
30. Aug 22;186
26. Aug 22;189
25. Aug 22;189
24. Aug 22;189
23. Aug 22;190
22. Aug 22;190
19. Aug 22;192
18. Aug 22;192
17. Aug 22;192
16. Aug 22;192
15. Aug 22;192
12. Aug 22;192
11. Aug 22;192
10. Aug 22;192
09. Aug 22;192
08. Aug 22;192
05. Aug 22;192
04. Aug 22;192
03. Aug 22;192
02. Aug 22;193
01. Aug 22;193
29. Jul 22;196
28. Jul 22;196
27. Jul 22;196
26. Jul 22;196
25. Jul 22;196
22. Jul 22;196
21. Jul 22;196
20. Jul 22;196
