Metal,Variant,Model,BubDays,AUC,F1,Sens,Prec,Spec,Detected,EpDet,Note
Copper,gsadf_v1,XGBoost,31,0.921,0.294,0.625,0.192,0.94,5/8,1/2,
Copper,gsadf_v1,LightGBM,31,0.934,0.323,0.625,0.217,0.948,5/8,1/2,
Copper,gsadf_v1,CatBoost,31,0.953,0.4,0.75,0.273,0.954,6/8,1/2,
Copper,gsadf_v1_period,LASSO,27,0.945,0.286,0.667,0.182,0.949,4/6,1/1,
Copper,gsadf_v1_period,RF,27,0.956,0.4,0.833,0.263,0.96,5/6,1/1,
Copper,gsadf_v1_period,XGBoost,27,0.855,0.143,0.667,0.08,0.869,4/6,1/1,
Copper,gsadf_v1_period,LightGBM,27,0.964,0.414,1.0,0.261,0.951,6/6,1/1,
Copper,gsadf_v1_period,CatBoost,27,0.966,0.444,1.0,0.286,0.957,6/6,1/1,
Copper,lppls_0.10,LASSO,115,0.568,0.268,0.476,0.187,0.835,50/105,8/22,
Copper,lppls_0.10,RF,115,0.615,0.313,0.467,0.236,0.879,49/105,8/22,
Copper,lppls_0.10,XGBoost,115,0.628,0.231,0.419,0.159,0.824,44/105,9/22,
Copper,lppls_0.10,LightGBM,115,0.591,0.229,0.305,0.184,0.892,32/105,7/22,
Copper,lppls_0.10,CatBoost,115,0.61,0.325,0.248,0.473,0.978,26/105,6/22,
Copper,lppls_0.10_period,LASSO,125,0.58,0.22,0.436,0.147,0.774,51/117,4/9,
Copper,lppls_0.10_period,RF,125,0.598,0.26,0.581,0.167,0.741,68/117,5/9,
Copper,lppls_0.10_period,XGBoost,125,0.667,0.222,0.479,0.145,0.747,56/117,5/9,
Copper,lppls_0.10_period,LightGBM,125,0.635,0.256,0.436,0.181,0.823,51/117,5/9,
Copper,lppls_0.10_period,CatBoost,125,0.645,0.284,0.265,0.307,0.946,31/117,3/9,
Copper,lppls_0.05,LASSO,143,0.535,0.242,0.383,0.177,0.816,51/133,7/28,
Copper,lppls_0.05,RF,143,0.546,0.32,0.308,0.333,0.936,41/133,4/28,
Copper,lppls_0.05,XGBoost,143,0.566,0.22,0.346,0.161,0.815,46/133,9/28,
Copper,lppls_0.05,LightGBM,143,0.509,0.192,0.346,0.133,0.768,46/133,9/28,
Copper,lppls_0.05,CatBoost,143,0.552,0.276,0.308,0.25,0.905,41/133,7/28,
Copper,lppls_0.05_period,LASSO,179,0.579,0.279,0.488,0.196,0.742,79/162,6/12,
Copper,lppls_0.05_period,RF,179,0.562,0.275,0.37,0.218,0.83,60/162,5/12,
Copper,lppls_0.05_period,XGBoost,179,0.579,0.233,0.309,0.187,0.827,50/162,6/12,
Copper,lppls_0.05_period,LightGBM,179,0.552,0.218,0.296,0.173,0.818,48/162,6/12,
Copper,lppls_0.05_period,CatBoost,179,0.575,0.267,0.21,0.366,0.953,34/162,3/12,
Copper,lppls_0.01,LASSO,143,0.535,0.242,0.383,0.177,0.816,51/133,7/28,
Copper,lppls_0.01,RF,143,0.546,0.32,0.308,0.333,0.936,41/133,4/28,
Copper,lppls_0.01,XGBoost,143,0.566,0.22,0.346,0.161,0.815,46/133,9/28,
Copper,lppls_0.01,LightGBM,143,0.509,0.192,0.346,0.133,0.768,46/133,9/28,
Copper,lppls_0.01,CatBoost,143,0.552,0.276,0.308,0.25,0.905,41/133,7/28,
Copper,lppls_0.01_period,LASSO,203,0.555,0.266,0.451,0.189,0.717,82/182,6/11,
