Metal,LabelVariant,CusumVariant,Jaccard
Lithium,lppls_0.20_period,cusum_filtered,0.0814
Lithium,lppls_0.10,cusum_filtered,0.1723
Lithium,lppls_0.10_period,cusum_filtered,0.1472
Lithium,lppls_0.01,cusum_filtered,0.2218
Lithium,lppls_0.01_period,cusum_filtered,0.2538
Nickel,gsadf_ols,cusum_raw,0.0242
Nickel,gsadf_ols_period,cusum_raw,0.0242
Nickel,gsadf_v1,cusum_raw,0.0848
Nickel,gsadf_v1_period,cusum_raw,0.0982
Nickel,gsadf_updown,cusum_raw,0.1152
Nickel,gsadf_updown_period,cusum_raw,0.1152
Nickel,lppls_0.20,cusum_raw,0.0466
Nickel,lppls_0.20_period,cusum_raw,0.0833
Nickel,lppls_0.10,cusum_raw,0.0977
Nickel,lppls_0.10_period,cusum_raw,0.1288
Nickel,lppls_0.01,cusum_raw,0.0996
Nickel,lppls_0.01_period,cusum_raw,0.1497
Nickel,gsadf_ols,cusum_smoothed,0.0559
Nickel,gsadf_ols_period,cusum_smoothed,0.0559
Nickel,gsadf_v1,cusum_smoothed,0.1056
Nickel,gsadf_v1_period,cusum_smoothed,0.118
Nickel,gsadf_updown,cusum_smoothed,0.1397
Nickel,gsadf_updown_period,cusum_smoothed,0.1397
Nickel,lppls_0.20,cusum_smoothed,0.0472
Nickel,lppls_0.20_period,cusum_smoothed,0.0859
Nickel,lppls_0.10,cusum_smoothed,0.1107
Nickel,lppls_0.10_period,cusum_smoothed,0.1398
Nickel,lppls_0.01,cusum_smoothed,0.1123
Nickel,lppls_0.01_period,cusum_smoothed,0.1616
Nickel,gsadf_ols,cusum_filtered,0.0729
Nickel,gsadf_ols_period,cusum_filtered,0.0729
Nickel,gsadf_v1,cusum_filtered,0.2021
Nickel,gsadf_v1_period,cusum_filtered,0.2021
Nickel,gsadf_updown,cusum_filtered,0.1919
Nickel,gsadf_updown_period,cusum_filtered,0.1919
Nickel,lppls_0.20,cusum_filtered,0.0709
Nickel,lppls_0.20_period,cusum_filtered,0.075
Nickel,lppls_0.10,cusum_filtered,0.1559
Nickel,lppls_0.10_period,cusum_filtered,0.1317
Nickel,lppls_0.01,cusum_filtered,0.1571
Nickel,lppls_0.01_period,cusum_filtered,0.1614
